Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,School
,Team Totals,,28,28,200.0,28.7,61.5,0.467,10.4,27.9,0.371,18.4,33.6,0.546,0.551,13.1,18.0,0.726,11.6,25.6,37.2,17.0,6.3,5.0,11.7,20.4,80.9,,Marshall
1.0,Pharrel Payne,F,10,10,26.9,5.3,8.5,0.624,0.0,0.0,,5.3,8.5,0.624,0.624,6.9,9.6,0.719,3.2,4.0,7.2,1.4,0.4,1.1,2.7,2.2,17.5,,Maryland
2.0,David Coit,G,26,13,28.7,4.8,11.6,0.411,2.5,7.0,0.352,2.3,4.6,0.5,0.517,2.9,3.3,0.862,0.2,1.9,2.0,2.9,0.6,0.0,1.8,1.5,14.9,,Maryland
3.0,Darius Adams,G,26,24,26.7,3.6,10.0,0.359,1.1,4.3,0.261,2.5,5.7,0.432,0.415,3.3,4.6,0.723,1.0,2.6,3.6,1.5,0.6,0.2,2.0,2.1,11.6,,Maryland
4.0,Andre Mills,G,26,18,25.4,3.7,8.7,0.427,1.5,4.2,0.349,2.2,4.5,0.5,0.511,2.1,2.8,0.73,1.2,2.6,3.8,1.4,0.5,0.3,1.5,2.8,10.9,,Maryland
5.0,Solomon Washington,F,18,15,32.1,3.3,7.8,0.429,0.4,1.7,0.226,2.9,6.1,0.486,0.454,3.2,4.8,0.655,3.4,5.9,9.3,0.8,1.2,0.6,1.6,2.9,10.2,,Maryland
6.0,Elijah Saunders,F,26,25,29.2,3.1,7.0,0.44,1.4,3.7,0.375,1.7,3.3,0.512,0.538,1.1,1.4,0.778,1.6,2.5,4.1,0.9,0.5,0.2,1.2,2.9,8.6,,Maryland
7.0,Myles Rice,G,17,4,16.5,1.8,4.8,0.366,0.6,1.9,0.344,1.1,2.9,0.38,0.433,1.5,1.6,0.926,0.2,1.9,2.1,1.3,0.9,0.0,1.4,1.5,5.6,,Maryland
8.0,Isaiah Watts,G,25,8,18.8,1.5,4.6,0.33,0.9,3.3,0.277,0.6,1.3,0.469,0.43,0.4,0.7,0.611,0.3,1.8,2.1,0.8,0.8,0.3,0.9,1.8,4.4,,Maryland
9.0,Aleks Alston,F,22,0,9.2,0.5,1.5,0.364,0.2,1.0,0.238,0.3,0.5,0.583,0.439,0.2,0.4,0.625,0.6,1.3,1.9,0.4,0.2,0.2,0.4,0.8,1.5,,Maryland
10.0,George Turkson Jr.,G,16,5,13.2,0.4,1.4,0.261,0.0,0.4,0.0,0.4,1.1,0.353,0.261,0.6,1.3,0.45,1.0,1.2,2.2,0.3,0.0,0.3,0.4,2.1,1.3,,Maryland
