 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
271,Central Connecticut State,30,18,12,.600,-11.53,-10.14,,12,6,,10,4,,8,8,,2215,2127,,66.0,111.4,.298,.349,.569,51.0,51.6,8.5,11.2,.536,14.0,28.5,.229
272,Bryant,31,9,22,.290,-18.35,-8.08,,5,11,,8,5,,1,17,,2010,2246,,65.0,98.6,.302,.478,.517,48.7,54.5,9.0,11.4,.479,17.3,28.5,.225
273,Georgia State,32,10,22,.313,-11.78,-4.78,,7,11,,7,7,,3,12,,2253,2391,,69.3,101.3,.367,.432,.508,47.5,51.2,9.9,8.6,.452,13.6,28.4,.287
274,Eastern Michigan,31,10,21,.323,-6.00,-1.80,,4,14,,7,7,,3,14,,2191,2279,,68.4,102.4,.295,.319,.530,50.0,48.5,8.6,10.9,.497,15.2,28.4,.215
275,Mississippi,35,15,20,.429,10.83,11.06,,4,14,,7,9,,3,7,,2656,2664,,68.3,109.2,.330,.355,.543,48.0,50.2,10.2,12.9,.504,12.2,28.3,.247
276,Boston College,31,11,20,.355,2.93,6.19,,4,14,,10,7,,1,10,,2090,2191,,66.4,100.0,.324,.424,.499,49.4,47.4,7.2,11.6,.470,13.3,28.3,.212
277,American,32,16,16,.500,-7.24,-6.54,,9,9,,11,6,,5,10,,2387,2283,,67.5,110.6,.293,.461,.558,48.7,50.8,11.4,4.5,.526,13.7,28.3,.220
278,Stony Brook,32,17,15,.531,-5.73,-3.96,,9,9,,12,4,,4,9,,2295,2277,,67.0,105.9,.282,.460,.535,48.1,52.8,10.0,10.7,.505,14.4,28.3,.203
279,Louisiana,33,11,22,.333,-12.26,-5.26,,7,11,,7,8,,3,13,,2101,2332,,64.1,99.3,.287,.405,.504,46.7,45.9,9.0,10.8,.471,14.5,28.3,.202
280,Fresno State,32,13,19,.406,3.42,4.58,,7,13,,10,8,,2,10,,2331,2330,,69.4,104.9,.343,.407,.549,49.5,50.3,9.6,6.6,.510,16.0,28.3,.256
281,NC State NCAA,34,20,14,.588,17.44,10.53,,10,8,,11,6,,6,4,,2828,2593,,69.5,118.4,.351,.434,.587,49.1,54.6,11.5,10.7,.550,11.5,28.2,.269
282,Montana State,32,18,14,.563,0.74,-1.40,,12,6,,11,2,,6,11,,2493,2285,,67.6,114.4,.300,.454,.580,50.3,41.7,10.0,7.4,.551,13.0,28.2,.223
283,Stetson,33,12,21,.364,-12.93,-4.93,,7,11,,9,5,,2,14,,2431,2631,,68.5,107.2,.327,.451,.562,48.5,59.3,9.1,5.8,.538,16.1,28.2,.223
284,Stonehill,33,12,21,.364,-14.80,-9.48,,8,10,,8,5,,4,15,,2191,2263,,67.1,97.5,.285,.406,.509,51.6,52.3,7.1,9.9,.480,16.6,28.2,.196
285,Delaware State,31,8,23,.258,-22.67,-10.93,,2,12,,5,7,,2,14,,1896,2185,,66.5,91.2,.321,.285,.478,47.6,47.9,11.4,5.4,.440,17.1,28.2,.221
286,Northwestern,34,15,19,.441,12.34,11.16,,5,15,,9,7,,3,8,,2487,2447,,65.3,111.6,.339,.340,.555,46.8,65.8,8.8,10.6,.517,11.5,28.1,.255
287,Clemson NCAA,35,24,11,.686,16.34,9.31,,12,6,,13,3,,6,5,,2582,2336,,65.1,112.4,.367,.431,.561,51.1,50.3,9.5,9.1,.526,12.3,28.1,.266
288,Boston University,34,17,17,.500,-8.38,-8.53,,10,8,,10,5,,6,12,,2566,2514,,63.7,115.4,.315,.440,.606,51.5,53.3,7.3,9.6,.581,15.7,28.1,.230
289,Alabama A&M,33,18,15,.545,-13.28,-10.78,,10,8,,12,5,,4,8,,2378,2393,,67.8,105.9,.449,.343,.545,49.9,49.4,8.8,7.9,.496,14.7,28.0,.331
290,Princeton,29,9,20,.310,-7.19,-2.23,,5,9,,8,4,,1,12,,1989,2087,,64.7,105.1,.341,.446,.541,49.8,55.3,7.3,6.6,.500,14.8,28.0,.257
291,Buffalo,32,17,15,.531,-3.76,-4.22,,7,11,,7,8,,8,6,,2497,2438,,67.4,114.9,.394,.454,.593,48.7,55.5,11.1,8.1,.560,14.2,27.8,.289
292,Iona,32,18,14,.563,-7.34,-8.06,,10,10,,11,3,,6,8,,2363,2340,,68.4,105.8,.293,.459,.546,48.8,53.7,9.5,8.1,.519,15.1,27.8,.207
293,UTEP,31,11,20,.355,-6.77,-0.52,,7,13,,9,7,,2,11,,2149,2244,,66.8,102.6,.351,.386,.527,47.3,48.8,11.3,10.5,.492,15.1,27.8,.245
294,Bradley,34,21,13,.618,3.22,0.46,,13,7,,14,3,,4,7,,2626,2502,,67.7,110.5,.366,.407,.550,49.0,50.9,11.2,9.4,.512,12.1,27.7,.269
295,Coastal Carolina,32,19,13,.594,-7.69,-5.95,,11,7,,8,5,,10,7,,2346,2323,,68.9,104.0,.318,.433,.523,51.1,41.5,6.2,8.3,.486,13.3,27.7,.232
296,Prairie View A&M NCAA,37,19,18,.514,-13.13,-9.07,,9,9,,10,3,,3,13,,2883,2831,,73.5,105.7,.420,.305,.541,46.8,44.0,10.7,12.2,.490,14.0,27.6,.318
297,Kansas City,31,4,27,.129,-20.04,-2.29,,1,15,,3,11,,1,15,,2149,2600,,71.9,96.1,.310,.369,.499,45.5,47.5,8.7,8.1,.468,15.9,27.5,.209
298,Creighton,33,16,17,.485,10.60,10.12,,9,11,,10,6,,4,8,,2486,2470,,68.7,109.3,.279,.482,.563,49.6,58.5,8.4,6.6,.531,14.5,27.4,.213
299,Indiana State,32,11,21,.344,-3.09,0.31,,4,16,,8,7,,3,12,,2354,2383,,68.9,104.7,.282,.449,.557,49.4,64.7,8.8,7.9,.536,17.2,27.4,.190
300,Northeastern,31,7,24,.226,-9.17,-3.10,,2,16,,2,10,,3,13,,2322,2510,,69.6,107.1,.294,.378,.549,47.5,55.7,10.0,8.1,.524,14.4,27.3,.203
301,UC San Diego,34,23,11,.676,2.03,-1.97,,12,8,,10,5,,8,5,,2573,2390,,69.8,108.4,.323,.427,.555,50.9,55.7,10.9,7.8,.528,14.4,27.3,.225
302,South Carolina,32,13,19,.406,7.29,8.82,,4,14,,11,8,,2,8,,2398,2447,,68.0,109.0,.367,.444,.550,47.6,52.9,8.0,6.2,.503,12.7,27.2,.287
303,Northwestern State,32,10,22,.313,-9.52,-2.69,,8,14,,8,6,,2,15,,2185,2317,,65.7,103.5,.403,.338,.540,47.8,51.4,9.8,6.9,.494,15.6,27.2,.299
304,Vermont,34,22,12,.647,-7.01,-10.38,,12,4,,13,3,,8,7,,2496,2330,,64.7,112.2,.316,.449,.567,52.7,48.8,7.0,9.3,.539,12.7,27.1,.226
305,Drake,34,14,20,.412,-1.32,1.06,,6,14,,6,11,,4,7,,2552,2544,,68.1,109.5,.335,.457,.553,49.3,52.0,8.0,9.2,.521,13.1,27.1,.241
306,Colgate,33,18,15,.545,-6.24,-5.62,,11,7,,9,5,,6,10,,2522,2462,,66.9,111.7,.292,.350,.572,50.0,51.9,8.7,8.7,.542,13.2,27.1,.218
307,NJIT,33,16,17,.485,-15.98,-8.48,,10,6,,8,6,,8,11,,2212,2417,,68.3,98.1,.331,.407,.505,47.6,46.2,9.8,9.3,.467,14.8,27.1,.234
308,Loyola Marymount,32,15,17,.469,0.79,1.21,,6,12,,10,8,,4,7,,2376,2306,,68.6,107.0,.313,.400,.556,48.8,49.4,8.8,10.9,.528,15.2,27.1,.220
309,New Hampshire,30,9,21,.300,-17.19,-7.47,,5,11,,8,5,,1,16,,2076,2238,,67.7,99.7,.287,.434,.503,48.9,45.1,8.9,6.1,.476,14.0,27.0,.189
310,Ball State,31,12,19,.387,-9.89,-4.58,,7,11,,7,7,,4,11,,2093,2154,,65.8,101.7,.321,.390,.515,47.5,53.0,11.4,8.3,.482,14.0,27.0,.223
311,Lipscomb,32,19,13,.594,-4.50,-5.10,,12,6,,13,1,,6,11,,2549,2423,,70.9,111.9,.257,.482,.576,49.0,63.2,9.8,7.7,.549,14.0,27.0,.194
312,Long Beach State,32,10,22,.313,-5.80,-0.03,,6,14,,7,9,,3,13,,2396,2489,,71.3,103.8,.302,.342,.545,49.3,47.6,9.7,8.0,.514,15.7,27.0,.220
313,Bucknell,33,10,23,.303,-14.65,-5.71,,6,12,,6,8,,4,12,,2223,2518,,66.9,99.5,.298,.427,.525,47.3,54.0,10.7,5.9,.485,16.7,27.0,.229
314,Indiana,32,18,14,.563,16.43,10.43,,9,11,,14,4,,3,8,,2501,2309,,66.6,116.0,.350,.505,.598,50.0,62.5,6.9,7.4,.561,13.5,26.9,.273
315,Omaha,33,16,17,.485,-7.63,-3.87,,8,8,,10,4,,5,10,,2507,2522,,68.7,110.2,.331,.416,.569,50.3,48.9,8.3,8.8,.536,14.2,26.9,.244
316,William & Mary,32,20,12,.625,-0.31,-2.95,,10,8,,11,2,,6,9,,2660,2487,,73.9,112.5,.437,.425,.591,49.4,64.0,10.8,11.7,.551,14.7,26.9,.326
317,Dayton,37,25,12,.676,9.03,4.19,,12,6,,14,4,,8,5,,2743,2564,,67.6,108.5,.462,.414,.566,49.4,59.1,12.0,12.0,.516,15.0,26.9,.348
318,Harvard,29,17,12,.586,-1.88,-4.34,,10,4,,8,4,,9,6,,2032,1934,,64.0,108.1,.265,.401,.567,50.3,55.4,11.1,10.6,.532,15.3,26.9,.212
319,Alcorn State,32,9,23,.281,-20.10,-6.82,,7,11,,5,4,,2,18,,2141,2566,,69.4,96.0,.318,.337,.512,44.9,46.6,11.0,9.1,.477,17.2,26.9,.225
320,Minnesota,33,15,18,.455,9.76,8.88,,8,12,,13,4,,2,9,,2289,2260,,62.9,109.1,.358,.471,.566,48.8,71.0,10.0,8.2,.539,14.7,26.8,.248
321,North Florida,32,7,25,.219,-15.70,-3.27,,5,13,,5,8,,2,14,,2547,2821,,72.5,109.4,.288,.511,.570,45.2,50.6,7.0,3.4,.536,15.2,26.8,.223
322,Oregon State,33,17,16,.515,0.43,3.46,,9,9,,12,5,,4,7,,2347,2447,,66.2,105.8,.431,.443,.557,48.2,61.2,8.2,10.7,.505,15.7,26.8,.333
323,Mercyhurst,34,17,17,.500,-10.04,-9.64,,10,8,,12,3,,5,14,,2358,2291,,65.0,105.2,.249,.315,.531,48.6,55.5,11.0,10.9,.504,12.7,26.7,.180
324,Nebraska NCAA,35,28,7,.800,21.40,10.58,,15,5,,16,2,,7,3,,2694,2315,,66.8,114.4,.262,.511,.582,50.5,65.9,10.6,8.7,.555,12.8,26.7,.198
325,UC Davis,33,19,14,.576,-1.39,-1.42,,11,9,,12,4,,6,9,,2562,2478,,71.9,107.2,.406,.431,.564,48.2,60.3,11.1,7.7,.521,15.7,26.6,.304
326,East Texas A&M,32,11,21,.344,-11.18,-2.22,,6,16,,6,8,,4,13,,2246,2385,,69.3,101.2,.311,.464,.534,47.2,64.9,10.5,8.7,.508,16.5,26.6,.211
327,Mississippi Valley State,33,3,30,.091,-28.66,-8.19,,2,16,,2,9,,1,18,,2120,2739,,70.0,91.1,.337,.308,.498,45.3,53.4,10.3,8.0,.457,19.2,26.6,.241
328,Xavier,33,15,18,.455,7.74,10.01,,6,14,,12,6,,1,10,,2586,2661,,71.2,109.2,.281,.406,.547,47.6,62.2,9.0,10.3,.518,12.3,26.5,.205
329,VMI,32,6,26,.188,-20.88,-6.19,,1,17,,5,9,,1,14,,2303,2560,,68.6,104.9,.292,.540,.523,45.1,51.9,10.2,7.2,.490,12.7,26.5,.211
330,Miami (OH) NCAA,34,32,2,.941,5.64,-4.14,,18,0,,16,0,,14,0,,3047,2566,,71.7,123.1,.391,.455,.634,51.0,51.9,10.1,8.4,.606,12.7,26.5,.292
331,California,34,22,12,.647,11.17,6.84,,9,9,,17,5,,4,6,,2658,2493,,69.4,111.8,.364,.429,.568,48.7,53.2,8.7,8.7,.524,13.1,26.5,.284
332,Old Dominion,33,12,21,.364,-7.42,-4.42,,7,11,,7,6,,4,14,,2514,2570,,70.4,107.4,.347,.362,.545,48.4,49.2,8.1,8.3,.508,13.5,26.5,.255
333,Lafayette,32,11,21,.344,-13.10,-6.84,,8,10,,6,10,,5,11,,2222,2381,,67.2,102.9,.325,.400,.523,48.0,55.4,8.2,6.6,.492,13.5,26.1,.224
334,Penn State,32,12,20,.375,3.75,9.41,,3,17,,9,8,,2,9,,2358,2539,,67.5,109.2,.338,.381,.566,46.7,48.3,10.3,5.2,.530,13.9,25.9,.253
335,Dartmouth,27,11,16,.407,-8.51,-3.19,,5,9,,5,8,,6,8,,2047,2071,,69.7,108.2,.370,.491,.567,49.7,55.5,7.1,9.8,.529,15.4,25.8,.276
336,Samford,32,18,14,.563,-5.40,-6.23,,11,7,,11,3,,6,9,,2525,2409,,68.7,113.5,.409,.465,.568,50.6,56.0,6.6,7.2,.537,11.7,25.7,.282
337,Green Bay,33,18,15,.545,-5.22,-3.26,,12,8,,10,4,,6,9,,2469,2470,,65.2,114.0,.416,.371,.595,49.9,54.6,6.8,8.6,.553,14.2,25.7,.318
338,Seattle,35,21,14,.600,4.63,2.75,,8,10,,14,4,,5,8,,2525,2354,,69.2,103.9,.346,.387,.539,47.3,53.6,11.6,13.9,.505,14.7,25.5,.245
339,Le Moyne,32,15,17,.469,-11.07,-9.48,,10,8,,9,4,,5,12,,2336,2341,,69.4,105.1,.385,.405,.564,49.8,56.5,8.4,9.1,.529,16.9,25.5,.277
340,South Alabama,33,21,12,.636,-4.26,-6.20,,11,7,,10,4,,8,7,,2454,2312,,66.1,110.3,.387,.366,.555,48.9,45.3,12.0,10.6,.529,11.4,25.4,.255
341,Sacramento State,31,10,21,.323,-8.12,-0.41,,6,12,,10,4,,0,16,,2408,2542,,72.9,106.1,.407,.368,.536,46.3,50.8,10.4,9.1,.482,12.6,25.4,.316
342,Maryland-Baltimore County NCAA,33,24,9,.727,-4.67,-11.80,,14,2,,15,2,,9,6,,2522,2230,,67.0,113.2,.332,.392,.578,51.6,44.9,7.5,6.8,.544,12.7,25.4,.252
343,Cal State Fullerton,34,18,16,.529,-2.15,-0.27,,12,8,,10,4,,6,10,,2822,2778,,76.3,108.8,.381,.430,.560,48.0,57.0,10.7,8.6,.525,13.4,25.4,.273
344,Niagara,30,8,22,.267,-16.32,-7.91,,5,15,,6,7,,2,14,,1916,2137,,63.1,100.8,.261,.402,.536,46.5,59.9,8.9,9.0,.508,16.7,25.4,.189
345,Richmond,32,15,17,.469,2.13,0.17,,5,13,,11,7,,3,8,,2455,2366,,68.6,111.3,.367,.428,.565,47.7,54.7,10.2,7.4,.525,12.5,25.3,.276
346,Louisiana-Monroe,32,4,28,.125,-18.75,-5.08,,1,17,,3,11,,1,15,,2318,2685,,71.1,101.1,.394,.415,.525,44.8,50.8,8.5,9.0,.479,15.0,25.3,.288
347,Merrimack,34,23,11,.676,-4.33,-6.39,,17,3,,11,0,,9,8,,2330,2260,,63.7,106.4,.382,.461,.543,42.9,56.0,12.7,13.9,.491,13.2,24.8,.301
348,Northern Arizona,32,10,22,.313,-11.06,-1.54,,4,14,,9,7,,1,13,,2282,2445,,66.6,107.1,.330,.368,.558,45.8,51.8,10.3,7.9,.533,14.1,24.2,.224
349,Chattanooga,32,13,19,.406,-11.07,-7.14,,7,11,,7,8,,6,9,,2454,2408,,68.1,112.7,.278,.506,.581,48.2,56.8,7.8,8.0,.551,12.7,24.1,.213
350,New Haven,31,14,17,.452,-13.86,-7.89,,9,9,,9,6,,5,11,,2013,2055,,64.2,101.1,.307,.403,.532,48.7,51.5,10.2,6.8,.504,15.4,24.0,.212
351,Lehigh NCAA,35,18,17,.514,-10.06,-7.48,,11,7,,13,4,,4,11,,2545,2582,,67.0,105.1,.320,.390,.562,47.3,54.9,9.6,8.0,.531,15.9,23.9,.233
352,Gardner-Webb,33,4,29,.121,-22.49,-1.99,,1,15,,3,10,,0,16,,2248,2820,,71.0,96.0,.307,.387,.517,43.8,41.3,8.9,6.8,.487,17.1,23.8,.210
353,Purdue Fort Wayne,32,17,15,.531,-7.44,-2.89,,11,9,,11,4,,6,11,,2499,2467,,70.2,111.2,.299,.444,.570,45.2,49.2,12.2,9.5,.544,12.7,23.6,.213
354,Tulane,33,18,15,.545,-2.56,1.06,,8,10,,10,8,,6,4,,2389,2493,,68.2,105.3,.434,.451,.548,44.3,55.5,11.2,12.6,.495,14.0,23.2,.332
355,Bellarmine,32,13,19,.406,-9.34,-4.97,,7,11,,9,5,,2,13,,2561,2614,,66.4,119.6,.346,.406,.632,46.5,53.4,9.1,6.0,.599,13.9,23.1,.274
356,Holy Cross,33,11,22,.333,-13.96,-7.09,,5,13,,6,8,,4,14,,2251,2418,,66.1,103.3,.319,.374,.535,47.7,45.0,8.7,5.1,.496,13.7,23.0,.241
357,Evansville,32,7,25,.219,-9.20,3.30,,3,17,,5,10,,1,12,,2143,2447,,67.5,98.5,.297,.433,.532,46.7,55.6,7.7,10.0,.499,17.0,23.0,.217
358,St. Thomas,34,24,10,.706,2.48,-5.33,,12,4,,14,1,,8,7,,2780,2433,,70.0,116.8,.342,.459,.607,50.0,57.4,10.6,7.5,.589,12.7,22.8,.233
359,Montana,34,18,16,.529,-2.72,-0.85,,10,8,,11,6,,5,9,,2627,2535,,71.2,108.6,.372,.418,.601,50.4,55.4,7.9,6.3,.564,17.5,22.0,.286
360,Northern Iowa NCAA,36,23,13,.639,7.87,1.81,,11,9,,12,5,,6,6,,2500,2223,,63.6,108.4,.254,.395,.564,48.9,56.9,10.1,9.8,.544,13.1,21.9,.176
361,Binghamton,31,8,23,.258,-20.90,-11.01,,4,12,,7,8,,1,14,,2105,2321,,65.1,102.3,.417,.318,.556,48.1,49.8,7.8,8.5,.511,16.8,21.8,.311
362,Air Force,32,3,29,.094,-13.71,4.63,,0,20,,3,15,,0,12,,1969,2556,,67.4,91.3,.351,.418,.516,44.8,55.9,8.3,6.8,.489,19.8,21.4,.225
363,Delaware,31,10,21,.323,-8.80,-2.60,,6,14,,5,10,,4,10,,2098,2293,,64.2,103.3,.306,.460,.566,46.9,52.2,8.6,9.1,.528,16.8,21.0,.241
364,Liberty,34,26,8,.765,2.56,-1.08,,17,3,,14,2,,11,3,,2641,2397,,64.8,119.0,.309,.483,.623,46.3,61.8,9.7,9.4,.605,12.1,19.7,.220
365,Maine,32,8,24,.250,-17.09,-9.77,,6,10,,4,8,,4,14,,2001,2190,,65.4,95.6,.376,.374,.531,43.2,55.2,11.9,9.1,.505,17.4,19.7,.241
