 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%▼,FT/FGA
61,Fordham,32,17,15,.531,0.11,-1.10,,8,10,,11,7,,4,6,,2235,2095,,65.7,105.9,.257,.384,.522,54.5,54.7,11.1,6.8,.496,14.6,34.8,.179
62,Massachusetts-Lowell,33,15,18,.455,-14.33,-8.63,,9,7,,10,4,,5,14,,2471,2518,,69.4,107.9,.363,.309,.539,53.2,45.7,7.6,7.8,.510,14.9,34.8,.242
63,Stephen F. Austin,34,28,6,.824,3.95,-4.30,,20,2,,15,1,,12,4,,2604,2265,,66.8,114.3,.292,.399,.545,52.6,49.2,10.6,10.2,.521,11.7,34.7,.198
64,St. Bonaventure,34,17,17,.500,2.28,1.55,,4,14,,9,7,,4,7,,2596,2532,,67.4,112.4,.297,.315,.558,52.4,55.9,11.2,13.7,.526,14.3,34.7,.221
65,Washington,33,16,17,.485,13.93,10.45,,7,13,,10,6,,4,9,,2545,2430,,68.0,112.2,.301,.346,.549,53.3,49.4,8.3,11.2,.512,13.0,34.6,.230
66,Butler,32,16,16,.500,10.30,8.46,,7,13,,10,7,,3,8,,2540,2481,,70.0,111.7,.421,.349,.550,52.4,57.2,9.1,8.0,.509,13.6,34.6,.303
67,Texas State,32,19,13,.594,-7.46,-6.90,,11,7,,16,1,,3,9,,2365,2271,,67.8,107.7,.346,.248,.550,53.6,48.4,12.2,10.5,.509,15.9,34.6,.262
68,Wyoming,33,18,15,.545,7.38,4.13,,9,11,,14,4,,3,10,,2537,2409,,67.8,113.4,.356,.423,.558,52.7,53.0,9.7,7.0,.521,13.8,34.5,.263
69,Quinnipiac,32,19,13,.594,-5.57,-7.12,,12,8,,10,5,,9,7,,2411,2303,,70.0,106.8,.331,.341,.520,51.2,50.5,11.2,11.4,.488,13.1,34.4,.227
70,Tulsa,37,30,7,.811,11.51,1.62,,13,5,,16,2,,8,4,,3147,2707,,69.0,121.6,.407,.467,.600,54.0,55.6,9.2,7.0,.558,13.2,34.4,.317
71,Appalachian State,32,19,13,.594,-3.95,-5.85,,11,7,,11,4,,7,8,,2305,2114,,64.7,110.9,.387,.460,.536,53.5,48.5,7.6,10.8,.510,12.8,34.3,.248
72,Brigham Young NCAA,35,23,12,.657,20.40,12.29,,9,9,,12,3,,3,6,,2924,2640,,70.4,118.3,.344,.398,.578,52.6,45.0,10.2,11.8,.544,12.9,34.3,.257
73,Idaho State,33,13,20,.394,-5.87,-1.93,,5,13,,8,6,,3,12,,2459,2513,,66.9,111.0,.382,.412,.560,53.1,46.7,7.8,12.0,.520,14.3,34.2,.282
74,Charlotte,34,17,17,.500,-0.22,1.06,,9,9,,11,6,,4,8,,2492,2530,,64.5,111.6,.366,.453,.567,51.5,52.1,7.0,9.9,.535,15.6,34.2,.262
75,Detroit Mercy,32,17,15,.531,-5.79,-3.36,,12,8,,9,5,,7,9,,2471,2475,,70.0,110.2,.343,.308,.543,52.1,48.0,8.5,9.3,.498,13.7,34.1,.266
