Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
148,Towson,CAA,5-Jul,1.5,107.4,175,105.9,128,63.8,361,0.111,20,6.9,34,112.2,29,105.3,55,6.9,37
149,Western Kentucky,CUSA,4-Jul,1.41,108,158,106.6,142,72.2,40,0.004,183,1.14,144,108.7,125,107.6,166,1.14,145
150,Temple,Amer,5-Jul,1.37,114.1,80,112.7,289,67.3,267,-0.023,229,-2.3,253,104.8,319,107.1,134,-2.3,253
151,Wright St.,Horz,7-May,1.28,108.2,156,106.9,146,67.4,262,-0.248,365,1.25,142,109.6,99,108.3,209,2.51,107
152,Washington St.,WCC,8-May,0.87,109.7,134,108.8,197,68.7,196,-0.103,342,3.91,71,110.2,77,106.3,95,3.91,80
153,UC Santa Barbara,BW,4-Aug,0.73,112.6,96,111.9,268,66.1,324,0.043,104,-2.9,267,105.6,291,108.5,214,0.45,162
154,Quinnipiac,MAAC,3-Sep,0.69,106.4,190,105.7,124,72.4,34,0.182,2,-2.49,258,106.1,270,108.6,219,-0.78,197
155,Elon,CAA,5-Jul,0.68,114.3,77,113.7,312,68.3,212,-0.031,242,-1.27,217,107.3,207,108.6,222,-1.27,216
156,Furman,SC,4-Aug,0.52,108.8,145,108.2,174,68.3,215,0.101,29,1.56,135,110.3,70,108.8,238,1.56,135
157,Marshall,SB,5-Jul,0.44,108,159,107.6,162,70.4,109,0.042,105,-0.16,180,108.5,137,108.6,225,-0.94,201
158,Idaho St.,BSky,5-Jul,0.38,107.5,169,107.2,154,64.7,354,-0.094,336,3.73,74,110.5,62,106.8,125,3.73,84
159,Toledo,MAC,6-Jun,0.17,113.2,89,113,293,70.4,112,-0.044,269,2.32,110,109,118,106.6,116,2.32,111
160,Middle Tennessee,CUSA,4-Jun,0.14,106.9,182,106.8,143,67.4,263,0.156,4,7.34,32,112.6,25,105.2,49,9.42,22
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
161,Mercer,SC,5-Jul,0.09,108.5,151,108.4,178,71.3,65,0.061,81,5.63,45,111.8,37,106.2,86,5.63,52
162,Youngstown St.,Horz,5-Aug,-0.02,105.3,214,105.3,121,68.2,222,-0.026,234,-2.23,248,107.7,185,110,300,-0.96,202
163,Marist,MAAC,3-Jul,-0.41,101,292,101.4,65,68.3,220,-0.069,312,-8.48,357,102.6,355,111.1,348,-5.27,320
164,Kennesaw St.,CUSA,3-Aug,-0.57,108.9,143,109.5,213,74.6,10,0,193,-6.87,343,103.6,341,110.5,325,-8.63,356
165,Colgate,PL,5-Jun,-0.62,108.6,148,109.2,204,67.3,268,0.034,122,3.07,94,109.5,104,106.4,100,3.07,100
166,Montana St.,BSky,7-May,-0.73,106.6,189,107.3,158,66.6,301,-0.062,302,5.12,52,112.2,31,107.1,129,5.12,61
167,Iona,MAAC,4-Sep,-0.79,107.7,165,108.5,182,72.6,31,0.141,8,-2.82,264,106.6,245,109.4,272,-2.7,261
168,Siena,MAAC,3-Sep,-0.94,104.4,230,105.3,120,66.5,309,0.028,131,-9.76,362,101.7,361,111.5,354,-6.97,342
169,Cornell,Ivy,5-May,-0.97,113.9,82,114.9,331,74.6,9,-0.075,319,-0.27,182,107.7,189,108,191,-0.27,179
170,UT Arlington,WAC,4-Jul,-1.03,102.8,260,103.9,92,66.6,299,0.102,28,1.64,130,107.9,167,106.3,98,1.64,129
171,Massachusetts,MAC,4-Aug,-1.04,103.7,247,104.8,108,72.9,24,-0.029,238,-6.71,341,104.8,314,111.6,355,-7.32,344
172,Fresno St.,MWC,5-Jun,-1.08,106,200,107.1,150,69.8,142,-0.056,292,-3.82,292,105.9,279,109.8,288,-3.82,290
173,Northern Colorado,BSky,3-Sep,-1.09,109.6,135,110.7,237,69.8,145,0.054,88,-3.98,297,107.1,220,111,346,-3.98,294
174,Robert Morris,Horz,4-Oct,-1.53,107.5,171,109,201,66.3,314,0.131,11,-3.84,293,106.5,252,110.3,315,-4.17,298
175,Oregon St.,WCC,6-Jun,-1.67,107.1,177,108.8,192,66.2,318,-0.024,232,-3.64,290,105.2,304,108.9,248,-3.64,286
176,Buffalo,MAC,2-Oct,-1.8,111.2,117,113,291,67.3,266,0.034,123,-6.53,338,104.4,330,110.9,343,-6.74,339
177,Florida Gulf Coast,ASun,7-May,-1.85,109.3,138,111.1,244,70.5,104,-0.054,291,0.42,167,110,81,109.6,283,0.42,166
