Rank,team,rating,Hi,Lo,Last
183,Missouri St,-2.2,142,364,183
184,SF Austin,-2.3,177,343,184
185,UC Davis,-2.3,131,355,185
186,Winthrop,-2.3,39,199,186
187,Utah Tech,-2.4,119,308,187
188,UTEP,-2.4,147,361,188
189,Hawai'i,-2.4,10,292,189
190,Idaho,-2.4,85,275,190
191,Arkansas St,-2.5,60,192,191
192,Bowling Green,-2.5,155,345,192
193,UMass,-2.5,156,328,193
194,UCSB,-2.5,135,334,194
195,NC Wilmington,-2.6,105,355,195
196,S Utah,-2.6,44,348,196
197,Texas A&M-CC,-2.6,62,348,197
198,Wright St,-2.6,129,323,198
199,Old Dominion,-2.7,75,249,199
200,Columbia,-2.7,91,320,200
201,Jacksonville St,-2.7,146,364,201
202,Long Beach St,-2.7,15,265,202
203,Louisiana Tech,-2.7,41,335,203
204,UC Riverside,-2.8,188,355,204
205,Marshall,-2.8,47,206,205
206,Milwaukee,-2.8,77,252,206
207,Delaware,-3,125,335,207
208,Elon,-3,141,349,208
209,UTSA,-3,136,343,209
210,Montana,-3,112,338,210
211,Green Bay,-3,17,329,211
212,SE Louisiana,-3,13,272,212
213,W Carolina,-3,3,300,213
214,Mercer,-3.1,12,256,214
215,Portland St,-3.1,63,315,215
216,Dartmouth,-3.2,99,356,216
217,Southern Miss,-3.2,189,336,217
218,Merrimack,-3.2,58,244,218
219,Detroit Mercy,-3.2,36,309,219
220,Furman,-3.2,71,254,220
221,Sacramento St,-3.2,159,365,221
222,J Madison,-3.2,63,267,222
223,N Colorado,-3.3,172,364,223
224,Weber St,-3.3,57,352,224
225,Abl Christian,-3.3,198,358,225
226,Queens,-3.3,137,274,226
227,Drexel,-3.3,170,355,227
228,Buffalo,-3.3,223,346,228
229,W Michigan,-3.3,213,341,229
230,Stony Brook,-3.4,212,363,230
231,Tarleton St,-3.4,22,279,231
232,NC Asheville,-3.5,57,262,232
233,N Dakota St,-3.6,66,270,233
234,C Michigan,-3.6,105,329,234
235,Samford,-3.6,68,261,235
236,St Thomas,-3.6,11,267,236
237,NW State,-3.6,23,250,237
238,Robert Morris,-3.6,16,268,238
239,S Alabama,-3.7,90,345,239
240,Purdue FW,-3.7,27,264,240
241,Coastal Car,-3.7,160,336,241
242,App State,-3.7,154,321,242
243,S Dakota St,-3.7,102,319,243
244,Idaho St,-3.9,94,344,244
245,Lipscomb,-3.9,2,245,245
246,Lamar,-3.9,192,365,246
247,C Arkansas,-3.9,31,361,247
248,Incarnate Word,-3.9,45,340,248
249,E Tennessee St,-3.9,129,338,249
250,Youngstown St,-4,27,274,250
251,N Kentucky,-4,166,356,251
252,Brown,-4.1,101,309,252
253,Louisiana,-4.1,106,272,253
254,E Texas A&M,-4.1,183,361,254
255,Hampton,-4.2,132,317,255
256,Denver,-4.3,36,328,256
257,Quinnipiac,-4.3,3,261,257
258,Georgia So,-4.3,90,311,258
259,Georgia St,-4.3,67,306,259
260,Austin Peay,-4.4,102,359,260
261,Siena,-4.5,141,298,261
262,Hou Christian,-4.6,261,365,262
263,N Illinois,-4.6,115,322,263
264,E Kentucky,-4.6,108,358,264
265,NC A&T,-4.6,38,363,265
266,Presbyterian,-4.7,187,327,266
267,Ball St,-4.8,212,346,267
268,FGCU,-4.9,151,337,268
269,N Arizona,-5,82,345,269
270,Cleveland St,-5,81,340,270
271,Omaha,-5,44,309,271
272,Wofford,-5,48,293,272
273,NC Greensboro,-5.1,21,292,273
274,Tennessee St,-5.1,167,350,274
275,CS Bakersfield,-5.1,58,333,275
276,Saint Peter's,-5.2,63,345,276
277,Colgate,-5.2,9,279,277
278,Iona,-5.2,100,281,278
279,Oral Roberts,-5.2,34,331,279
280,Jacksonville,-5.2,49,283,280
281,Charleston So,-5.2,55,358,281
282,Texas St,-5.2,91,334,282
283,Marist,-5.3,37,327,283
284,Bellarmine,-5.3,6,337,284
285,IU Indy,-5.3,23,360,285
286,Mt St Mary's,-5.4,52,298,286
287,LIU,-5.4,42,299,287
288,Bucknell,-5.4,110,292,288
289,Radford,-5.5,164,349,289
290,North Dakota,-5.5,9,337,290
291,Sacred Heart,-5.6,146,351,291
292,Chattanooga,-5.7,80,312,292
293,Stetson,-5.7,84,355,293
294,Bethune,-5.7,6,294,294
295,American,-5.8,34,314,295
296,Boston U,-5.9,40,305,296
297,Navy,-5.9,47,329,297
298,SC Upstate,-6,93,345,298
299,N Florida,-6,3,338,299
300,SE Missouri St,-6.1,7,315,300
301,Longwood,-6.1,157,358,301
302,Little Rock,-6.1,150,363,302
303,Fairfield,-6.2,54,337,303
304,Chicago St,-6.3,20,340,304
305,N Alabama,-6.3,10,317,305
306,W Georgia,-6.5,30,337,306
307,Southern,-6.5,5,309,307
308,Lafayette,-6.6,78,336,308
309,UT Martin,-6.6,45,326,309
310,Morehead ,-6.6,136,364,310
311,South Dakota,-6.7,106,339,311
312,UL Monroe,-6.7,93,361,312
313,Vermont,-6.7,172,360,313
314,The Citadel,-6.7,280,365,314
315,Holy Cross,-6.8,5,354,315
316,Lindenwood,-6.9,18,331,316
317,Manhattan,-6.9,171,362,317
318,Lehigh,-6.9,2,342,318
319,Albany,-7,17,328,319
320,Rider,-7,11,338,320
321,E Illinois,-7.1,110,333,321
322,Canisius,-7.1,41,357,322
323,Niagara,-7.2,56,356,323
324,Alabama St,-7.3,23,324,324
325,Maine,-7.3,33,326,325
326,Alcorn St,-7.4,28,326,326
327,Gardner-Webb,-7.5,9,361,327
328,NJIT,-7.5,110,357,328
329,Tenn Tech,-7.6,83,353,329
330,Le Moyne,-7.6,210,365,330
331,Howard,-7.6,53,360,331
332,Jackson St,-7.6,2,332,332
333,UMass Lowell,-7.6,228,357,333
334,UMBC,-7.7,175,362,334
335,Loyola MD,-7.7,136,360,335
336,Army,-7.8,279,363,336
337,VMI,-7.8,213,358,337
338,S Indiana,-7.9,42,351,338
339,Bryant,-7.9,60,342,339
340,SIU Edward,-7.9,122,359,340
341,Mercyhurst,-8,44,358,341
342,AR-Pine Bluff,-8.1,35,363,342
343,New Hampshire,-8.1,36,355,343
344,Grambling,-8.1,163,359,344
345,Kansas City,-8.1,213,345,345
346,Wagner,-8.2,29,358,346
347,C Connecticut,-8.3,130,357,347
348,St Francis PA,-8.4,16,360,348
349,Stonehill,-8.5,224,363,349
350,Florida A&M,-8.5,29,355,350
351,Texas So,-8.8,3,351,351
352,F Dickinson,-8.8,13,363,352
