Rank,Team,POSS,Last 3,Last 1,Home,Away,2024
112,Howard,71.7,68.6,71.8,73,71,72.8
113,Wake Forest,71.7,66.7,70.5,72.7,70.4,69.6
114,Tulsa,71.7,72.5,73.1,72.3,71.2,70.4
115,Indiana St,71.7,67.1,61.7,74.6,69.1,74.5
116,Southern Miss,71.7,72.3,75.8,71.7,71.6,73.8
117,UTSA,71.6,70.2,71.8,69.7,73.1,71.8
118,Iona,71.6,73.1,70.5,69.8,73,71.1
119,NC State,71.6,69.7,71.2,71.3,71.9,67.4
120,Portland St,71.6,74.4,76.6,69.5,72.9,70.5
121,G Washington,71.5,71.6,70.4,71.3,71.8,69.8
122,Austin Peay,71.5,73.4,72.7,68.7,73.2,69.5
123,Mississippi,71.5,76.5,79.2,72.8,70.4,71.5
124,Wisconsin,71.5,73.4,75,70.6,72.4,70.6
125,Campbell,71.5,72.4,68.7,71.9,71.2,67.7
126,Quinnipiac,71.5,71,74.1,70.6,72.2,72.7
127,Kentucky,71.5,73.1,69.2,70.6,72.5,74
128,Wichita St,71.4,76.5,76.6,70.2,72.5,71.8
129,Troy,71.4,67.9,63.3,67.8,73.3,68.7
130,Northeastern,71.4,70.4,68.8,71,71.6,69.1
131,E Kentucky,71.4,68.9,66.6,71.9,71,70.7
132,Oral Roberts,71.4,71.6,68.6,69.6,72.5,70.2
133,Virginia Tech,71.4,70.7,78,70.3,72.6,68.5
134,Auburn,71.4,69.1,65.3,72.1,70.7,71.1
135,Detroit Mercy,71.4,68.2,70.2,72.3,70.7,70.5
136,Idaho,71.3,71.6,67.7,70.9,71.6,68.6
137,UCSD,71.3,70.9,74.1,71.3,71.4,68.9
138,S Indiana,71.3,65.8,69.5,71.8,71,70.6
139,Santa Clara,71.3,67.8,76.1,71.7,71,72.3
140,W Michigan,71.3,71.9,73.2,70.9,71.6,70.9
141,NC A&T,71.3,74.3,74.1,72.5,70.6,70.9
142,VCU,71.3,70.5,67.5,71.6,71,68.3
143,Utah Tech,71.3,77.5,72.4,72.2,70.7,70.6
144,Oklahoma,71.2,77.1,72.1,69.7,72.5,71.2
145,Mercer,71.2,68.3,68.8,70.6,71.7,74
146,SE Missouri St,71.2,69.2,67.1,70.7,71.5,70.5
147,Alcorn St,71.2,72.1,68,68.8,72.1,68
148,Coastal Car,71.2,67.3,69.1,71.3,71.1,66
149,Abl Christian,71.2,72.4,71.9,70.3,71.6,72.1
150,Bradley,71.1,71.3,60.8,69.6,72.6,68.3
151,Baylor,71.1,69.1,72.1,72.3,70.1,68
152,North Dakota,71.1,66.3,65.6,71.8,70.7,71.7
153,Dartmouth,71.1,71.6,78.4,71.4,70.9,73.6
154,St Thomas,71.1,67.4,71.1,72,70.5,71.2
155,Loyola MD,71.1,64.7,65.5,71.4,70.9,68.3
156,W Carolina,71.1,66.6,66.4,68.6,72.6,73.7
157,Syracuse,71.1,68.8,67.1,71.5,70.5,71.8
158,North Carolina,71.1,72,79.1,71.6,70.4,73
159,E Washington,71.1,71.8,74,68.7,72.3,69.3
160,Coppin St,71,71.2,73.8,69.7,71.5,70.8
161,Cincinnati,71,71,79,72.3,69.5,68.2
162,Toledo,71,70.4,70.2,70.7,71.2,71.2
163,Penn,71,71.4,69,70.4,71.4,69.7
164,San Diego,70.9,65.2,61.6,71.5,70.5,73.6
165,Grambling,70.9,71,71.6,71.8,70.5,67.9
166,Denver,70.9,70.3,69.1,70.6,71.2,70.8
167,Norfolk St,70.9,75,76.5,72.2,70.2,69.5
168,Georgia St,70.9,71.2,70.3,69.2,72.1,71.6
169,Charleston,70.9,66.8,62.9,71.4,70.4,72.7
170,Miami,70.9,66.6,66.6,72.4,69.3,69.6
171,Samford,70.9,70.1,70.5,70,71.5,73.9
172,Wright St,70.8,72.4,66.9,69.6,71.9,70.4
173,NC Greensboro,70.8,67.9,67.6,70.2,71.2,66.7
174,Milwaukee,70.8,70,70.2,70.5,71.1,71.4
175,Fresno St,70.8,68.5,64.5,70.7,70.9,74.3
176,Missouri,70.8,73,69.2,72.3,68.9,71.5
177,N Dakota St,70.7,69.7,74.8,73.4,69.3,68.9
178,Elon,70.7,67.2,68.7,71.2,70.3,67.4
179,N Illinois,70.7,70.6,69.7,71.4,70.2,72.8
180,Seattle,70.7,70.8,75.2,72.2,69.2,69.1
181,Purdue FW,70.7,68,60.9,70.8,70.6,72.4
182,Omaha,70.6,67.2,68.8,70.1,70.9,70.6
183,UMass Lowell,70.6,68.8,68.8,70.1,70.8,71.1
184,Washington St,70.5,73.2,71.1,69.8,71.3,73.7
185,Tulane,70.5,74,63.5,70.5,70.6,70
186,Loyola Mymt,70.5,65.3,63.3,71.3,69.6,69.7
187,E Michigan,70.5,71.7,73.7,72.8,68.7,70.3
188,New Hampshire,70.5,71.2,65.6,71.9,69.6,70.4
189,Kansas,70.5,67.4,71.7,71.2,69.9,71.7
190,Le Moyne,70.5,68.1,71.1,69.3,71.2,71.5
191,Rice,70.4,67.5,71.8,70.8,70.1,68.4
192,Youngstown St,70.4,65.9,62.4,70.9,70,72.2
193,Texas,70.3,65.6,61.8,71.2,69.6,70.8
194,Army,70.3,72.4,68.4,70.1,70.6,70.7
195,Washington,70.3,71.8,66.7,71.4,69.3,70.3
196,Manhattan,70.3,69.9,69.4,69.7,70.7,70.4
197,Utah St,70.3,67.6,67.9,70.6,70.1,69
198,Utah,70.3,65.7,67.1,72.4,67.9,71.3
199,South Carolina,70.2,65.4,65.8,71,69.2,69
200,Creighton,70.2,71,68.1,69.5,70.9,69.5
201,Wofford,70.2,70.6,67.1,69.5,70.7,66.5
202,Grand Canyon,70.1,71.8,71.9,69.9,70.4,74.3
203,LIU,70.1,68.1,72.2,67.5,72.1,67.9
204,Sacred Heart,70.1,67.1,63.6,69.1,70.7,72.5
205,Colgate,70.1,68.4,69.5,69.9,70.2,68.4
206,Saint Joseph's,70.1,71.7,74.8,70.4,69.8,70.7
207,Richmond,70.1,64.3,62.5,71.5,68.3,66.9
208,Tennessee,70,72.1,76.8,71.3,68.9,67
209,Iowa St,70,73.1,69.5,69.6,70.3,71.9
210,Cal Baptist,70,70.5,70.3,69,70.8,69.8
211,E Texas A&M,70,64.5,67.7,69,70.6,69.8
212,Texas St,69.9,64.9,69.5,69.5,70.4,70.3
213,Lehigh,69.9,66.6,66.2,70.1,69.8,68.8
214,New Mexico St,69.9,69.1,72,69,70.6,67.6
215,Middle Tenn,69.9,69.5,69.4,70.3,69.6,72.5
216,Nicholls,69.9,66.4,67.4,70,69.8,70.8
217,Illinois Chicago,69.8,65.7,73.2,71.3,69,71.7
218,Brown,69.8,72.9,74.3,70.6,69.1,70.2
219,Stanford,69.8,69.1,76.4,70.9,68.4,68.7
220,Columbia,69.8,66.5,68.4,68.1,71.2,72.8
221,Drake,69.8,67.2,63.6,69.2,70.2,62
222,St Bonaventure,69.8,68.1,67.3,69.8,69.7,66.7
223,Dayton,69.7,63.4,63.8,68.2,71.1,68.7
224,C Michigan,69.7,67.6,68.6,71.3,68.7,70.7
225,Texas Tech,69.7,68.7,72.3,70.2,69.3,69.2
226,UCSB,69.7,68.4,74.7,70.8,68.8,68.4
227,Tenn Tech,69.7,67.1,68.1,67.8,70.9,70.9
228,S Dakota St,69.6,67.8,66.8,69.6,69.6,71.4
229,NJIT,69.6,67.7,64.7,68.6,70.3,68.8
230,N Texas,69.6,77.1,94.7,68.4,70.6,62.7
231,Buffalo,69.6,67.7,71,68.8,70.2,73.7
232,Virginia,69.5,68,70.1,67.8,71.1,62.9
233,Notre Dame,69.5,71.7,77.2,70.2,68.7,68.9
234,Missouri St,69.5,64.3,59.8,70.4,68.7,67.9
235,Boise St,69.5,67.4,70.8,69.1,69.9,67.7
236,NC Asheville,69.5,73.1,68.4,69.3,69.6,72.6
237,Stony Brook,69.5,69.1,73.8,70.9,68.2,66.3
238,Valparaiso,69.5,73.6,89.7,67.7,71.2,70.4
239,Monmouth,69.4,67.7,67.4,69.1,69.7,69.7
240,Stetson,69.4,66.2,63.9,69,69.7,71.2
241,DePaul,69.4,70.5,64.4,71.1,67.1,70.5
242,VMI,69.4,66.5,68.9,68.6,69.8,69.8
243,J Madison,69.4,70.3,72.5,67.7,70.7,67.6
244,Mt St Mary's,69.3,65.9,62.8,68.6,69.8,69.9
245,Evansville,69.3,66.7,64.8,69.5,69.2,68.5
246,Georgetown,69.3,64.1,62,70.9,67.7,70
247,Stonehill,69.3,72.7,68.6,70.3,68.7,67
248,San Francisco,69.2,68.5,69.5,69,69.4,71
249,UT Rio Grande,69.2,73.6,86.8,66.4,71.3,72.7
250,UT Arlington,69.2,68.9,65.9,69.3,69.2,71.1
251,Nevada,69.2,67.7,66.9,68.6,69.8,66.8
252,Little Rock,69.2,72.2,80.9,68.9,69.3,70.1
253,Wyoming,69.2,68.7,77.2,70.6,67.5,67.2
254,Rutgers,69.2,70.4,74.9,69,69.3,72.7
255,Boston College,69.2,70.2,77.2,68.6,69.8,70.3
256,Alabama A&M,69.1,72.8,65.1,69.4,69,75.1
257,Montana St,69.1,66.3,69.4,68.1,69.8,68.2
258,Morehead St,69.1,68.2,71.3,66.7,70.3,66.8
259,McNeese,69.1,72.9,66.9,70.3,68.3,67.4
260,Villanova,69.1,69,68.6,68.1,70.1,65.7
261,Bucknell,69.1,66.7,63.7,71.2,67.5,72
262,Illinois St,69,66.5,65.3,70.2,68,67.4
263,Fairfield,69,66.6,64.4,69.3,68.7,68.2
264,Indiana,69,64.5,62.2,68.4,69.6,71.2
265,Hampton,68.9,71,69.9,69.3,68.7,67.9
266,Chattanooga,68.9,68.9,64,69.3,68.6,70.4
267,Michigan St,68.9,69.9,66.1,69.4,68.3,70.6
268,Maryland,68.8,65.7,67.7,69,68.6,72.2
269,W Illinois,68.7,67.4,70.6,69.1,68.5,67.3
270,Ohio St,68.7,63.3,63.4,70.7,66.7,71.8
271,Robert Morris,68.7,64.3,64,66.6,70.8,71.7
272,Furman,68.7,66,66,68.2,69.1,68.5
273,Presbyterian,68.7,75.2,71.1,70.6,67.6,67.8
274,Texas A&M-CC,68.7,64.2,61.8,66.3,70.2,69.1
275,S Alabama,68.7,66.5,65.2,68.6,68.8,67
276,Air Force,68.7,70.1,72.7,69.5,67.6,66.5
277,E Illinois,68.7,64.9,62.9,69.1,68.4,69.5
278,Penn St,68.7,66.4,63.6,69,68.3,72.6
279,Oregon St,68.6,67.4,63.7,68,69.2,67
280,Nebraska,68.5,63.4,61.5,69.6,67.5,71.5
281,La Salle,68.5,71.7,75.3,68.1,68.9,71.7
282,NC Central,68.5,64,63.8,68.8,68.3,71.6
283,Lafayette,68.4,68.6,67.6,67.8,69.1,67.9
284,Duke,68.4,66.9,64.8,69.7,67.6,68.3
285,SF Austin,68.4,68.7,79.5,68.9,67.9,70.2
286,E Tennessee St,68.4,65.6,64.3,69.7,67.2,67.2
287,UMBC,68.3,68.2,70.1,67.6,69,73.4
288,Oregon,68.3,67.1,64.3,68.4,68.3,71.1
289,Seton Hall,68.3,68.5,69,66.7,70.1,67
290,Idaho St,68.3,70.7,75.1,68.7,68.1,68.4
291,Jacksonville St,68.2,70.7,66.2,66.7,69.7,67.6
292,Rhode Island,68.2,65.2,61.6,69.1,67.5,73.2
293,Chicago St,68.2,66.7,61.9,65,69.7,71.2
294,Binghamton,68.2,65.8,66.3,66.8,69.3,68.9
295,Marist,68.1,69,67.4,68,68.2,66.5
296,Wagner,68.1,65.6,64.9,66.7,69,62.8
297,SIU Edward,68.1,66.7,70.6,67.5,68.5,69.6
298,UCLA,68.1,66.9,64,69.8,66.3,67.5
299,N Alabama,68,65.2,63.8,69.6,67,69.3
300,American,68,64.9,61.6,67.9,68.1,65.6
301,Lamar,67.9,67,68.8,66.8,68.9,68.3
302,Yale,67.9,68,65.6,66.4,69.1,70.6
303,Delaware St,67.9,65.2,57.4,69,67.4,73.8
304,Hofstra,67.9,67.8,72.7,67.9,67.9,67
305,Illinois,67.9,61.4,64,68.2,67.6,74.4
306,UConn,67.9,64.9,64,68.7,67.2,67.3
307,UTEP,67.9,72,67.5,69.6,66.4,70.7
308,Pacific,67.9,65.4,63.2,67.7,68,69.9
309,NC Wilmington,67.9,68.6,65.6,66.1,69.9,68.7
310,Temple,67.9,67.5,66.2,69.4,66.4,72.9
311,UT Martin,67.9,64,62.6,67.6,68,70.2
312,Bellarmine,67.8,71.4,65.2,67.8,67.8,68.9
313,Loyola Chi,67.8,65.8,68.3,68.7,66.8,69.7
314,Ball St,67.7,68.2,68.6,67.5,67.8,70.1
315,The Citadel,67.7,69.2,66,67.9,67.5,67.8
316,Saint Mary's,67.7,63.2,60.7,68.3,67.1,65.7
317,Saint Peter's,67.7,65.2,66,67.6,67.7,66.9
318,Albany,67.6,66.5,69.5,65.7,68.5,70.8
319,Louisiana Tech,67.5,65.4,67,67.9,67.2,68.6
320,San Jose St,67.4,67.6,70.3,67.8,67.1,69.3
321,SE Louisiana,67.3,69.8,75.4,66.3,68,69.2
322,Northwestern,67.3,62.2,60.9,67.9,66.8,68.9
323,Maryland ES,67.3,67.2,70.9,65.8,67.8,69
324,Mercyhurst,67.3,67.5,67.2,68.9,66.2,66.4
325,Navy,67.3,65,68.6,67.4,67.1,68.4
326,Charlotte,67.2,67.8,71.7,67.3,67.2,68.1
327,Incarnate Word,67.2,63.6,62.7,67.5,67,67.3
328,Rider,67.2,68.4,66.6,66.5,67.7,66.8
329,Bryant,67.2,69.1,59.5,67.4,67,75.4
330,Houston,67.1,65.9,62.5,67.4,66.9,65.4
331,NW State,67.1,63,61.4,66.3,67.6,66.6
332,Jacksonville,67,68,65.3,64.9,68.1,70.4
333,Holy Cross,67,67.8,68.6,66.7,67.3,67.6
334,Drexel,67,65.7,67.1,67,66.9,66.8
335,C Connecticut,66.9,65.4,61.9,67,66.8,67.7
336,Clemson,66.9,63.3,55.7,66.5,67.2,68
337,Green Bay,66.8,65.1,68.5,65.1,67.9,70.6
338,Maine,66.7,67.3,67.3,67.4,66.3,68.1
339,Boston U,66.7,62.9,64.2,65.8,67.4,66.3
340,N Arizona,66.7,64.7,66.7,67.4,66.1,68.7
341,Purdue,66.6,65.2,67.3,68.1,65.5,67.4
342,West Virginia,66.6,69.7,68.1,65.3,68.1,67.7
343,Princeton,66.6,65.4,70.1,64.8,67.8,69.3
344,Pittsburgh,66.6,65.9,66.9,68.1,64.8,69.1
345,Liberty,66.5,64.8,63.1,67.1,66.1,68
346,Delaware,66.5,69.4,64,66,66.9,71.7
347,Vermont,66.5,63.2,65.6,65.1,67.6,65.4
348,Hou Christian,66.5,68.2,71.2,67.2,65.9,66.4
349,App State,66.4,68.6,71.6,65.7,66.9,66
350,Davidson,66.3,68,73.8,67.6,65.1,67.6
351,Canisius,66.3,64.6,68.4,65.8,66.7,67.6
352,F Dickinson,66.3,65.9,66.8,64.7,67.2,71.3
353,George Mason,66.3,63.8,65,67.2,64.9,68.1
354,Fordham,66.2,66.2,64.3,65.3,67.4,72.8
355,Harvard,66.2,70.6,70.9,66.1,66.3,68.9
356,Louisiana,66.1,73.5,73.2,65.7,66.4,68.6
357,Merrimack,66,65.4,65.1,67,65.5,66.6
358,Towson,65.9,65.4,63.4,66.2,65.7,66.4
359,Siena,65.8,64.5,63.9,64.9,66.3,69.9
360,Colorado St,65.6,68.5,70,66.2,65,68.3
361,Minnesota,65.4,61.2,61,66,64.8,67.1
362,N Iowa,65.2,62.7,64.6,65.2,65.3,66.9
363,Niagara,65.1,66.2,62.1,63.3,66.4,66.9
364,New Haven,64.7,65.4,68.7,64.5,64.8,--
365,Iowa,64.3,61.1,57.8,65.7,62.9,72.8
