 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
273,South Alabama,33,21,12,.636,-4.26,-6.20,,11,7,,10,4,,8,7,,2454,2312,,66.1,103.9,.243,.649,.522,51.1,70.6,8.2,11.1,.494,15.6,30.3,.178
274,South Carolina,32,13,19,.406,7.29,8.82,,4,14,,11,8,,2,8,,2398,2447,,68.0,111.2,.340,.358,.548,52.4,57.2,9.3,11.1,.516,12.6,32.1,.243
275,South Carolina State,32,10,22,.313,-21.95,-8.78,,7,7,,6,5,,3,16,,2147,2522,,70.2,112.3,.501,.378,.577,53.0,57.6,10.8,9.1,.531,16.5,36.3,.367
276,South Carolina Upstate,32,13,19,.406,-10.37,-5.68,,5,11,,10,5,,3,13,,2376,2357,,70.0,103.7,.348,.365,.529,50.2,44.3,10.3,10.6,.495,14.9,30.4,.242
277,South Dakota,32,16,16,.500,-8.96,-5.23,,8,8,,12,5,,3,10,,2547,2566,,71.3,110.8,.304,.306,.570,50.0,42.8,9.7,8.9,.541,14.2,29.2,.223
278,South Dakota State,32,14,18,.438,-3.45,-3.31,,7,9,,9,4,,4,9,,2413,2331,,67.9,106.9,.327,.472,.547,46.5,53.6,9.5,7.4,.512,13.3,24.4,.241
279,South Florida NCAA,34,25,9,.735,13.45,3.20,,15,3,,13,2,,9,3,,2974,2575,,73.2,101.6,.383,.397,.523,47.0,51.6,8.4,12.7,.484,16.7,31.5,.267
280,Southeast Missouri State,33,20,13,.606,-7.16,-8.13,,14,6,,10,5,,8,7,,2460,2331,,70.5,99.8,.449,.329,.530,49.1,42.8,10.0,9.2,.478,16.6,27.7,.329
281,Southeastern Louisiana,31,9,22,.290,-9.53,-3.07,,6,16,,5,7,,2,15,,2016,2184,,65.8,106.6,.400,.380,.559,51.9,53.6,10.3,9.5,.518,16.9,31.0,.293
282,Southern,34,17,17,.500,-11.20,-7.16,,11,7,,8,4,,7,12,,2707,2650,,72.5,106.4,.412,.379,.564,49.8,53.5,8.8,9.6,.519,17.5,30.4,.311
283,Southern California,32,18,14,.563,10.35,10.93,,7,13,,9,7,,5,6,,2515,2494,,71.0,107.6,.330,.406,.541,48.5,54.7,10.3,8.4,.498,14.2,31.5,.256
284,Southern Illinois,32,16,16,.500,2.77,0.54,,10,10,,8,6,,7,8,,2336,2226,,69.8,98.5,.314,.415,.516,47.8,52.0,9.7,8.3,.485,16.4,27.0,.216
285,SIU Edwardsville,32,19,13,.594,-8.78,-10.57,,12,8,,10,5,,8,7,,2271,2070,,66.5,96.5,.333,.384,.492,48.8,45.4,10.4,8.3,.452,15.7,30.4,.234
286,Southern Indiana,30,7,23,.233,-16.56,-9.31,,4,16,,3,10,,4,11,,2061,2210,,68.8,106.2,.354,.274,.528,51.6,40.1,9.6,13.5,.488,14.1,33.3,.259
287,Southern Methodist NCAA,34,20,14,.588,16.09,9.97,,8,10,,15,3,,3,8,,2858,2650,,70.6,109.6,.321,.477,.547,47.6,60.9,9.3,7.5,.516,14.4,31.6,.230
288,Southern Mississippi,35,19,16,.543,-5.64,-4.76,,9,9,,10,3,,4,11,,2615,2585,,69.9,104.9,.426,.393,.543,47.7,47.2,10.0,10.4,.502,15.4,28.5,.303
289,Southern Utah,32,10,22,.313,-9.38,-0.41,,6,12,,7,6,,2,15,,2442,2544,,72.0,110.0,.302,.291,.545,50.1,45.4,12.0,9.8,.516,12.9,31.4,.215
290,St. Bonaventure,34,17,17,.500,2.28,1.55,,4,14,,9,7,,4,7,,2596,2532,,67.4,109.6,.336,.407,.564,47.6,56.0,9.3,8.1,.528,15.2,29.7,.254
291,St. John's (NY) NCAA,37,30,7,.811,22.67,11.40,,18,2,,15,2,,9,1,,2994,2577,,70.6,98.4,.318,.331,.511,47.4,46.6,8.6,10.0,.475,16.5,29.9,.225
292,St. Thomas,34,24,10,.706,2.48,-5.33,,12,4,,14,1,,8,7,,2780,2433,,70.0,102.2,.292,.415,.530,50.0,54.1,7.5,8.4,.494,14.9,25.9,.218
293,Stanford,33,20,13,.606,11.92,8.89,,9,9,,12,6,,5,5,,2508,2408,,67.9,107.1,.403,.334,.556,49.4,41.9,7.3,9.5,.510,15.7,29.8,.306
294,Stephen F. Austin,34,28,6,.824,3.95,-4.30,,20,2,,15,1,,12,4,,2604,2265,,66.8,99.4,.307,.353,.511,47.4,46.4,8.0,9.6,.475,15.4,28.9,.223
295,Stetson,33,12,21,.364,-12.93,-4.93,,7,11,,9,5,,2,14,,2431,2631,,68.5,116.0,.299,.410,.576,51.5,54.2,11.6,7.5,.547,13.0,31.2,.221
296,Stonehill,33,12,21,.364,-14.80,-9.48,,8,10,,8,5,,4,15,,2191,2263,,67.1,100.7,.304,.332,.501,48.4,43.4,10.8,13.1,.472,12.1,26.2,.203
297,Stony Brook,32,17,15,.531,-5.73,-3.96,,9,9,,12,4,,4,9,,2295,2277,,67.0,105.0,.342,.396,.531,51.9,53.5,10.0,11.7,.496,15.2,31.9,.243
298,Syracuse,32,15,17,.469,9.77,9.02,,6,12,,12,6,,2,7,,2400,2376,,67.8,107.4,.326,.359,.537,52.0,53.0,9.9,7.9,.503,14.8,33.6,.235
299,Tarleton State,32,14,18,.438,-4.93,-1.64,,5,13,,10,6,,4,11,,2385,2349,,71.4,101.6,.467,.403,.562,51.2,54.6,10.0,9.4,.518,21.2,33.3,.339
300,Temple,32,16,16,.500,0.99,-0.82,,8,10,,10,6,,5,6,,2366,2264,,65.6,107.4,.358,.364,.539,49.9,49.4,8.1,11.3,.504,13.5,29.7,.254
301,Tennessee NCAA,37,25,12,.676,21.99,12.71,,11,7,,14,3,,5,5,,2917,2574,,67.4,102.1,.363,.448,.516,41.3,46.7,10.4,9.4,.478,14.0,27.8,.254
302,Tennessee State NCAA,33,23,10,.697,-4.92,-7.78,,15,5,,10,2,,10,7,,2651,2455,,72.2,102.7,.389,.368,.547,47.4,50.5,10.4,7.5,.508,17.6,29.1,.279
303,Tennessee Tech,31,13,18,.419,-13.59,-8.23,,8,12,,8,6,,5,12,,2272,2308,,69.6,107.0,.300,.366,.537,48.3,51.9,11.1,10.2,.503,13.7,29.9,.221
304,Tennessee-Martin,33,22,11,.667,-6.26,-9.39,,13,7,,12,3,,8,6,,2303,2085,,66.9,94.0,.341,.402,.488,45.6,54.1,13.4,10.5,.448,17.5,30.2,.236
305,Texas NCAA,36,21,15,.583,16.82,11.22,,9,9,,12,5,,4,6,,2979,2742,,68.7,110.1,.397,.330,.549,44.9,45.7,9.5,9.6,.505,11.6,26.5,.295
306,Texas A&M NCAA,34,22,12,.647,16.18,9.03,,11,7,,14,4,,6,5,,2927,2684,,72.0,107.3,.353,.418,.547,50.5,55.7,8.8,11.7,.507,15.8,33.0,.263
307,Texas A&M-Corpus Christi,33,18,15,.545,-2.74,-1.88,,13,9,,10,5,,7,9,,2393,2234,,68.2,98.9,.455,.356,.528,47.0,48.4,10.6,10.2,.482,17.5,27.1,.321
308,Texas Christian NCAA,35,23,12,.657,15.29,10.01,,11,7,,14,5,,5,5,,2708,2523,,69.4,102.7,.305,.383,.544,48.4,61.4,8.7,9.8,.512,17.2,29.1,.222
309,Texas Southern,30,12,18,.400,-14.41,-8.33,,10,8,,9,5,,3,12,,2251,2339,,71.2,107.7,.436,.426,.552,50.0,53.9,11.0,8.0,.512,15.0,30.0,.308
310,Texas State,32,19,13,.594,-7.46,-6.90,,11,7,,16,1,,3,9,,2365,2271,,67.8,103.4,.389,.378,.545,46.4,43.8,11.5,9.8,.509,16.7,27.8,.274
311,Texas Tech NCAA,34,23,11,.676,21.08,13.90,,12,6,,14,2,,5,5,,2729,2485,,67.9,107.2,.314,.359,.528,48.2,43.1,8.9,7.7,.497,12.7,30.6,.219
312,Texas-Rio Grande Valley,33,19,14,.576,0.78,-2.35,,14,8,,10,5,,8,8,,2505,2293,,66.6,103.1,.379,.386,.512,49.5,57.8,9.5,9.8,.472,14.0,31.1,.263
313,The Citadel,33,11,22,.333,-16.66,-6.06,,7,11,,7,8,,3,12,,2322,2558,,65.1,116.9,.323,.436,.586,52.1,51.6,9.1,10.5,.566,13.2,30.7,.220
314,Toledo,34,19,15,.559,0.54,-1.81,,11,7,,11,4,,5,9,,2755,2603,,69.8,109.6,.256,.398,.556,50.7,51.1,8.8,8.2,.537,15.4,32.7,.174
315,Towson,34,19,15,.559,-1.07,-1.70,,9,9,,11,3,,3,10,,2354,2248,,64.6,101.9,.282,.417,.509,46.1,46.5,7.6,7.3,.479,13.3,28.2,.196
316,Troy NCAA,34,22,12,.647,-1.18,-3.96,,12,6,,10,3,,9,7,,2696,2488,,67.9,103.9,.310,.390,.526,47.7,50.3,10.0,10.9,.495,15.3,31.1,.218
317,Tulane,33,18,15,.545,-2.56,1.06,,8,10,,10,8,,6,4,,2389,2493,,68.2,109.9,.377,.399,.543,55.7,55.5,9.0,10.8,.507,14.6,35.4,.268
318,Tulsa,37,30,7,.811,11.51,1.62,,13,5,,16,2,,8,4,,3147,2707,,69.0,104.6,.305,.407,.523,46.0,48.4,9.2,9.4,.488,13.2,28.1,.221
319,UAB,32,20,12,.625,3.53,-0.28,,11,7,,8,9,,10,2,,2535,2361,,70.8,102.9,.280,.398,.527,47.6,50.4,8.0,9.8,.496,14.5,27.2,.202
320,UC Davis,33,19,14,.576,-1.39,-1.42,,11,9,,12,4,,6,9,,2562,2478,,71.9,103.7,.399,.385,.554,51.8,52.1,9.0,9.9,.513,18.0,29.9,.293
321,UC Irvine,35,23,12,.657,3.33,-1.49,,15,5,,12,5,,7,5,,2704,2402,,71.5,95.0,.264,.383,.484,47.6,54.2,9.2,8.7,.452,16.2,30.4,.185
322,UC Riverside,32,10,22,.313,-8.06,-0.60,,5,15,,7,7,,3,15,,2334,2492,,70.7,110.1,.392,.312,.558,50.6,49.5,9.8,8.4,.524,13.8,29.6,.276
323,UC San Diego,34,23,11,.676,2.03,-1.97,,12,8,,10,5,,8,5,,2573,2390,,69.8,100.7,.286,.436,.519,49.1,56.2,8.7,10.0,.487,15.0,26.6,.206
324,UC Santa Barbara,32,18,14,.563,0.87,-2.10,,11,9,,11,4,,5,8,,2483,2328,,67.5,106.1,.406,.355,.560,46.3,48.9,10.3,9.5,.522,15.4,24.7,.293
325,UCF NCAA,33,21,12,.636,12.98,10.67,,9,9,,13,5,,5,5,,2662,2586,,70.6,110.1,.349,.394,.558,47.2,51.0,8.6,9.4,.521,13.7,28.8,.259
326,UCLA NCAA,36,24,12,.667,17.68,11.65,,13,7,,17,1,,4,6,,2775,2558,,65.8,106.9,.344,.448,.544,50.9,63.3,7.3,8.1,.504,15.8,33.3,.257
327,UNC Asheville,32,15,17,.469,-6.24,-3.97,,8,8,,9,7,,4,9,,2349,2334,,67.5,106.8,.378,.374,.537,49.1,47.8,9.3,7.5,.505,13.8,30.2,.257
328,UNC Greensboro,34,15,19,.441,-11.43,-6.15,,9,9,,8,6,,4,9,,2673,2736,,69.0,115.3,.295,.464,.573,49.6,50.1,8.5,8.7,.549,11.9,27.9,.209
329,UNC Wilmington,34,27,7,.794,2.01,-4.49,,15,3,,15,4,,12,2,,2594,2313,,66.9,101.7,.314,.424,.511,45.7,47.5,7.7,7.8,.471,13.3,27.1,.231
330,UT Arlington,32,18,14,.563,-1.87,-1.84,,9,9,,9,4,,8,8,,2240,2134,,67.3,97.9,.406,.317,.508,46.1,49.1,11.0,8.8,.463,16.1,29.0,.284
331,Utah,32,10,22,.313,5.85,10.60,,2,16,,8,9,,1,10,,2379,2531,,68.0,115.8,.299,.338,.566,51.0,48.2,8.7,12.0,.539,11.5,31.6,.214
332,Utah State NCAA,36,29,7,.806,17.62,7.45,,15,5,,14,1,,7,5,,2958,2546,,68.4,103.1,.390,.406,.535,49.2,49.9,8.1,9.6,.493,17.5,32.3,.282
333,Utah Tech,34,19,15,.559,-3.70,-1.44,,11,7,,11,3,,6,10,,2612,2548,,68.9,106.1,.328,.337,.530,51.4,47.7,9.8,7.0,.494,14.9,33.1,.236
334,Utah Valley,34,25,9,.735,5.29,-1.58,,14,4,,15,1,,6,7,,2724,2338,,69.9,97.3,.379,.347,.520,46.3,53.4,11.5,7.4,.476,18.7,30.4,.275
335,UTEP,31,11,20,.355,-6.77,-0.52,,7,13,,9,7,,2,11,,2149,2244,,66.8,107.1,.431,.375,.550,52.7,53.6,9.7,8.2,.510,16.2,32.4,.306
336,UTSA,30,5,25,.167,-14.23,1.42,,1,17,,2,12,,2,12,,2084,2422,,70.2,115.0,.335,.435,.551,53.4,55.7,11.4,12.2,.520,12.9,36.9,.238
337,Valparaiso,33,18,15,.545,-0.42,0.27,,11,9,,13,4,,4,10,,2376,2358,,66.3,105.8,.346,.367,.538,49.2,48.9,7.4,8.2,.503,14.8,29.9,.247
338,Vanderbilt NCAA,36,27,9,.750,22.24,11.49,,11,7,,13,3,,8,4,,3086,2699,,70.4,105.7,.395,.379,.538,49.7,46.9,7.4,7.4,.490,15.3,31.5,.298
339,Vermont,34,22,12,.647,-7.01,-10.38,,12,4,,13,3,,8,7,,2496,2330,,64.7,104.7,.363,.414,.541,47.3,49.0,8.4,8.0,.500,13.2,22.4,.268
340,Villanova NCAA,33,24,9,.727,15.91,10.03,,15,5,,13,3,,9,3,,2545,2351,,66.5,105.9,.300,.368,.545,50.4,54.2,7.6,7.3,.514,16.0,31.8,.217
341,Virginia NCAA,36,30,6,.833,20.62,9.01,,15,3,,16,1,,8,2,,2896,2478,,66.4,101.8,.329,.378,.504,45.0,50.9,9.6,10.0,.457,13.3,29.2,.250
342,Virginia Commonwealth NCAA,36,28,8,.778,13.19,4.14,,15,3,,15,2,,7,3,,2910,2584,,69.2,103.3,.328,.351,.524,48.8,50.8,9.0,9.0,.490,14.7,30.0,.232
343,VMI,32,6,26,.188,-20.88,-6.19,,1,17,,5,9,,1,14,,2303,2560,,68.6,116.6,.325,.450,.573,54.9,62.7,8.1,9.9,.543,13.6,34.7,.235
344,Virginia Tech,32,19,13,.594,12.76,8.85,,8,10,,14,3,,3,7,,2521,2396,,68.0,107.2,.288,.396,.541,50.2,47.0,7.8,9.3,.508,14.8,32.6,.214
345,Wagner,31,14,17,.452,-11.97,-8.86,,8,10,,8,5,,6,12,,2210,2222,,66.2,106.1,.377,.366,.532,47.2,54.1,10.8,10.1,.493,13.4,28.4,.270
346,Wake Forest,35,18,17,.514,11.71,9.83,,7,11,,13,7,,2,7,,2759,2693,,69.4,109.7,.357,.466,.556,51.2,56.9,8.9,8.3,.518,15.2,33.0,.264
347,Washington,33,16,17,.485,13.93,10.45,,7,13,,10,6,,4,9,,2545,2430,,68.0,107.1,.310,.382,.535,46.7,49.1,8.2,8.7,.502,12.5,28.5,.224
348,Washington State,32,12,20,.375,3.12,4.73,,7,11,,9,6,,1,11,,2435,2480,,69.2,112.0,.333,.366,.563,48.5,49.0,10.3,9.3,.527,12.8,28.0,.249
349,Weber State,32,16,16,.500,-3.15,-2.92,,10,8,,11,5,,5,10,,2598,2474,,70.7,108.2,.352,.398,.564,47.0,50.2,8.7,10.3,.531,14.7,26.0,.255
350,West Georgia,32,15,17,.469,-11.29,-6.12,,8,10,,10,5,,4,11,,2450,2547,,70.5,111.6,.352,.372,.560,49.3,50.7,9.2,5.6,.525,13.0,29.2,.257
351,West Virginia,33,19,14,.576,12.56,8.10,,9,9,,15,3,,3,6,,2296,2149,,64.0,100.2,.292,.382,.515,49.2,54.3,9.9,11.5,.481,15.6,29.3,.211
352,Western Carolina,31,15,16,.484,-6.60,-3.91,,10,8,,10,3,,4,12,,2432,2397,,69.1,111.0,.384,.431,.574,45.4,47.8,8.8,7.3,.539,13.7,25.4,.281
353,Western Illinois,31,5,26,.161,-23.74,-8.45,,1,19,,4,11,,1,15,,2011,2381,,67.2,113.9,.330,.359,.565,53.3,50.2,10.0,10.8,.538,13.3,33.6,.232
354,Western Kentucky,32,18,14,.563,0.38,-0.55,,11,9,,12,4,,5,7,,2537,2436,,71.1,106.2,.455,.424,.545,49.1,57.7,8.5,12.0,.505,15.1,29.2,.316
355,Western Michigan,31,10,21,.323,-8.57,-2.40,,4,14,,7,8,,3,13,,2318,2464,,69.7,113.6,.372,.437,.568,48.8,54.7,9.5,11.6,.539,12.4,28.9,.260
356,Wichita State,36,24,12,.667,9.50,2.70,,13,5,,15,3,,8,5,,2811,2547,,67.7,102.4,.337,.347,.511,45.2,44.3,8.9,8.2,.474,13.6,28.8,.237
357,William & Mary,32,20,12,.625,-0.31,-2.95,,10,8,,11,2,,6,9,,2660,2487,,73.9,105.2,.345,.454,.543,50.6,53.8,9.9,9.6,.510,16.5,30.9,.244
358,Winthrop,34,23,11,.676,-0.80,-4.57,,13,3,,13,1,,7,9,,2844,2566,,72.1,104.3,.371,.431,.540,46.0,45.3,8.0,10.7,.500,15.0,26.4,.270
359,Wisconsin NCAA,35,24,11,.686,18.91,12.05,,14,6,,15,2,,6,4,,2904,2664,,69.0,108.8,.298,.406,.545,49.6,50.8,6.6,12.5,.514,12.5,28.2,.217
360,Wofford,32,19,13,.594,-7.51,-7.31,,11,7,,10,5,,9,7,,2520,2468,,68.1,112.8,.357,.383,.574,49.5,49.5,8.4,9.3,.536,13.7,28.5,.272
361,Wright State NCAA,35,23,12,.657,0.27,-3.88,,15,5,,11,5,,9,5,,2818,2579,,68.9,106.5,.333,.349,.552,47.3,44.9,9.8,8.9,.517,15.3,28.6,.244
362,Wyoming,33,18,15,.545,7.38,4.13,,9,11,,14,4,,3,10,,2537,2409,,67.8,107.7,.467,.368,.558,47.3,44.9,8.4,10.6,.519,14.8,27.9,.327
363,Xavier,33,15,18,.455,7.74,10.01,,6,14,,12,6,,1,10,,2586,2661,,71.2,112.4,.326,.369,.568,52.4,63.3,8.2,10.2,.541,13.5,29.5,.229
364,Yale,31,24,7,.774,5.71,-2.60,,11,3,,10,3,,9,3,,2520,2197,,66.0,106.0,.254,.454,.537,46.8,53.4,7.7,9.0,.510,14.4,29.1,.183
365,Youngstown State,32,15,17,.469,-4.60,-4.80,,8,12,,10,5,,4,11,,2495,2338,,69.0,105.4,.331,.335,.546,49.0,47.1,10.2,9.4,.509,15.8,30.2,.245
