 
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
95,Furman NCAA,35,22,13,.629,-2.90,-5.37,,10,8,,11,5,,7,5,,2671,2479,,66.7,105.1,.283,.422,.524,46.4,47.9,11.2,9.8,.495,12.5,27.1,.199
96,Gardner-Webb,33,4,29,.121,-22.49,-1.99,,1,15,,3,10,,0,16,,2248,2820,,71.0,120.4,.350,.411,.595,56.2,55.5,11.4,9.8,.567,13.5,35.2,.254
97,George Mason,33,23,10,.697,5.99,1.09,,11,7,,17,3,,4,6,,2418,2237,,64.9,104.5,.284,.420,.525,47.1,52.6,9.9,9.8,.495,13.6,28.2,.201
98,George Washington,35,19,16,.543,8.29,2.58,,8,10,,12,4,,4,8,,2848,2597,,70.3,105.2,.344,.426,.552,46.3,60.6,11.4,10.3,.517,15.9,28.1,.251
99,Georgetown,34,16,18,.471,9.08,8.37,,6,14,,10,7,,4,8,,2503,2479,,67.0,107.6,.339,.412,.536,49.2,54.9,9.2,9.1,.499,13.9,31.5,.246
100,Georgia NCAA,33,22,11,.667,18.47,8.90,,10,8,,14,4,,6,4,,2951,2635,,73.6,106.9,.302,.376,.538,49.8,48.1,9.4,9.8,.506,15.6,34.9,.217
101,Georgia Southern,37,21,16,.568,-6.69,-6.23,,8,10,,9,5,,7,8,,2994,2949,,71.3,110.6,.403,.397,.561,53.2,47.1,8.9,8.9,.520,16.1,34.5,.298
102,Georgia State,32,10,22,.313,-11.78,-4.78,,7,11,,7,7,,3,12,,2253,2391,,69.3,107.5,.353,.388,.536,52.5,52.0,8.6,8.5,.502,14.3,32.5,.246
103,Georgia Tech,31,11,20,.355,2.59,6.23,,2,16,,10,9,,1,9,,2287,2400,,71.6,107.7,.342,.444,.535,49.7,56.3,11.3,10.8,.499,13.4,30.7,.244
104,Gonzaga NCAA,35,31,4,.886,23.97,5.85,,16,2,,15,0,,8,2,,2950,2316,,70.2,94.0,.309,.428,.500,44.6,52.8,7.6,6.0,.463,17.5,25.7,.221
105,Grambling,33,14,19,.424,-12.47,-10.24,,7,11,,7,5,,4,13,,2321,2314,,69.9,100.4,.394,.354,.534,50.2,52.0,12.1,12.5,.493,18.4,31.4,.281
106,Grand Canyon,32,20,12,.625,10.99,4.02,,13,7,,13,4,,6,5,,2420,2197,,69.0,99.1,.390,.382,.521,46.4,50.1,9.3,7.9,.474,15.4,25.3,.285
107,Green Bay,33,18,15,.545,-5.22,-3.26,,12,8,,10,4,,6,9,,2469,2470,,65.2,114.0,.366,.436,.566,50.1,58.1,9.3,8.9,.529,11.9,28.7,.272
108,Hampton,32,13,19,.406,-8.92,-4.82,,7,11,,10,2,,2,12,,2237,2264,,66.5,105.6,.442,.335,.541,49.0,50.1,9.2,11.8,.504,15.1,29.6,.300
109,Harvard,29,17,12,.586,-1.88,-4.34,,10,4,,8,4,,9,6,,2032,1934,,64.0,102.9,.269,.391,.528,49.7,51.5,10.1,7.4,.498,15.0,27.8,.197
110,Hawaii NCAA,33,24,9,.727,4.49,-3.06,,14,6,,16,3,,6,5,,2626,2328,,72.2,97.0,.346,.325,.502,45.9,39.3,10.6,8.4,.464,14.8,25.6,.241
111,High Point NCAA,36,31,5,.861,7.29,-6.32,,15,1,,17,1,,7,2,,3230,2565,,71.9,98.3,.349,.402,.532,48.5,52.0,6.6,9.9,.496,19.2,29.9,.247
112,Hofstra NCAA,35,24,11,.686,4.17,-1.95,,12,6,,10,2,,9,8,,2641,2336,,65.7,100.9,.338,.406,.495,46.6,54.7,7.6,10.3,.454,13.0,29.9,.240
113,Holy Cross,33,11,22,.333,-13.96,-7.09,,5,13,,6,8,,4,14,,2251,2418,,66.1,110.9,.268,.386,.566,52.3,50.0,9.6,8.7,.539,13.1,26.9,.198
114,Houston NCAA,37,30,7,.811,26.31,11.77,,14,4,,15,1,,6,3,,2844,2306,,64.8,95.9,.387,.415,.504,47.6,53.5,6.9,6.4,.462,17.8,30.3,.269
