Team, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
New Hampshire,-28.73,94.96,123.69,67.74,-16.34,117.45,101.12
Chicago State,-29.0,95.94,124.95,66.27,-10.43,113.83,103.4
UL Monroe,-29.34,98.38,127.72,70.65,-9.48,114.15,104.67
Jackson State,-29.93,95.98,125.91,70.36,-10.64,114.71,104.07
North Carolina Central,-30.31,96.91,127.21,66.35,-15.72,116.5,100.78
Morgan State,-30.69,96.3,126.99,70.62,-18.26,117.23,98.97
Kansas City,-31.15,90.9,122.05,70.42,-6.39,114.38,107.99
St. Francis (PA),-31.16,95.99,127.15,70.75,-11.78,115.42,103.64
Rider,-32.21,92.79,125.0,65.99,-10.31,114.2,103.89
Alcorn State,-32.8,92.62,125.42,68.11,-11.84,115.36,103.53
VMI,-32.97,93.86,126.83,67.69,-10.62,117.25,106.63
Bryant,-33.46,92.05,125.52,64.64,-14.45,115.9,101.45
South Carolina State,-33.55,92.2,125.75,68.54,-16.45,117.79,101.34
Gardner-Webb,-33.64,92.18,125.82,70.21,-4.28,112.66,108.38
Delaware State,-35.45,84.46,119.92,65.88,-17.7,118.42,100.72
Binghamton,-37.25,94.93,132.18,65.66,-19.8,118.99,99.2
Western Illinois,-37.28,91.18,128.46,66.43,-15.38,116.33,100.95
Coppin State,-39.66,87.15,126.81,69.2,-13.53,115.74,102.21
Mississippi Valley State,-45.62,85.15,130.78,67.78,-13.73,116.54,102.81
