Player,Team,O_BAPM,D_BAPM,Total_BAPM
Lamar Washington,Georgia Tech,-0.11,0.91,0.8
Nate Guerengomba,Quinnipiac,0.3,0.5,0.8
Melih Tunca,Penn State,1.46,-0.66,0.8
Isaac Hawkins,Utah Valley,-0.01,0.81,0.8
Dre Kindell,Wichita St,0.61,0.19,0.8
Mike Williams,Seton Hall,0.01,0.79,0.8
Godslove Nwabude,E Michigan,0.05,0.75,0.8
JaQualon Roberts,Davidson,0.58,0.22,0.8
Ace Buckner,Clemson,1.31,-0.51,0.8
Duce Paschal,Weber St,0.59,0.21,0.8
Keyshuan Tillery,Cincinnati,-0.66,1.46,0.8
Joshua O'Garro,CSU Northridge,0.54,0.25,0.79
Chase McCarty,Houston,-0.27,1.06,0.79
John Broom,South Alabama,0.31,0.48,0.79
Armelo Boone,Western KY,0.1,0.69,0.79
Mike James,Vanderbilt,0.89,-0.1,0.79
Justin Thomas,Bowling Green,-0.53,1.32,0.79
D'Andre Harrison,Kansas City,0.04,0.75,0.79
Alex Steen,Florida St,1.6,-0.81,0.79
Zaon Collins,Fresno St,1.06,-0.27,0.79
Elijah Perkins,Saint Peter's,-0.11,0.9,0.79
Barrington Hargress,Colorado,1.8,-1.02,0.78
Connor Igoe,Columbia,0.56,0.22,0.78
Tyrone Marshall Jr.,G Washington,0.33,0.45,0.78
Stephen Giwa,Rice,-0.38,1.16,0.78
Daniel Thomas,UNC Asheville,0.2,0.58,0.78
Langston Love,Georgetown,0.5,0.28,0.78
Ubong Okon,Robert Morris,0.41,0.37,0.78
Antonio Chol,New Mexico,1.38,-0.6,0.78
Dwayne Koroma,UConn,-0.13,0.91,0.78
Brayden Barron,Portland St,0.31,0.47,0.78
Honor Huff,West Virginia,0.12,0.66,0.78
Simeon Cottle,Kennesaw St,0.88,-0.1,0.78
Eren Banks,App State,0.04,0.73,0.77
Buddy Hammer Jr.,North Texas,-0.63,1.4,0.77
Daniel Freitag,Buffalo,1.36,-0.59,0.77
Tey Barbour,Harvard,0.79,-0.02,0.77
Malik Thomas,Virginia,-0.27,1.04,0.77
Francis Chukwudebelu,Santa Clara,0.05,0.72,0.77
Elijah Elliott,New Mexico St,1.17,-0.4,0.77
Jo Valrie,SIUE,-0.15,0.92,0.77
Mekhi Fitts,Grambling,0.24,0.53,0.77
DJ Patrick,UNC Asheville,-0.06,0.83,0.77
Jackson Shelstad,Oregon,0.53,0.24,0.77
Noah Barnett,Vermont,0.63,0.13,0.76
Drew Fielder,Boise St,1.14,-0.38,0.76
Chansey Willis Jr.,Minnesota,-0.09,0.85,0.76
Parby Kabamba,Marist,0.07,0.69,0.76
Dean Shepherd,Delaware St,0.4,0.35,0.75
Sebastian Mack,Missouri,-0.32,1.07,0.75
Terrance Arceneaux,NC State,0.92,-0.17,0.75
Logan Kinsey,Denver,2.49,-1.74,0.75
Ian Smikle,Tulsa,-0.34,1.09,0.75
David Idada,SE Missouri,0.05,0.7,0.75
Noah Taitz,Utah Valley,-0.11,0.86,0.75
Dashon Gittens,Sacred Heart,0.82,-0.07,0.75
Elijah Kennedy,Hampton,-0.46,1.21,0.75
Keaton Norris,Samford,-0.23,0.98,0.75
Grant Stubblefield,Omaha,0.28,0.46,0.74
Acaden Lewis,Villanova,0.7,0.04,0.74
Zavier Fitch,Wagner,1.4,-0.66,0.74
Logan Woods,Wright St,1.34,-0.6,0.74
Nick Shogbonyo,Texas A&M-CC,0.29,0.45,0.74
Sam Towns,Bowling Green,-0.6,1.33,0.73
Chase Forte,Boston College,0.29,0.44,0.73
Jordan Brathwaite,Yale,1.58,-0.85,0.73
Peter Bandelj,Cal Poly,0.64,0.09,0.73
Miles Newton,Northeastern,-0.03,0.76,0.73
Ashton Williamson,FIU,-0.85,1.58,0.73
Bradey Henige,CA Baptist,-0.36,1.09,0.73
Kevin Gad,Saint Mary's,0.5,0.23,0.73
Tyler Spratt,Detroit Mercy,1.08,-0.35,0.73
Ben Oosterbaan,St Thomas (MN),0.36,0.36,0.72
Trent Edwards,Morgan St,0.46,0.26,0.72
Terri Miller Jr.,Portland St,-0.66,1.38,0.72
Samuel Onu,Alabama A&M,0.15,0.56,0.71
Kareem Rozier,Winthrop,1.53,-0.82,0.71
Jordan Burks,UCF,1.34,-0.63,0.71
Thomas Dowd,Troy,0.74,-0.03,0.71
Cooper Campbell,Troy,1.43,-0.73,0.7
Cian Medley,Kent State,0.75,-0.05,0.7
Carlous Williams,Tennessee St,0.24,0.45,0.69
Kyle Jorgensen,Colorado St,1.17,-0.48,0.69
Trevor Roe,Le Moyne,0.76,-0.07,0.69
Miles Franklin,Columbia,-0.22,0.91,0.69
Jayden Reid,Northwestern,1.62,-0.93,0.69
Tyler Perkins,Villanova,0.29,0.39,0.68
Junior Sileu,W Michigan,0.05,0.63,0.68
Chauncey Wiggins,Florida St,-0.44,1.12,0.68
Kanye Clary,Oklahoma St,1.5,-0.82,0.68
Tai Hamilton,Winthrop,-0.37,1.05,0.68
Cade Phillips,Tennessee,-0.31,0.99,0.68
Etienne Strothers,Hampton,0.62,0.06,0.68
Emeka Opurum,Auburn,0.15,0.53,0.68
Adam Harakow,Wyoming,1.42,-0.74,0.68
Gavin Griffiths,Temple,-0.8,1.48,0.68
Khoi Thurmon,Oakland,-0.01,0.69,0.68
Jason Asemota,Boston College,0.14,0.54,0.68
Jackson Keith,Butler,-0.06,0.74,0.68
Koat Keat Tong,Santa Barbara,0.03,0.64,0.67
Sincere Parker,Memphis,0.69,-0.02,0.67
Jaylen Peterson,Presbyterian,0.48,0.19,0.67
Sam Krist,Navy,0.2,0.47,0.67
Chase Ross,Marquette,-0.25,0.92,0.67
Tristan Thompson,Coastal,0.28,0.38,0.66
Biggie Patterson,Hofstra,0.34,0.32,0.66
Paul Djobet,Omaha,0.65,0.01,0.66
Owen Dease,Valparaiso,0.67,-0.01,0.66
Kasen Jennings,App State,-0.28,0.94,0.66
Cade Kelderman,Iowa State,0.61,0.05,0.66
Jinwoo Kim,Navy,0.54,0.12,0.66
Dominique Ford,San Diego,0.79,-0.14,0.65
Xander Alarie,Northeastern,0.26,0.39,0.65
Justin Pippen,California,0.22,0.43,0.65
Jayland Randall,New Mexico St,-0.15,0.8,0.65
Mookie Cook,San Francisco,0.76,-0.11,0.65
Micah Octave,Florida A&M,0.75,-0.1,0.65
Kamryn Thomas,Omaha,0.42,0.22,0.64
Sadiku Ibine Ayo,St John's,-0.72,1.36,0.64
Frank Mitchell,St Bonaventure,1.47,-0.83,0.64
Ty Robinson,C Arkansas,-0.12,0.76,0.64
Ziare Wells,Oakland,0.91,-0.27,0.64
Britton Berrett,Utah Tech,1.5,-0.86,0.64
Darin Smith Jr.,C Connecticut,1.05,-0.41,0.64
Joshua Ward,Fullerton,0.11,0.53,0.64
Cade Tyson,Minnesota,0.42,0.22,0.64
Kosy Akametu,Iona,-0.19,0.83,0.64
Luke Almodovar,SE Missouri,1.26,-0.62,0.64
Tyler Cochran,Rhode Island,-0.01,0.65,0.64
Rylan Griffen,Texas A&M,0.46,0.17,0.63
Darren Harris,Duke,-0.05,0.67,0.62
Ante Beljan,UIC,0.0,0.62,0.62
Darryl Simmons II,St Bonaventure,1.46,-0.84,0.62
Quin Berger,Bucknell,-0.67,1.29,0.62
Wilguens Jr. Exacte,Drake,0.44,0.18,0.62
Walter Brown,UNLV,1.12,-0.5,0.62
Love Bettis,Incarnate Word,0.97,-0.36,0.61
Ryan Abelman,N Arizona,0.82,-0.21,0.61
Andy Sigiscar,Tarleton St,-1.02,1.63,0.61
Nic Book,SC Upstate,0.48,0.13,0.61
Alex Wilkins,Furman,0.94,-0.33,0.61
Michelangelo Oberti,Penn,0.06,0.54,0.6
Brandon Benjamin,San Diego,0.53,0.07,0.6
Riley Fox,Yale,0.72,-0.12,0.6
Marqueas Bell,SE Missouri,1.6,-1.0,0.6
Zion Fruster,E Illinois,0.46,0.14,0.6
Jack Daugherty,Illinois St,-0.92,1.52,0.6
Bryce Zephir,Syracuse,-0.7,1.3,0.6
Josiah Hammons,UIC,1.06,-0.47,0.59
Addison Patterson,E Michigan,-0.05,0.64,0.59
Antwan Burnett,Missouri St,-0.23,0.82,0.59
Jomo Goings,Long Island,0.37,0.22,0.59
Chris Bell,California,0.28,0.31,0.59
Josh Jones,North Dakota,0.0,0.59,0.59
Demitri Gardner,East Carolina,0.99,-0.4,0.59
Frankie Collins,Vanderbilt,0.2,0.39,0.59
Louis Bond,Idaho St,-0.13,0.72,0.59
Raevon Thomas,Jackson St,0.16,0.43,0.59
Zion Sensley,Santa Barbara,1.05,-0.46,0.59
Dok Muordar,Monmouth,0.04,0.55,0.59
DJ Dudley,Louisiana Tech,-0.01,0.59,0.58
Darnez Slater,Colorado St,0.75,-0.17,0.58
P.J. Haggerty,Kansas St,1.08,-0.5,0.58
Brayden Crump,ETSU,0.23,0.35,0.58
Emmanuel Ogbole,Rutgers,-0.18,0.76,0.58
David Simon,Vermont,-0.31,0.88,0.57
Tom House,Furman,-0.45,1.02,0.57
Nadjrick Peat,Coastal,-1.41,1.98,0.57
Mark Drone,Texas St,-0.08,0.65,0.57
Tyler Byrd,Alabama St,-0.3,0.87,0.57
Derrick Talton Jr.,Buffalo,-0.05,0.62,0.57
Quaran McPherson,UAB,0.1,0.47,0.57
Tre Holloman,NC State,0.89,-0.32,0.57
DaMariee Jones,Southern,0.81,-0.25,0.56
Corey Jones,UNC Asheville,0.56,0.0,0.56
Justin Ray,Monmouth,0.45,0.11,0.56
Errol White,Lamar,-1.32,1.88,0.56
Evan Otten,Idaho St,1.11,-0.55,0.56
Tayshawn Comer,Nevada,1.27,-0.71,0.56
Marcus Allen,Miami,-0.11,0.67,0.56
Emondrek Erkins-Ford,Jax State,1.24,-0.68,0.56
Ring Nyeri,N Colorado,0.2,0.35,0.55
Xander Pintelon,FAU,0.25,0.3,0.55
Dennis Parker Jr.,Radford,0.41,0.14,0.55
Nyles Howard,Navy,0.09,0.46,0.55
Troy Henderson,Tennessee,-0.13,0.68,0.55
Conrad Martinez,High Point,0.85,-0.3,0.55
Jazz Henderson,Texas Tech,0.0,0.55,0.55
Keyontae Lewis,Norfolk St,-0.28,0.83,0.55
Ike Cornish,James Madison,0.12,0.43,0.55
Kam Woods,USC,0.32,0.23,0.55
Malik Messina-Moore,Xavier,0.58,-0.04,0.54
Kody Clancy,Ball State,0.29,0.25,0.54
Elias Rapieque,Kansas St,0.11,0.43,0.54
Quinn Denker,N Colorado,0.25,0.29,0.54
Freddy Hicks,Tarleton St,1.11,-0.57,0.54
Kyle Jones,Buffalo,0.62,-0.08,0.54
Chris Howell,New Mexico,0.22,0.32,0.54
Jeremy Elyzee,SE Louisiana,-0.1,0.64,0.54
Khamari McGriff,Kansas St,1.16,-0.62,0.54
Marcus Whitlock Jr.,MTSU,1.22,-0.68,0.54
Abdullah Ahmed,BYU,0.84,-0.31,0.53
Josh Reed,Penn State,0.62,-0.09,0.53
Luke McEldon,Mount St Marys,-0.55,1.08,0.53
Seth Amunrud,Montana St,0.72,-0.19,0.53
Bol Dengdit,UC San Diego,-0.78,1.31,0.53
Jason Jakstys,Illinois,0.35,0.18,0.53
Josiah Lake II,Oregon St,-0.52,1.05,0.53
Achor Achor,Mississippi St,0.69,-0.16,0.53
Guillermo Del Pino,Maryland,-0.08,0.61,0.53
Grant Kemp,New Orleans,0.32,0.21,0.53
Kruz McClure,DePaul,-0.49,1.02,0.53
Waka Mbatch,Montana St,-0.14,0.66,0.52
Lureon Walker,NC A&T,-0.38,0.9,0.52
Jonah Hinton,Rhode Island,-1.93,2.45,0.52
CJ Gunn,DePaul,-0.3,0.82,0.52
Braxton Stacker,SE Missouri,-1.31,1.83,0.52
Nikola Djapa,Colorado St,-0.13,0.65,0.52
Olavi Suutela,Oregon St,-0.11,0.63,0.52
Jacob Meyer,UAB,1.33,-0.81,0.52
Ege Demir,Oregon,-0.01,0.53,0.52
Misha Bednostin,Lafayette,-0.18,0.7,0.52
Chisom Okpara,Stanford,0.52,0.0,0.52
Jaxon Prunty,Charleston,1.07,-0.56,0.51
Cayden Vasko,Wofford,1.32,-0.81,0.51
Tidjiane Dioumassi,W Carolina,0.84,-0.33,0.51
Thierry Darlan,Santa Clara,-0.37,0.88,0.51
Jeremiah Davis,Montana St,0.25,0.26,0.51
Dylan Brumfield,Southern Miss,1.34,-0.83,0.51
Kwo Agwa,UT Rio Grande,-0.16,0.67,0.51
Fischer Brown,W Carolina,0.47,0.04,0.51
Jackson Rasmussen,Idaho,0.13,0.38,0.51
Larry Hughes II,CSU Northridge,0.16,0.34,0.5
Chris Riddle,Toledo,0.2,0.3,0.5
Sebastian Tidor,Portland St,-0.17,0.67,0.5
Logan Duncomb,Winthrop,2.43,-1.93,0.5
KeShawn Murphy,Auburn,1.29,-0.79,0.5
Nilavan Daniels,Providence,0.8,-0.3,0.5
Howie Keene,Montana St,0.06,0.44,0.5
Chas Kelley III,Georgia Tech,0.04,0.46,0.5
Ben Tweedy,Colgate,1.0,-0.51,0.49
KJ McClurg,Longwood,-0.17,0.66,0.49
Landren Blocker,SE Missouri,-1.2,1.69,0.49
Kai Spears,Marshall,1.06,-0.57,0.49
Kaleb Brown,Robert Morris,0.25,0.24,0.49
Learic Davis,SC Upstate,-0.16,0.65,0.49
Romari Robinson,Sacramento St,-0.83,1.32,0.49
Nasir Meyer,Wyoming,1.81,-1.32,0.49
David Rochester,Brown,-0.8,1.29,0.49
Camaren Sparrow,Coppin St,-0.45,0.94,0.49
Mason Klabo,Illinois St,0.32,0.16,0.48
Bryce Heard,Dayton,1.05,-0.57,0.48
Prince Johnson,E Illinois,-0.26,0.74,0.48
Keith McKnight,Quinnipiac,0.69,-0.21,0.48
Jackson Fields,West Virginia,1.02,-0.54,0.48
Antoine Lorick III,Tennessee St,0.94,-0.46,0.48
Alier Maluk,Florida St,-0.3,0.77,0.47
Nigel Walls,SMU,0.08,0.39,0.47
Tyler Medaris,Utah Valley,-0.12,0.59,0.47
Kevo St. Hilaire,Cleveland St,-0.17,0.64,0.47
Corey Miller,Monmouth,-0.35,0.82,0.47
Braelon Green,E Michigan,1.48,-1.01,0.47
Samuel Obenjo,Robert Morris,0.45,0.02,0.47
Logan Imes,Notre Dame,0.39,0.07,0.46
Alon Michaeli,Colorado,0.99,-0.53,0.46
Augustine Ekwe,New Mexico St,0.48,-0.02,0.46
Zytarious Mortle,Texas Southern,-0.12,0.58,0.46
DJ Stickman,Fresno St,0.23,0.23,0.46
Kareem Stagg,Georgia,-0.45,0.91,0.46
Jaylin Henderson,Portland St,-0.74,1.2,0.46
Madison Durr,UNC Wilmington,0.36,0.1,0.46
Cole Scherer,E Washington,0.46,0.0,0.46
Carl Parrish,Presbyterian,0.3,0.15,0.45
Matthew Mors,S Dakota St,0.73,-0.28,0.45
Brayden Johnson,Southern Utah,0.5,-0.05,0.45
Zach Kinziger,Wisconsin,-0.55,1.0,0.45
Nolan Hodge,UNC Wilmington,1.04,-0.59,0.45
Annor Boateng,Missouri,-0.19,0.64,0.45
Damon Friery,Dayton,-0.01,0.46,0.45
Francis Folefac,Siena,-0.32,0.76,0.44
Terry McMorris,E Illinois,0.33,0.11,0.44
Casper Pohto,St John's,0.11,0.33,0.44
Dayton Forsythe,Oklahoma,0.1,0.34,0.44
Jarne Elouna Eyenga,Charlotte,-0.92,1.36,0.44
Brandon Lee,Illinois,-0.17,0.61,0.44
Richard Nweke,Columbia,0.35,0.09,0.44
Corey Thomas,Bradley,0.07,0.37,0.44
Reggie Thomas,North Dakota,1.09,-0.66,0.43
Pavle Stošic,Pepperdine,-0.64,1.07,0.43
Barry Evans,VCU,0.11,0.32,0.43
Blake Muschalek,Auburn,-0.16,0.59,0.43
Zaide Lowery,Marquette,-0.2,0.63,0.43
Jerome Brewer Jr.,La Salle,-0.42,0.85,0.43
Jared Turner,Old Dominion,0.15,0.28,0.43
Layne Taylor,Murray St,1.53,-1.1,0.43
Amani Drummond,Incarnate Word,0.37,0.06,0.43
Aidan Hadaway,Ohio,0.67,-0.24,0.43
Cam McDowell,Tarleton St,0.52,-0.09,0.43
Andrew Crawford,Colorado,-0.08,0.5,0.42
Kobi Pearson,Texas A&M-CC,-0.29,0.71,0.42
Luke Davis,East Carolina,0.15,0.27,0.42
Ja'Borri McGhee,Mississippi St,0.39,0.03,0.42
Jael Martin,LMU,0.26,0.16,0.42
Austin Parks,Toledo,0.7,-0.28,0.42
Michael Marcus Jr.,App State,-0.49,0.9,0.41
Johnny Kinziger,Illinois St,-0.45,0.86,0.41
Saša Ciani,Penn State,-0.55,0.96,0.41
Seifeldin Hendawy,Winthrop,-0.7,1.11,0.41
Yakhya Diop,Mount St Marys,-0.37,0.77,0.4
Eric Reibe,UConn,-0.05,0.45,0.4
Corey Hadnot II,Purdue FW,-0.34,0.74,0.4
Alejandro Aviles,San Diego,-0.51,0.91,0.4
Jerry Easter II,USC,1.36,-0.96,0.4
Derrion Reid,Oklahoma,1.17,-0.77,0.4
Carson Towt,Notre Dame,0.16,0.24,0.4
MJ Thomas,New Orleans,1.38,-0.98,0.4
Mitchell Holmes,SMU,0.45,-0.05,0.4
Daniel Akoue,Bryant,0.4,0.0,0.4
Colin Porter,Liberty,0.52,-0.12,0.4
Thierno Sylla,Memphis,-0.94,1.34,0.4
Tre Norman,Marquette,-0.28,0.67,0.39
Chandler Jackson,Milwaukee,1.23,-0.84,0.39
De'Vion Lavergne,Louisiana,-0.59,0.98,0.39
Deywilk Tavarez,Loyola Chicago,-0.71,1.1,0.39
Robert Miller III,LSU,-0.83,1.22,0.39
KJ Debrick,NC A&T,-0.69,1.08,0.39
Quimari Peterson,Washington,0.76,-0.37,0.39
Spence Wewe,Quinnipiac,0.63,-0.24,0.39
Joe Hurlburt,Davidson,-0.33,0.72,0.39
AJ Barnes,Southern,0.61,-0.22,0.39
Daniel Rivera,UAB,-0.04,0.42,0.38
Toby Nnadozie,Jax State,-0.18,0.56,0.38
Cole Bowser,Furman,0.46,-0.08,0.38
Caleb Shaw,Grand Canyon,-0.86,1.24,0.38
Kenyon Aguino,Montana,-0.84,1.22,0.38
Kerrington Kiel,Troy,-0.4,0.78,0.38
Elijah Kelly,Longwood,0.43,-0.05,0.38
Deangelo Elisee,Purdue FW,-0.5,0.88,0.38
Randarius Jones,Grambling,0.88,-0.5,0.38
Vukasin Masic,San Francisco,-0.72,1.1,0.38
Ja'Sean Glover,Omaha,0.08,0.29,0.37
KJ Greene,Tulane,0.52,-0.15,0.37
Josiah Brown,Coppin St,0.59,-0.22,0.37
Zach Keller,Utah State,-0.79,1.16,0.37
Vangelis Zougris,Louisville,0.62,-0.25,0.37
Luka Toews,Boston College,-0.86,1.23,0.37
Michael Rataj,Baylor,1.48,-1.11,0.37
Mozae Downing-Rivers,Portland St,-0.04,0.41,0.37
Ofri Naveh,Oral Roberts,-1.01,1.38,0.37
Isaiah Skinner,SC Upstate,-0.6,0.97,0.37
Luke Paragon,Brown,0.84,-0.48,0.36
Jonas Sirtautas,Loyola MD,0.02,0.34,0.36
D'Aundre Samuels,Hou Christian,-0.01,0.37,0.36
Kavion McClain,Monmouth,0.32,0.04,0.36
Jacari Brim,App State,0.5,-0.14,0.36
Qadir Martin,Mercyhurst,0.86,-0.5,0.36
Yaphet Moundi,San José St,-0.02,0.38,0.36
Aaron Nkrumah,Tennessee St,0.1,0.26,0.36
Isaiah Wilson,Winthrop,-1.19,1.55,0.36
Tom Beattie,UC San Diego,-1.85,2.2,0.35
Kyle Pock,Northern Iowa,-1.5,1.85,0.35
Tamaury Releford,Morehead St,-0.93,1.28,0.35
Frankie Mannino,Harvard,0.18,0.17,0.35
Andy Johnson,UIC,-0.32,0.67,0.35
Lewis Walker,NC A&T,1.54,-1.19,0.35
Chris Hodges,Montana St,-0.62,0.97,0.35
Isaiah Stafford,S Illinois,0.67,-0.32,0.35
Mikkel Tyne,Richmond,-0.06,0.41,0.35
Nikolaos Chitikoudis,Robert Morris,0.19,0.16,0.35
Ilia Ermakov,St Bonaventure,-0.74,1.09,0.35
Vince Dawson III,Morehead St,-0.1,0.45,0.35
Curtis Stinson Jr.,North Texas,-0.57,0.92,0.35
Travis Harper II,Tennessee St,0.64,-0.29,0.35
Sebastian Hartmann,Chattanooga,-0.05,0.4,0.35
Fawaz Ifaola,Colorado,-0.08,0.42,0.34
Alex Anderson,Texas Southern,0.7,-0.36,0.34
Babacar Diallo,High Point,-0.33,0.67,0.34
Bukky Oboye,Santa Clara,0.52,-0.18,0.34
Paul Mbiya,Kansas,0.41,-0.07,0.34
Camian Shell,Delaware St,-0.55,0.89,0.34
Cameron Barnes,Illinois St,0.34,0.0,0.34
Harrison Carrington,UC Irvine,-0.62,0.96,0.34
Eli Ellis,South Carolina,1.8,-1.46,0.34
Efe Demirel,Grand Canyon,-0.49,0.83,0.34
Ashton Walker,La Salle,-0.84,1.18,0.34
Mouhamed Sylla,Georgia Tech,-1.35,1.69,0.34
KJ Martin Jr.,Tulsa,0.06,0.28,0.34
Josh Townley-Thomas,Creighton,0.15,0.18,0.33
A'lahn Sumler,Charleston So,0.35,-0.02,0.33
Daquan Davis,Providence,-0.22,0.55,0.33
Davion Hill,Ball State,1.13,-0.8,0.33
Joshua Ingram,Lehigh,-0.4,0.73,0.33
Chiante' Tramble,Southern Miss,0.05,0.28,0.33
Cbo Newton,Abilene Chrstn,0.96,-0.63,0.33
Isaiah Williams,Portland St,-0.1,0.43,0.33
Gianni Hunt,E Texas A&M,-0.38,0.71,0.33
Nikola Dzepina,Washington,0.6,-0.27,0.33
Anton Brookshire,Austin Peay,-0.33,0.66,0.33
Isaiah Sy,Oregon St,0.26,0.07,0.33
Nick Coval,Davidson,0.65,-0.32,0.33
Blake Harper,Creighton,0.53,-0.2,0.33
Randall Pettus II,Elon,0.53,-0.2,0.33
Jeremy Dent-Smith,Stanford,0.49,-0.17,0.32
Toyaz Solomon,UNC Asheville,0.08,0.24,0.32
Chabi Barre,Akron,0.49,-0.17,0.32
Peyton Seals,Princeton,-0.25,0.57,0.32
Rex Stirling,Wofford,0.25,0.07,0.32
Brett Decker Jr.,Liberty,2.07,-1.75,0.32
Kobe MaGee,Florida St,-0.24,0.56,0.32
Ladji Dembele,UNLV,0.48,-0.16,0.32
Ismaila Diagne,Gonzaga,-0.73,1.05,0.32
Max Smith,Ole Miss,0.15,0.17,0.32
Mekhi Lowery,UIC,0.74,-0.42,0.32
Brandon Hall,Duquesne,-0.04,0.35,0.31
CJ Ingram,Florida,0.2,0.11,0.31
Jaylen Fenner,Louisiana Tech,-0.97,1.28,0.31
Jaden Steppe,Montana St,0.33,-0.02,0.31
Amier Ali,Mississippi St,0.07,0.24,0.31
Mihael Tomic,Incarnate Word,-0.01,0.32,0.31
Sam Alamutu,Wright St,0.55,-0.24,0.31
Martin Kalu,Charleston,-0.44,0.75,0.31
Jerquarius Stanback,Alabama St,-0.08,0.39,0.31
Jeriah Coleman,Nevada,-0.01,0.32,0.31
Tai Turnage,Quinnipiac,0.24,0.07,0.31
Aidan Skradis,Omaha,0.14,0.17,0.31
Jayden Smoot,UT Arlington,0.34,-0.03,0.31
Denham Wojcik,Michigan St,0.16,0.14,0.3
Demarion Watson,North Texas,-1.16,1.46,0.3
Kaleb Banks,DePaul,-0.31,0.61,0.3
Logan Stephens,Southern Utah,-0.22,0.52,0.3
Jamar Franklin,Jax State,0.53,-0.23,0.3
Esyah Pippa-White,Milwaukee,0.48,-0.18,0.3
Mathieu Grujicic,Ohio State,0.25,0.05,0.3
Tommy Clark,Bellarmine,-0.02,0.32,0.3
Justin Archer,La Salle,0.39,-0.09,0.3
Cooper Jones,Old Dominion,0.16,0.14,0.3
Roderick Coffee III,Grambling,-0.69,0.98,0.29
Prince Aligbe,S Illinois,-0.4,0.69,0.29
Djordje Curcic,Charleston,0.13,0.16,0.29
Fred Payne,Boston College,-0.53,0.82,0.29
Dallas Thomas,Clemson,0.27,0.02,0.29
Alphonzo Billups III,Longwood,0.29,0.0,0.29
Eltramon Smith Jr.,SF Austin,-0.07,0.36,0.29
Cole McCormick,C Arkansas,0.91,-0.62,0.29
Joao Das Chagas,UAB,0.18,0.11,0.29
Patrick Tivnan Jr.,Dartmouth,-0.55,0.84,0.29
Tristan Gross,Mercer,0.46,-0.17,0.29
John Christofilis,Seattle U,-0.62,0.9,0.28
Cam Thrower,Penn,-0.19,0.47,0.28
Ras Elijah Godbolt,FDU,-0.06,0.34,0.28
Isaac Harrell,Elon,1.19,-0.91,0.28
Elijah Gertrude,Virginia,-0.25,0.53,0.28
Tibor Mirtic,Penn State,0.46,-0.18,0.28
Collin Kuhl,Stetson,0.35,-0.07,0.28
Hantz Louis-Jeune,South Alabama,-1.53,1.81,0.28
Bailey Nunn,Fullerton,0.07,0.21,0.28
Andrija Bukumirovic,UT Martin,-0.72,1.0,0.28
Donald Hand Jr.,Boston College,-0.92,1.2,0.28
Andrew Rohde,Wisconsin,0.43,-0.16,0.27
Jalen Stokes,UC Davis,0.1,0.17,0.27
Lane Sparks,Oral Roberts,0.31,-0.04,0.27
Isaac Abidde,UAlbany,-0.44,0.71,0.27
LA Pratt,Northeastern,-0.46,0.73,0.27
Jasir Rencher,Washington,0.08,0.18,0.26
James Cooper,Georgia St,-0.42,0.68,0.26
Robert Fields,Texas St,0.44,-0.18,0.26
Lazar Milosevic,Duquesne,-0.01,0.27,0.26
Dhiaukuei Manyiel Dut,California,0.01,0.25,0.26
Samuel Stewart IV,Portland St,0.15,0.11,0.26
Arlandus Keyes,Mount St Marys,-0.46,0.72,0.26
Josiah Lee,Le Moyne,0.45,-0.19,0.26
Joel Foxwell,Portland,0.6,-0.34,0.26
Trey Fort,Michigan St,-0.4,0.66,0.26
Alex Bruskotter,Wright St,0.45,-0.19,0.26
David Fuchs,San Francisco,-0.39,0.65,0.26
Omari Witherspoon,Pitt,-0.07,0.33,0.26
Brian Waddell,Bellarmine,3.74,-3.48,0.26
Nate Garcia,CA Baptist,0.28,-0.02,0.26
Cam'Ron Fletcher,High Point,1.51,-1.25,0.26
Matas Deniusas,UT Martin,-0.41,0.67,0.26
Alden Applewhite,GA Southern,0.96,-0.71,0.25
Jaylen Harrell,Providence,0.22,0.03,0.25
Tyler Robbins,Miami OH,0.1,0.15,0.25
Tyler Jones,UC Riverside,0.37,-0.12,0.25
Trevon Blassingame,Idaho,-0.84,1.09,0.25
Emmanuel Manyuon,Pacific,0.1,0.15,0.25
Viljami Vartiainen,Weber St,1.02,-0.77,0.25
Jason Schofield,Marist,-0.44,0.69,0.25
JJ Kelly,Ohio,0.7,-0.45,0.25
Or Ashkenazi,Lipscomb,0.5,-0.25,0.25
Clarence Massamba,Tennessee,0.1,0.15,0.25
Jacob Walker,Sam Houston,0.79,-0.54,0.25
Ryan Lafferty,St Thomas (MN),-0.51,0.76,0.25
DeShawn Gory,Fresno St,0.74,-0.49,0.25
Elijah Tucker,Longwood,0.13,0.11,0.24
Courtney Wallace,Yale,0.18,0.06,0.24
Miles Ndalama,Florida A&M,-1.12,1.36,0.24
Isaiah Walker,Xavier,0.85,-0.61,0.24
Cam Wilds,Robert Morris,0.39,-0.15,0.24
Marvin McGhee III,UT Rio Grande,-0.31,0.55,0.24
Didier Maleng,Denver,-0.18,0.42,0.24
Kirill Elatontsev,Oklahoma,0.67,-0.43,0.24
Leo Curtis,Nebraska,0.06,0.18,0.24
Alex Lloyd,Florida,-0.17,0.4,0.23
Colin White,Ohio State,0.8,-0.57,0.23
Fatt Hill,George Mason,0.74,-0.51,0.23
Fabián Flores,DePaul,-1.38,1.61,0.23
Daniel Michelini-Jackson,Texas A&M-CC,0.53,-0.3,0.23
Tyonne Farrell,Morehead St,0.17,0.06,0.23
Gabe Newhof,James Madison,0.88,-0.65,0.23
