Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Grant Hurst,Tennessee,0.0,11.39,12.35,23.74
Caleb Grill,Missouri,511.7,23.45,0.26,23.71
Mark Mitchell,Missouri,517.8,22.73,0.84,23.57
Kadary Richmond,St John's,651.9,10.39,13.11,23.5
Zuby Ejiofor,St John's,684.3,10.46,12.97,23.43
Anthony Robinson II,Missouri,446.2,22.04,1.35,23.39
Kyan Evans,Colorado St,552.5,13.09,10.23,23.32
Otega Oweh,Kentucky,549.2,12.58,10.67,23.25
Skyy Clark,UCLA,370.6,12.05,11.06,23.11
Eric Dailey Jr.,UCLA,321.5,11.76,11.22,22.98
Aday Mara,UCLA,203.9,11.9,11.01,22.91
Brandton Chatfield,Iowa State,264.6,9.48,13.41,22.89
RJ Luis Jr.,St John's,652.3,9.46,13.35,22.81
Amari Williams,Kentucky,499.0,12.36,10.44,22.8
Tyler Bilodeau,UCLA,347.8,11.93,10.86,22.79
Jaylen Crocker-Johnson,Colorado St,437.6,12.01,10.76,22.77
Andrew Carr,Kentucky,516.2,11.82,10.9,22.72
Koby Brea,Kentucky,676.7,12.11,10.59,22.7
Keshon Gilbert,Iowa State,227.8,8.68,13.94,22.62
Kobe Johnson,UCLA,403.0,11.59,11.0,22.59
Ty Berry,Northwestern,427.4,8.0,14.58,22.58
Tamar Bates,Missouri,513.9,20.71,1.63,22.34
Jalen Lake,Colorado St,561.3,11.69,10.64,22.33
Sebastian Mack,UCLA,277.0,10.94,11.38,22.32
Tony Perkins,Missouri,451.6,20.89,1.39,22.28
Cade Kelderman,Iowa State,81.3,8.05,14.13,22.18
K.J. Windham,Northwestern,306.1,7.1,15.05,22.15
Matthew Nicholson,Northwestern,330.2,6.77,15.38,22.15
Demarion Watson,Iowa State,45.8,7.79,14.28,22.07
Vladislav Goldin,Michigan,707.8,9.78,12.29,22.07
Conrad Hawley,Iowa State,5.0,7.68,14.31,21.99
Nojus Indrusaitis,Iowa State,4.0,7.65,14.32,21.97
Lazar Stefanovic,UCLA,204.8,10.05,11.92,21.97
Dylan Andrews,UCLA,357.8,10.07,11.74,21.81
Danny Wolf,Michigan,742.8,8.95,12.82,21.77
Rashaan Mbemba,Colorado St,366.5,10.82,10.95,21.77
Josh Gray,Missouri,219.8,19.64,2.02,21.66
Jacob Crews,Missouri,253.2,19.77,1.86,21.63
Ethan Morton,Colorado St,381.1,10.95,10.63,21.58
Trent Pierce,Missouri,343.2,19.62,1.96,21.58
Lamont Butler,Kentucky,350.2,9.74,11.77,21.51
Trent Perry,UCLA,102.7,9.54,11.94,21.48
William Kyle III,UCLA,85.5,9.38,12.09,21.47
Justin Mullins,Northwestern,389.6,5.88,15.58,21.46
Marques Warrick,Missouri,174.5,19.4,2.04,21.44
Aaron Scott,St John's,558.2,7.14,14.3,21.44
Jordan Clayton,Northwestern,261.2,5.62,15.79,21.41
Bowen Born,Colorado St,239.3,10.35,11.02,21.37
Deivon Smith,St John's,440.7,6.77,14.55,21.32
RJ Davis,North Carolina,651.1,13.84,7.44,21.28
Brandon Garrison,Kentucky,293.3,9.71,11.51,21.22
Keshawn Williams,Colorado St,175.9,9.71,11.33,21.04
Nikola Djapa,Colorado St,178.8,9.51,11.52,21.03
Collin Chandler,Kentucky,265.4,9.14,11.82,20.96
Ven-Allen Lubin,North Carolina,470.4,13.22,7.73,20.95
Johnell Davis,Arkansas,748.3,9.89,11.01,20.9
Jack Seidler,UCLA,0.0,8.3,12.54,20.84
Brandon Murray,McNeese,352.4,8.41,12.41,20.82
Aidan Shaw,Missouri,64.4,18.19,2.61,20.8
Javohn Garcia,McNeese,430.2,8.7,12.09,20.79
Christian Shumate,McNeese,409.0,8.78,11.99,20.77
T.O. Barrett,Missouri,39.2,18.12,2.62,20.74
Kyle Jorgensen,Colorado St,75.5,9.04,11.68,20.72
Angelo Ciaravino,Northwestern,124.6,4.6,16.12,20.72
Marcus Allen,Missouri,47.8,17.89,2.73,20.62
Peyton Marshall,Missouri,24.2,17.83,2.79,20.62
Annor Boateng,Missouri,12.3,17.86,2.75,20.61
Keenan Fitzmorris,Northwestern,86.4,4.45,16.14,20.59
Hunter Dickinson,Kansas,516.1,7.92,12.66,20.58
Jaden Steppe,Colorado St,0.0,8.69,11.85,20.54
Luke Hunger,Northwestern,88.4,4.2,16.29,20.49
Ansley Almonor,Kentucky,176.7,8.29,12.18,20.47
Luke Murphy,Colorado St,0.0,8.57,11.9,20.47
Silas Demary Jr.,Georgia,424.4,13.67,6.8,20.47
Drake Powell,North Carolina,548.6,11.93,8.48,20.41
DJ Richards Jr.,McNeese,350.3,8.12,12.29,20.41
Sincere Parker,McNeese,281.1,7.9,12.47,20.37
Travis Perry,Kentucky,222.3,8.15,12.19,20.34
Jonas Aidoo,Arkansas,477.1,9.42,10.88,20.3
Quadir Copeland,McNeese,355.1,7.96,12.33,20.29
Sadiku Ibine Ayo,St John's,215.2,5.4,14.89,20.29
Roddy Gayle Jr.,Michigan,546.1,6.66,13.6,20.26
Simeon Wilcher,St John's,470.1,5.59,14.63,20.22
Jae'Lyn Withers,North Carolina,477.6,12.4,7.8,20.2
Trent Noah,Kentucky,240.7,8.0,12.2,20.2
Collin Murray-Boyles,South Carolina,399.7,17.97,2.19,20.16
Joe Charles,McNeese,414.9,7.95,12.18,20.13
Asa Newell,Georgia,368.4,13.4,6.72,20.12
Ruben Prey,St John's,121.2,4.75,15.28,20.03
Jaxson Robinson,Kentucky,25.4,7.46,12.53,19.99
Vince Iwuchukwu,St John's,94.5,4.7,15.27,19.97
Lefteris Liotopoulos,St John's,112.8,4.62,15.31,19.93
Seth Trimble,North Carolina,481.4,12.03,7.87,19.9
Elliot Cadeau,North Carolina,482.8,11.61,8.27,19.88
Nimari Burnett,Michigan,618.8,6.11,13.67,19.78
Karter Knox,Arkansas,659.0,8.57,11.15,19.72
KJ Adams Jr.,Kansas,520.3,5.96,13.64,19.6
Trevon Brazile,Arkansas,539.2,8.48,11.12,19.6
Andersson Garcia,Texas A&M,461.5,13.1,6.49,19.59
Tre Donaldson,Michigan,722.4,6.41,13.18,19.59
Blue Cain,Georgia,365.9,12.03,7.48,19.51
Wade Taylor IV,Texas A&M,544.0,13.47,6.04,19.51
Tarris Reed Jr.,UConn,312.7,15.07,4.34,19.41
D.J. Wagner,Arkansas,769.9,8.4,10.89,19.29
Alex Karaban,UConn,585.1,15.38,3.88,19.26
Bryant Selebangue,McNeese,172.7,5.81,13.45,19.26
Zvonimir Ivisic,Arkansas,439.4,8.03,11.14,19.17
Zeke Mayo,Kansas,529.3,5.34,13.7,19.04
Pharrel Payne,Texas A&M,374.6,12.79,6.22,19.01
Will Tschetter,Michigan,406.1,5.47,13.54,19.01
Dawson Garcia,Minnesota,428.0,10.71,8.3,19.01
Billy Richmond III,Arkansas,459.4,7.62,11.38,19.0
Solo Ball,UConn,521.0,14.62,4.37,18.99
L.J. Cason,Michigan,295.3,5.09,13.88,18.97
Trey Kaufman-Renn,Purdue,559.7,20.66,-1.7,18.96
T'Johnn Brown,McNeese,137.5,5.49,13.45,18.94
Rubin Jones,Michigan,442.7,5.11,13.78,18.89
Ian Jackson,North Carolina,351.3,10.7,8.17,18.87
Hassan Diarra,UConn,471.3,14.03,4.83,18.86
JT Toppin,Texas Tech,717.8,15.92,2.9,18.82
Jalen Washington,North Carolina,259.5,10.16,8.65,18.81
Dajuan Harris Jr.,Kansas,528.1,4.64,14.12,18.76
Augustas Marciulionis,Saint Mary's,478.2,6.7,11.88,18.58
Justin Pippen,Michigan,58.5,4.13,14.41,18.54
Zhuric Phelps,Texas A&M,460.1,11.9,6.58,18.48
Mitchell Saxen,Saint Mary's,400.9,6.23,12.2,18.43
Malik Dia,Ole Miss,493.7,12.91,5.51,18.42
Adou Thiero,Arkansas,223.6,6.12,12.24,18.36
Phat Phat Brooks,Michigan,8.3,3.86,14.5,18.36
Ian Burns,Michigan,0.0,3.75,14.56,18.31
Cade Tyson,North Carolina,70.8,8.99,9.25,18.24
Sean Pedulla,Ole Miss,680.2,13.0,5.23,18.23
Liam McNeeley,UConn,554.8,13.6,4.52,18.12
Tyrin Lawrence,Georgia,244.7,9.76,8.33,18.09
James Brown,North Carolina,0.5,8.62,9.43,18.05
Braden Smith,Purdue,636.3,18.77,-0.72,18.05
Henry Coleman III,Texas A&M,367.8,10.86,7.15,18.01
Russell Hawkins,North Carolina,0.5,8.46,9.5,17.96
Ty Claude,North Carolina,5.9,8.44,9.5,17.94
Justin Abson,Georgia,156.4,9.35,8.58,17.93
RJ Godfrey,Georgia,204.3,9.17,8.76,17.93
Paulius Murauskas,Saint Mary's,316.8,5.64,12.27,17.91
Matthew Murrell,Ole Miss,629.6,11.91,5.95,17.86
Dakota Leffew,Georgia,277.1,9.15,8.68,17.83
Solomon Washington,Texas A&M,356.9,10.3,7.51,17.81
Boogie Fland,Arkansas,87.5,5.33,12.48,17.81
Samson Johnson,UConn,324.6,13.01,4.78,17.79
Dylan James,Georgia,234.3,9.12,8.65,17.77
Dre Davis,Ole Miss,560.6,11.56,6.15,17.71
Rylan Griffen,Kansas,358.0,2.85,14.86,17.71
Lu'Cye Patterson,Minnesota,395.1,8.5,9.16,17.66
Frank Mitchell,Minnesota,244.9,8.31,9.34,17.65
David Coit,Kansas,247.3,3.11,14.53,17.64
Luke Barrett,Saint Mary's,487.2,4.99,12.65,17.64
Flory Bidunga,Kansas,233.2,3.24,14.36,17.6
Jaden Karuletwa,Arkansas,3.0,4.9,12.67,17.57
Jaemyn Brakefield,Ole Miss,445.8,12.15,5.41,17.56
CJ Wilcher,Texas A&M,214.7,10.0,7.56,17.56
Jaylin Stewart,UConn,236.2,11.9,5.64,17.54
Jamarii Thomas,South Carolina,373.0,13.85,3.65,17.5
Nick Pringle,South Carolina,312.4,13.78,3.7,17.48
Manny Obaseki,Texas A&M,214.6,9.82,7.65,17.47
Femi Odukale,Minnesota,374.3,7.92,9.54,17.46
Fletcher Loyer,Purdue,503.3,17.77,-0.37,17.4
Harry Wessels,Saint Mary's,279.9,4.57,12.79,17.36
Jaylen Murray,Ole Miss,611.7,11.15,6.13,17.28
Jace Carter,Texas A&M,192.6,9.7,7.58,17.28
Tyson Degenhart,Boise St,685.7,11.19,5.96,17.15
Bennett Stirtz,Drake,622.7,12.15,4.96,17.11
AJ Storr,Kansas,216.3,2.2,14.83,17.03
Jacobi Wright,South Carolina,397.4,12.62,4.4,17.02
De'Shayne Montgomery,Georgia,30.4,7.79,9.18,16.97
Isaac Asuma,Minnesota,270.1,7.09,9.88,16.97
Aidan Mahaney,UConn,120.3,11.15,5.77,16.92
Jordan Ross,Saint Mary's,324.3,4.08,12.81,16.89
Darrion Williams,Texas Tech,600.2,12.61,4.27,16.88
Hayden Hefner,Texas A&M,200.9,9.02,7.84,16.86
Zach Davis,South Carolina,494.2,12.54,4.31,16.85
Aniwaniwa Tait-Jones,UC San Diego,460.6,2.99,13.85,16.84
Mikey Lewis,Saint Mary's,214.3,3.33,13.43,16.76
Shakeel Moore,Kansas,28.4,1.39,15.31,16.7
Christian Anderson,Texas Tech,696.2,11.97,4.69,16.66
Rakease Passmore,Kansas,11.9,1.16,15.41,16.57
Jayden Ross,UConn,41.6,10.47,6.06,16.53
Elijah Hawkins,Texas Tech,811.1,11.88,4.57,16.45
C.J. Cox,Purdue,343.2,15.87,0.56,16.43
Morris Ugusuk,South Carolina,241.0,11.71,4.71,16.42
Ahmad Nowell,UConn,30.8,10.22,6.18,16.4
Jordan Butler,South Carolina,138.2,11.69,4.69,16.38
Mike Mitchell Jr.,Minnesota,298.9,6.22,10.1,16.32
Parker Fox,Minnesota,172.9,6.09,10.18,16.27
Camden Heide,Purdue,334.1,15.53,0.7,16.23
Davon Barnes,Ole Miss,378.5,9.66,6.52,16.18
Myles Colvin,Purdue,297.4,15.39,0.75,16.14
Arden Conyers,South Carolina,131.9,11.49,4.64,16.13
Tre Johnson,Texas,565.0,13.6,2.41,16.01
Jamal Fuller,Long Island,309.1,6.73,9.28,16.01
Benjamin Bosmans-Verdonk,South Carolina,108.2,11.16,4.83,15.99
Alvaro Cardenas,Boise St,723.5,8.93,6.95,15.88
P.J. Haggerty,Memphis,538.9,4.91,10.96,15.87
Gicarri Harris,Purdue,195.4,14.82,1.03,15.85
Mikeal Brown-Jones,Ole Miss,87.1,8.8,7.04,15.84
Eduardo Klafke,Ole Miss,166.4,8.68,7.15,15.83
Cam Scott,South Carolina,29.6,10.66,5.12,15.78
Dain Dainja,Memphis,456.3,4.77,10.98,15.75
Andrew Meadow,Boise St,610.5,8.98,6.73,15.71
Ashton Hardaway,Saint Mary's,29.8,1.69,14.01,15.7
Caleb Furst,Purdue,306.5,14.5,1.16,15.66
Joshua Dent,Saint Mary's,1.0,1.6,14.06,15.66
Cade Bennett,Saint Mary's,0.0,1.6,14.05,15.65
Kevin Gad,Saint Mary's,0.0,1.59,14.06,15.65
Kevin Overton,Texas Tech,420.0,10.09,5.56,15.65
Andrew McKeever,Saint Mary's,0.0,1.55,14.07,15.62
Kadyn Betts,Minnesota,8.0,4.8,10.81,15.61
John Bol,Ole Miss,21.2,8.34,7.27,15.61
Hayden Gray,UC San Diego,523.7,0.79,14.81,15.6
Malachi Davis,Long Island,294.9,6.36,9.22,15.58
Robert Cowherd,Ole Miss,26.1,8.24,7.3,15.54
Tyler McGhie,UC San Diego,486.7,1.31,14.18,15.49
Kylan Boswell,Illinois,564.4,13.86,1.63,15.49
Norchad Omier,Baylor,634.2,11.66,3.81,15.47
Tavion Banks,Drake,328.8,9.34,6.08,15.42
Will Riley,Illinois,515.4,13.7,1.7,15.4
Josh Hubbard,Mississippi St,568.5,9.45,5.95,15.4
Chance McMillian,Texas Tech,401.4,10.2,5.1,15.3
Yaxel Lendeborg,UAB,747.0,16.16,-0.87,15.29
Harlan Obioha,UNC Wilmington,360.8,10.98,4.27,15.25
Will Berg,Purdue,37.3,13.74,1.49,15.23
Noah Farrakhan,Hampton,381.5,13.08,2.13,15.21
Brent Davis,Long Island,299.5,5.49,9.68,15.17
Brian Waddell,Purdue,1.5,13.63,1.52,15.15
Kerwin Walton,Texas Tech,543.2,9.9,5.24,15.14
Raleigh Burgess,Purdue,32.8,13.56,1.57,15.13
Federiko Federiko,Texas Tech,348.5,9.29,5.81,15.1
Kam Jones,Marquette,505.4,9.06,6.01,15.07
Tomislav Ivisic,Illinois,445.7,13.21,1.86,15.07
Shadrak Lasu,Long Island,263.7,5.34,9.72,15.06
Sam King,Purdue,0.5,13.45,1.59,15.04
Nordin Kapic,UC San Diego,357.6,-0.24,15.25,15.01
