Player,Team,Est_Possessions,O_BAPM,D_BAPM,Total_BAPM
Ramone Seals,Kennesaw St,22.3,-1.62,-0.27,-1.89
Keionte Cornelius,Alcorn St,75.9,1.74,-3.63,-1.89
Omari Hamilton,Alcorn St,42.8,1.6,-3.5,-1.9
Chas Kelley III,Boston College,242.8,2.5,-4.41,-1.91
Rich Smith,Abilene Chrstn,357.9,-2.52,0.61,-1.91
Romeo Myrthil,Dartmouth,472.6,-9.91,8.0,-1.91
Sheridan Sharp,S Illinois,95.7,-0.84,-1.08,-1.92
Del'Jayvien Harried,Alcorn St,33.7,1.54,-3.47,-1.93
Obinna Anochili-Killen,Marshall,389.2,2.32,-4.29,-1.97
Harold Woods,Northeastern,375.5,-5.25,3.28,-1.97
Donovan Draper,Navy,487.9,-0.27,-1.71,-1.98
Malcolm Christie,Oakland,173.2,0.34,-2.32,-1.98
Kase Wynott,Washington St,61.7,-1.35,-0.64,-1.99
Donovan Atwell,UNC Greensboro,317.2,-1.79,-0.22,-2.01
Antonio Lisenbee,Alcorn St,19.3,1.39,-3.41,-2.02
Daniel Braster,Alcorn St,56.6,1.48,-3.5,-2.02
Nick Ellington,Murray St,319.8,-2.15,0.13,-2.02
Myron Amey Jr.,LMU,205.6,0.24,-2.27,-2.03
Jimmy Oladokun Jr.,Rice,80.8,2.08,-4.13,-2.05
Tayon Sessoms,Washington St,0.0,-1.43,-0.62,-2.05
Brayden Maldonado,Seattle U,333.3,-5.82,3.76,-2.06
Jayden Williams,Dartmouth,215.9,-10.63,8.57,-2.06
Emory Lanier,Rice,186.9,2.12,-4.19,-2.07
Cade Haskins,Dartmouth,318.6,-10.28,8.21,-2.07
Leonardo Bettiol,Abilene Chrstn,331.2,-2.69,0.62,-2.07
Tevin Smith,Cleveland St,481.2,-2.83,0.75,-2.08
Ahmir Langlais,Tennessee St,92.3,-0.94,-1.14,-2.08
Dylan Addae-Wusu,Seton Hall,370.6,-3.67,1.58,-2.09
Gabe Dorsey,William & Mary,363.8,0.18,-2.27,-2.09
Paul Zilinskas,IU Indy,314.1,8.18,-10.29,-2.11
Je'Shawn Stevenson,Cleveland St,316.0,-3.16,1.04,-2.12
Jaden Martin,Morgan St,228.9,0.27,-2.39,-2.12
Miles Barnstable,St Thomas (MN),402.5,3.72,-5.86,-2.14
Kalil Camara,Bethune,523.3,-1.24,-0.9,-2.14
Cayden Vasko,C Michigan,414.7,-2.39,0.25,-2.14
Jordan Pennick,Navy,462.0,-0.71,-1.45,-2.16
Nyle Ralph-Beyer,Sacred Heart,428.2,-3.82,1.66,-2.16
Elliot Lowndes,SE Missouri,41.4,-5.57,3.4,-2.17
Connor Amundsen,Dartmouth,431.2,-10.34,8.15,-2.19
Chandler Baker,Colgate,288.3,1.52,-3.73,-2.21
Mintautas Mockus,Incarnate Word,117.6,-2.24,0.03,-2.21
TJ Ford Jr.,Incarnate Word,181.5,-2.25,0.04,-2.21
Markus Harding,Indiana St,83.2,0.96,-3.17,-2.21
Deng Majak,Oakland,41.2,-0.23,-1.99,-2.22
Garwey Dual,Seton Hall,346.2,-4.06,1.83,-2.23
Paris Dawson,Seattle U,263.4,-6.43,4.18,-2.25
Cooper Craggs,Oakland,108.0,-0.22,-2.05,-2.27
Griffin Barrouk,Sacred Heart,379.0,-3.28,1.01,-2.27
Michael Imariagbe,Wright St,252.6,9.43,-11.71,-2.28
Rick Issanza,LMU,229.6,-0.22,-2.08,-2.3
Clash Peters,Georgia St,112.5,2.14,-4.45,-2.31
Daniil Glazkov,Loyola Chicago,93.4,-4.03,1.71,-2.32
Jarvis Walker,IU Indy,306.1,7.98,-10.3,-2.32
Posh Alexander,Dayton,162.7,-1.84,-0.5,-2.34
Sean Craig,IU Indy,326.0,7.88,-10.23,-2.35
Damarion Walkup,SE Missouri,82.1,-5.88,3.51,-2.37
Tahj Staveskie,Cleveland St,534.3,-3.42,1.05,-2.37
Trey Thomas,Bethune,548.3,-1.42,-0.96,-2.38
Kendall Blue,St Thomas (MN),368.0,3.47,-5.85,-2.38
Jayan Walker,Indiana St,130.3,0.64,-3.03,-2.39
Jacob Conner,Dayton,183.4,-1.94,-0.46,-2.4
Bol Dengdit,Portland,373.5,-2.06,-0.34,-2.4
Kaspar Sepp,Valparaiso,248.6,-0.74,-1.66,-2.4
Robert Smith,Delaware St,490.5,3.81,-6.21,-2.4
Jan Vide,LMU,140.2,-0.25,-2.15,-2.4
Hunter Jack Madden,Abilene Chrstn,442.6,-2.98,0.58,-2.4
Bensley Joseph,Providence,397.6,-0.16,-2.26,-2.42
Justus McNair,Valparaiso,108.3,-0.99,-1.47,-2.46
Aaron Powell,Rice,43.2,1.4,-3.86,-2.46
Mekhi Conner,Sacred Heart,584.5,-3.79,1.32,-2.47
Luka Toews,Boston College,112.2,1.56,-4.04,-2.48
Nicolas Louis-Jacques,Colgate,408.2,1.22,-3.7,-2.48
Ryan Van Eyck,Incarnate Word,17.4,-2.71,0.23,-2.48
Jack Hoth,Oakland,1.0,-0.7,-1.81,-2.51
Rob Lawson,Morgan St,499.7,0.12,-2.63,-2.51
Tey Barbour,Harvard,126.2,-2.41,-0.11,-2.52
Prince Aligbe,Seton Hall,330.3,-4.74,2.22,-2.52
Harrison Reede,Incarnate Word,4.0,-2.81,0.29,-2.52
Parker Jones,Colgate,290.7,1.01,-3.53,-2.52
Jordan Battle,Coastal,241.3,6.6,-9.12,-2.52
Seifeldin Hendawy,Loyola Chicago,2.0,-4.31,1.79,-2.52
Joshua Beadle,Boston College,204.1,1.4,-3.94,-2.54
Michael O'Connell,NC State,378.1,1.97,-4.51,-2.54
Isaiah Shaw,Valparaiso,105.9,-1.05,-1.49,-2.54
Prophet Johnson,Fairfield,446.4,-3.73,1.19,-2.54
Matthew Mortenson,Loyola Chicago,0.0,-4.38,1.83,-2.55
LA Pratt,Northeastern,394.7,-6.01,3.45,-2.56
Caleb Reese,Loyola Chicago,0.0,-4.39,1.83,-2.56
Amani Drummond,Incarnate Word,11.4,-2.9,0.33,-2.57
Jackson Peakes,Rice,23.9,1.11,-3.69,-2.58
Daniel Rouzan,Bethune,451.4,-2.25,-0.33,-2.58
Carson Schwieger,Valparaiso,136.3,-1.18,-1.41,-2.59
Max Brooks,UMass Lowell,406.5,6.54,-9.13,-2.59
Tom House,Furman,294.4,-3.85,1.25,-2.6
Mike Woods,Navy,298.0,-1.38,-1.23,-2.61
Jack Turner,Loyola Chicago,3.9,-4.45,1.84,-2.61
Noah Amenhauser,Coastal,218.8,6.33,-8.96,-2.63
Xzayvier Brown,Saint Joseph's,728.7,-3.4,0.76,-2.64
Cole Andrews-Heitz,Rice,0.0,1.0,-3.67,-2.67
Garrett Hien,Furman,369.9,-4.64,1.96,-2.68
Nolan Minessale,St Thomas (MN),348.2,3.24,-5.94,-2.7
Cooper Bowser,Furman,474.5,-4.35,1.65,-2.7
Josiah LeGree,Indiana St,31.3,0.05,-2.75,-2.7
Ben Middlebrooks,NC State,230.4,1.5,-4.2,-2.7
Chase Robinson,Cleveland St,362.9,-4.14,1.44,-2.7
Isaac Jack,Dayton,48.2,-2.47,-0.25,-2.72
Aaron McBride,LMU,106.0,-0.7,-2.02,-2.72
Malik Ferguson,Georgia St,94.6,1.44,-4.18,-2.74
Paul McNeil Jr.,NC State,169.0,1.75,-4.51,-2.76
JC Brooks,Tennessee St,22.4,-2.2,-0.56,-2.76
Baba Miller,FAU,498.3,2.58,-5.35,-2.77
Ben Vander Wal,Furman,560.0,-4.65,1.88,-2.77
Amahrie Simpkins,Morgan St,160.2,-0.92,-1.86,-2.78
Malik Henry,UNC Greensboro,142.6,-2.98,0.2,-2.78
Dez White,Missouri St,360.8,-4.45,1.67,-2.78
Chase Lowe,William & Mary,273.1,-1.08,-1.7,-2.78
EJ Farmer,Youngstown St,116.5,-2.23,-0.56,-2.79
Maleek Arington,Seattle U,333.5,-6.87,4.07,-2.8
Josh Uduje,San José St,410.9,-0.95,-1.85,-2.8
Stephan Swenson,Santa Barbara,513.2,2.13,-4.93,-2.8
Ebrima Dibba,Cleveland St,437.6,-4.68,1.87,-2.81
Kyler Vanderjagt,C Michigan,362.3,-3.42,0.6,-2.82
Melvin Council Jr.,St Bonaventure,560.6,-5.62,2.8,-2.82
Jesus Carralero Martin,Bethune,462.6,-2.4,-0.43,-2.83
Godswill Erheriene,Seton Hall,223.2,-5.22,2.37,-2.85
Matar Wade,Morgan St,80.6,-0.97,-1.88,-2.85
Aidan Kehoe,Navy,377.2,-1.51,-1.35,-2.86
Merritt Alderink,Indiana St,2.0,-0.16,-2.7,-2.86
Antoine Lorick III,Tennessee St,47.6,-2.34,-0.52,-2.86
Jaiun Simon,Dayton,125.8,-2.63,-0.23,-2.86
Tytan Newton,Morgan St,87.8,-1.14,-1.73,-2.87
Drake Dobbs,St Thomas (MN),416.6,2.8,-5.68,-2.88
Ryan Mela,Providence,289.8,-1.08,-1.81,-2.89
Wesley Oba,Missouri St,273.5,-4.74,1.85,-2.89
Joryam Saizonou,UNC Greensboro,185.0,-3.18,0.28,-2.9
Cooper Bean,Indiana St,0.0,-0.26,-2.65,-2.91
Cameron McNamee,Dartmouth,89.4,-11.74,8.83,-2.91
Carter Bjerke,St Thomas (MN),329.4,2.38,-5.29,-2.91
Charlie Williams,Lipscomb,313.9,-6.86,3.94,-2.92
Jahni Summers,Indiana St,1.0,-0.28,-2.64,-2.92
JaCobi Wood,Murray St,409.6,-3.35,0.42,-2.93
Seneca Willoughby,Bethune,509.4,-2.71,-0.22,-2.93
Jason Jackson,Georgia St,4.8,1.16,-4.09,-2.93
Quinton Mincey,UMass Lowell,490.7,5.92,-8.86,-2.94
Kany Tchanda,Boston College,12.0,0.74,-3.68,-2.94
Dezayne Mingo,Marshall,457.3,0.63,-3.58,-2.95
Hamad Mousa,Dayton,12.4,-2.88,-0.09,-2.97
Brady Uhl,Dayton,2.0,-2.89,-0.08,-2.97
John Camden,Delaware,651.9,6.21,-9.2,-2.99
Matas Vokietaitis,FAU,331.0,2.57,-5.56,-2.99
JB Frankel,Northeastern,369.8,-6.83,3.84,-2.99
David Wilkerson,Youngstown St,48.9,-2.48,-0.52,-3.0
Dhiaukuei Manyiel Dut,Georgia St,4.4,1.03,-4.03,-3.0
Kooper Jacobi,E Illinois,284.7,-11.73,8.73,-3.0
Martaz Robinson,Delaware St,419.1,2.7,-5.71,-3.01
Devon Ellis,Valparaiso,49.2,-1.97,-1.04,-3.01
Colin Granger,Coastal,186.9,5.8,-8.81,-3.01
Billy Smith,Bellarmine,227.8,-5.65,2.63,-3.02
Kellen Tynes,Maine,481.9,-0.62,-2.42,-3.04
Cole Farrell,Portland St,200.8,-8.11,5.06,-3.05
Donavan Yap,San José St,380.1,-1.42,-1.64,-3.06
AJ Ferguson,Murray St,398.6,-3.62,0.54,-3.08
Trey Robinson,N Kentucky,409.6,3.74,-6.82,-3.08
Kylen Milton,Murray St,289.1,-3.67,0.59,-3.08
Ben Eisendrath,Harvard,54.8,-3.32,0.21,-3.11
Blaise Threatt,Weber St,502.8,-0.92,-2.19,-3.11
Sam Wright,Colgate,120.4,0.02,-3.15,-3.13
Hayden Curtiss,Portland St,123.1,-8.52,5.39,-3.13
Oswin Erhunmwunse,Providence,349.2,-1.62,-1.52,-3.14
Marcus Hill,NC State,283.2,0.96,-4.11,-3.15
Myles Watkins,Bellarmine,140.6,-5.84,2.69,-3.15
Kaseem Watson,Delaware St,505.4,2.59,-5.75,-3.16
Isaac Abidde,Cleveland St,212.6,-5.14,1.98,-3.16
Christian Kirkland,Youngstown St,15.8,-2.83,-0.34,-3.17
Tre Carroll,FAU,399.7,2.44,-5.63,-3.19
Tyler Johnson,Virginia Tech,394.5,-3.32,0.12,-3.2
Josh Meo,Coastal,283.1,5.4,-8.61,-3.21
Muneer Newton,Delaware St,420.6,2.32,-5.53,-3.21
Akrum Ahemed,UNC Greensboro,86.7,-3.85,0.64,-3.21
Matthew Cleveland,Miami,256.9,7.58,-10.81,-3.23
Reece Robinson,Cleveland St,185.8,-5.27,2.02,-3.25
Jayden Taylor,NC State,320.1,0.81,-4.07,-3.26
Shane Nowell,Portland St,99.4,-8.65,5.38,-3.27
Collin Metcalf,Northeastern,235.6,-7.5,4.23,-3.27
Chase Martin,Missouri St,214.0,-5.34,2.07,-3.27
Jinwoo Kim,Navy,429.1,-2.56,-0.74,-3.3
Taj Bryant,Sacred Heart,122.4,-5.35,2.04,-3.31
Dutch Dowdell,Harvard,4.0,-3.7,0.38,-3.32
Matteus Case,William & Mary,293.5,-1.75,-1.58,-3.33
Xavier Nesbitt,Harvard,3.0,-3.75,0.4,-3.35
Doctor Bradley,AR-Pine Bluff,406.9,2.53,-5.88,-3.35
Caleb Dorsey,William & Mary,201.0,-1.76,-1.59,-3.35
Alec Millender,IU Indy,328.5,6.08,-9.44,-3.36
Kelcy Phipps,Portland St,66.9,-8.91,5.54,-3.37
Jaydon Young,Virginia Tech,363.7,-3.41,0.03,-3.38
Brandon Huntley-Hatfield,NC State,213.7,0.84,-4.22,-3.38
Connor Christensen,Dartmouth,29.0,-12.61,9.22,-3.39
Nate Martin,Marshall,378.7,-0.24,-3.15,-3.39
Ben Brown,Dartmouth,2.0,-12.6,9.21,-3.39
Rasheer Fleming,Saint Joseph's,656.1,-4.27,0.87,-3.4
Kyle Carlesimo,Colgate,163.5,-0.38,-3.02,-3.4
Alex Huibregtse,Wright St,337.7,7.68,-11.09,-3.41
Kaleb Glenn,FAU,473.7,1.98,-5.4,-3.42
Sadaidriene Hall,San José St,416.4,-2.09,-1.33,-3.42
Emmanuel Okorafor,Seton Hall,119.8,-6.11,2.69,-3.42
Quion Burns,Maine,434.5,-1.5,-1.92,-3.42
Breon Pass,NC State,154.2,0.42,-3.86,-3.44
Rasheed Jones,Coastal,203.6,4.94,-8.38,-3.44
Scotty Middleton,Seton Hall,194.4,-5.82,2.38,-3.44
Izaiah Pasha,Delaware,623.2,5.67,-9.11,-3.44
Tre Dinkins,Duquesne,419.1,3.05,-6.51,-3.46
Jordan Riley,East Carolina,463.3,1.56,-5.02,-3.46
Brady Cummins,Colgate,260.8,-0.59,-2.88,-3.47
Miles Jones,UNC Greensboro,110.8,-4.17,0.7,-3.47
Malek Gomma,Seattle U,43.2,-8.26,4.78,-3.48
RJ Felton,East Carolina,472.2,1.83,-5.32,-3.49
Fallou Gueye,Sacred Heart,72.6,-5.74,2.25,-3.49
Ben Burnham,Virginia Tech,325.6,-3.56,0.06,-3.5
Zaxton King,Missouri St,305.6,-5.73,2.23,-3.5
Tyler Doyle,Bellarmine,186.9,-6.5,2.98,-3.52
Kareem Thomas,Dartmouth,13.0,-12.81,9.29,-3.52
Isaac Brice,Portland St,44.3,-9.18,5.64,-3.54
Dontrez Williams,Abilene Chrstn,160.3,-4.65,1.11,-3.54
Cole Franklin,Cleveland St,135.8,-5.73,2.19,-3.54
Julian Scott,Colgate,84.6,-0.72,-2.82,-3.54
Yacine Toumi,Seton Hall,113.2,-6.3,2.74,-3.56
Jalen Hampton,Missouri St,104.8,-5.9,2.33,-3.57
Domas Kauzonas,UNC Greensboro,8.0,-4.48,0.91,-3.57
Landin Hacker,Bellarmine,169.0,-6.56,2.99,-3.57
John Christofilis,Seattle U,231.0,-8.26,4.68,-3.58
Will Heimbrodt,Seattle U,93.6,-8.49,4.9,-3.59
Brandon Johnson,Miami,300.5,7.05,-10.64,-3.59
Solomon Callaghan,Wright St,301.7,7.15,-10.74,-3.59
Miles White,Lipscomb,155.5,-7.78,4.18,-3.6
Houran Dan,Seattle U,82.9,-8.59,4.98,-3.61
Bryan Ndjonga,C Michigan,150.4,-4.94,1.33,-3.61
Lamaj Lewis,LMU,29.4,-2.31,-1.3,-3.61
Tobi Lawal,Virginia Tech,256.7,-3.85,0.23,-3.62
Vincent Delano,Portland,159.1,-4.3,0.65,-3.65
Isaac McKneely,Virginia,407.8,4.67,-8.33,-3.66
Rodolfo Bolis,E Illinois,237.5,-12.93,9.26,-3.67
Josh Ahayere,Colgate,85.9,-1.04,-2.64,-3.68
Cade Hornecker,Abilene Chrstn,146.1,-4.91,1.23,-3.68
Jack Karasinski,Bellarmine,121.8,-6.79,3.11,-3.68
Jalen Terry,E Michigan,510.6,0.61,-4.3,-3.69
Yaniel Rivera,Abilene Chrstn,125.8,-5.09,1.4,-3.69
Christian Alston,Abilene Chrstn,79.8,-5.13,1.42,-3.71
Nasir DeGruy,Abilene Chrstn,193.0,-4.96,1.24,-3.72
Mark Freeman,James Madison,301.2,6.16,-9.89,-3.73
Robert Vaihola,San José St,248.3,-2.8,-0.93,-3.73
Latrell Davis,San José St,412.8,-2.49,-1.25,-3.74
Lajae Jones,St Bonaventure,492.5,-7.05,3.31,-3.74
Ben Oosterbaan,St Thomas (MN),227.8,1.01,-4.75,-3.74
Malachi Ndur,William & Mary,211.5,-2.6,-1.15,-3.75
Ben Hammond,Virginia Tech,281.7,-4.08,0.33,-3.75
Kenny Pohto,Santa Barbara,431.8,0.66,-4.42,-3.76
Decorion Temple,C Michigan,28.4,-5.23,1.45,-3.78
Jermaine Ballisager Webb,Portland,44.3,-4.6,0.82,-3.78
Jemel Jones,Bakersfield,408.2,4.11,-7.89,-3.78
Martin Somerville,UMass Lowell,489.2,4.58,-8.37,-3.79
Ryan Dufault,St Thomas (MN),163.2,0.97,-4.77,-3.8
KJ Debrick,Cleveland St,71.6,-6.21,2.39,-3.82
Muon Reath,UNC Greensboro,3.0,-4.89,1.07,-3.82
Grant Asman,Lipscomb,145.6,-8.3,4.48,-3.82
Clinton Efinda,UNC Greensboro,12.0,-4.9,1.07,-3.83
Logan Epes,Missouri St,94.6,-6.32,2.49,-3.83
Mason So,UNC Greensboro,3.5,-4.91,1.08,-3.83
Josh Dilling,N Kentucky,469.2,2.5,-6.34,-3.84
Cooper Wright,Colgate,33.8,-1.24,-2.6,-3.84
Chance Moore,St Bonaventure,460.4,-7.71,3.86,-3.85
Marcus Millender,UTSA,537.7,-3.52,-0.33,-3.85
Quentin Heady,C Michigan,87.2,-5.38,1.51,-3.87
Charles Johnston,Furman,126.4,-6.34,2.47,-3.87
Keenan Garner,IU Indy,173.0,5.17,-9.04,-3.87
Leland Walker,FAU,410.7,0.99,-4.87,-3.88
Josh Pascarelli,Marist,486.4,-2.64,-1.24,-3.88
Jason Fontenet II,Santa Barbara,477.3,0.35,-4.24,-3.89
Youri Fritz,Northeastern,106.6,-8.63,4.73,-3.9
Kellan Boylan,Lipscomb,59.7,-8.47,4.57,-3.9
Eddrin Bronson,Furman,226.7,-6.27,2.37,-3.9
David Onanina,Bethune,229.6,-4.02,0.12,-3.9
Jake O'Neil,Idaho St,434.0,1.59,-5.49,-3.9
Anthony Finkley,Saint Joseph's,618.5,-5.68,1.77,-3.91
Obadiah Curtis,E Illinois,123.5,-13.29,9.38,-3.91
Gus Yalden,Seton Hall,36.9,-6.87,2.95,-3.92
Dennis Parker Jr.,NC State,75.4,-0.39,-3.56,-3.95
Elijah Lewis,Marist,439.4,-2.98,-0.97,-3.95
David Tubek,Seton Hall,35.2,-6.99,3.03,-3.96
Peter Suder,Miami OH,476.5,-1.78,-2.19,-3.97
Trey Parker,NC State,84.6,-0.36,-3.61,-3.97
Logan Suber,Lipscomb,20.8,-8.58,4.61,-3.97
Vasja Pandza,Seattle U,52.1,-9.2,5.22,-3.98
Viktor Rajkovic,Seattle U,39.3,-9.14,5.16,-3.98
Jayden Pierre,Providence,413.6,-2.76,-1.23,-3.99
Erik Reynolds II,Saint Joseph's,666.1,-5.27,1.26,-4.01
Keller Boothby,William & Mary,321.4,-3.03,-0.98,-4.01
Jaden Clayton,Maine,461.8,-2.4,-1.62,-4.02
Brayon Freeman,Bethune,116.1,-4.42,0.39,-4.03
Danny Young,Cleveland St,4.0,-6.61,2.57,-4.04
DaSean Stevens,Seattle U,119.7,-9.23,5.19,-4.04
Kyle Pulliam,William & Mary,166.5,-2.97,-1.07,-4.04
Mikah Ballew,Portland,45.5,-5.03,0.99,-4.04
Sadraque NgaNga,San José St,250.4,-3.09,-0.95,-4.04
Mylyjael Poteat,Virginia Tech,228.1,-4.47,0.42,-4.05
Lysander Rehnstrom,Navy,185.0,-3.76,-0.29,-4.05
Patrick Wessler,Virginia Tech,167.0,-4.61,0.55,-4.06
Jahseem Felton,Seton Hall,166.6,-7.3,3.23,-4.07
Maximus Edwards,Duquesne,316.2,1.87,-5.95,-4.08
Ross Candelino,Lipscomb,3.0,-8.76,4.68,-4.08
Jadin Collins-Roberts,Marist,454.9,-3.0,-1.08,-4.08
Chaz Watson,Cleveland St,7.9,-6.7,2.61,-4.09
Denzel Hines,Coastal,129.3,3.86,-7.95,-4.09
Zion Fruster,E Illinois,125.8,-13.56,9.47,-4.09
Alexander Nwagha,Northeastern,129.9,-8.82,4.72,-4.1
William Kermoury,Northeastern,139.5,-8.94,4.83,-4.11
Jayden Brewer,FIU,312.6,-4.79,0.67,-4.12
Lynn Kidd,Miami,156.8,6.13,-10.26,-4.13
Coleman Lemke,Portland,1.0,-5.22,1.08,-4.14
Sam Vinson,N Kentucky,422.9,1.78,-5.92,-4.14
Mouhamed Sow,Saint Peter's,421.1,-6.61,2.47,-4.14
Ma'Shy Hill,Abilene Chrstn,52.2,-5.89,1.74,-4.15
Ben Nau,St Thomas (MN),203.9,0.59,-4.74,-4.15
Rylan Houck,Lipscomb,7.5,-8.89,4.74,-4.15
Jack Sawyer,Abilene Chrstn,0.0,-5.92,1.77,-4.15
Colin Smith,Santa Barbara,288.7,0.05,-4.21,-4.16
Niels Lane,Delaware,535.9,4.31,-8.48,-4.17
Jack Ingold,Lipscomb,3.0,-8.93,4.76,-4.17
Keaton Norris,Wright St,221.5,6.2,-10.37,-4.17
Logan Woods,Wright St,169.8,6.09,-10.26,-4.17
Kelson Gebbers,Portland,6.0,-5.32,1.14,-4.18
Cam Crawford,Duquesne,348.1,1.8,-5.99,-4.19
Armoni Zeigler,Saint Peter's,371.3,-6.9,2.7,-4.2
Makhai Valentine,Missouri St,18.2,-6.94,2.74,-4.2
Isaiah Mbeng,William & Mary,213.3,-3.19,-1.01,-4.2
Davis Molnar,Furman,88.8,-6.92,2.72,-4.2
Mezziah Oakman,Portland,0.5,-5.36,1.14,-4.22
Alden Applewhite,Murray St,163.2,-5.62,1.4,-4.22
Colby Tanner,Abilene Chrstn,3.0,-6.04,1.82,-4.22
Mikal Dawson,Marshall,419.1,-1.38,-2.86,-4.24
Marcus Randolph,Saint Peter's,474.2,-7.11,2.87,-4.24
Rich Byhre,St Thomas (MN),143.7,0.37,-4.62,-4.25
Mozae Downing-Rivers,Missouri St,54.7,-7.03,2.78,-4.25
Elijah Hutchins-Everett,James Madison,352.4,5.04,-9.29,-4.25
Jermaine Washington,San José St,383.4,-3.45,-0.8,-4.25
Bryce Heard,NC State,34.7,-0.95,-3.31,-4.26
Dan Gherezgher,N Kentucky,510.4,1.71,-5.98,-4.27
Oscar Cluff,S Dakota St,388.7,5.07,-9.37,-4.3
Tyrese Hughey,Furman,48.2,-7.13,2.82,-4.31
Erik Timko,Delaware,487.4,4.27,-8.58,-4.31
Noel Brown,St Bonaventure,471.0,-8.04,3.73,-4.31
Carnegie Johnson,Navy,88.9,-4.25,-0.07,-4.32
Drew Barbee,C Michigan,1.5,-6.17,1.85,-4.32
Primo Spears,UTSA,533.8,-4.16,-0.16,-4.32
Cruz Davis,Hofstra,445.0,-8.28,3.95,-4.33
AJ Staton-McCray,Miami,275.9,5.83,-10.17,-4.34
Terry McMorris,E Illinois,68.8,-14.14,9.79,-4.35
Bryce Lindsay,James Madison,381.9,5.12,-9.49,-4.37
David Dixon,Duquesne,220.5,1.23,-5.6,-4.37
AJ Lopez,Maine,459.8,-2.8,-1.58,-4.38
Dwon Odom,Tulsa,480.9,0.26,-4.64,-4.38
Louie Semona,Stonehill,401.1,5.06,-9.44,-4.38
Allen Udemadu,Missouri St,10.0,-7.33,2.94,-4.39
Jalen Speer,Marshall,434.9,-1.55,-2.85,-4.4
Cavan Reilly,Delaware,590.9,4.33,-8.74,-4.41
Curt Hopf,Bellarmine,107.0,-8.11,3.69,-4.42
DeSean Goode,IU Indy,151.6,4.14,-8.56,-4.42
Reggie Ward Jr.,Bethune,161.5,-5.14,0.72,-4.42
Braden Sparks,Fairfield,352.5,-7.28,2.84,-4.44
Howie Fleming Jr.,UT Rio Grande,320.2,-4.18,-0.26,-4.44
LJ Wells,N Kentucky,318.9,1.29,-5.74,-4.45
Eli Wilborn,Duquesne,248.0,1.53,-5.99,-4.46
Ismael Diouf,NC State,15.5,-1.28,-3.18,-4.46
Andrea Holden,Wright St,72.8,5.7,-10.16,-4.46
Andrew Rohde,Virginia,387.8,3.39,-7.86,-4.47
Sam Thomson,Northeastern,46.2,-9.55,5.08,-4.47
DK Thorn,UT Rio Grande,344.2,-4.27,-0.21,-4.48
Isaiah Griffin,Idaho St,399.3,0.27,-4.78,-4.51
Connor Hollenbeck,Idaho St,387.1,0.32,-4.83,-4.51
Brandon Rechsteiner,Virginia Tech,279.5,-5.24,0.71,-4.53
Justyn Fernandez,Providence,160.5,-3.73,-0.8,-4.53
Cliff Davis,UT Rio Grande,340.7,-4.07,-0.47,-4.54
Rich Barron,Providence,274.8,-3.86,-0.69,-4.55
Todd Brogna,Stonehill,328.7,4.72,-9.28,-4.56
Max Murrell,Santa Barbara,304.9,-0.95,-3.62,-4.57
Corey Floyd Jr.,Providence,224.9,-3.91,-0.7,-4.61
Jakub Necas,Duquesne,273.5,1.03,-5.64,-4.61
Cam Cole,Navy,33.8,-4.78,0.16,-4.62
Ponce James,Delaware St,326.1,-0.03,-4.6,-4.63
Finn Lally,William & Mary,46.6,-4.06,-0.57,-4.63
Keaston Willis,Tulsa,487.1,0.29,-4.93,-4.64
AJ Lux,Bellarmine,116.6,-8.51,3.87,-4.64
Dezmond McKinney,Bellarmine,50.9,-8.53,3.87,-4.66
Mitch Fischer,Navy,14.3,-4.86,0.19,-4.67
Cole Anderson,Santa Barbara,513.6,-0.93,-3.75,-4.68
Grant Whitaker,Bellarmine,87.6,-8.63,3.95,-4.68
Jaden Schutt,Virginia Tech,259.2,-5.46,0.78,-4.68
Austin Swartz,Miami,244.6,5.18,-9.87,-4.69
Nate Francois,Northeastern,0.0,-9.97,5.25,-4.72
Eian Elmer,Miami OH,445.9,-2.87,-1.85,-4.72
Malik Olafioye,E Illinois,71.6,-14.74,10.0,-4.74
Da'Sean Nelson,E Michigan,416.3,-1.16,-3.58,-4.74
German Plotnikov,Hofstra,421.7,-8.94,4.2,-4.74
Deuce Turner,Santa Barbara,248.8,-0.61,-4.15,-4.76
Justin Morgan,Murray St,105.6,-6.57,1.81,-4.76
Christopher Mantis,Maine,293.4,-3.36,-1.41,-4.77
Jaden Daughtry,Marist,334.3,-4.25,-0.52,-4.77
Vianney Salatchoum,FIU,346.5,-5.67,0.9,-4.77
Niccolo Moretti,FAU,352.2,-0.39,-4.38,-4.77
Henry Abraham,Coastal,125.2,2.63,-7.41,-4.78
Bryce Eaton,Saint Peter's,327.9,-7.67,2.88,-4.79
Naz Brown,Coastal,54.8,2.69,-7.49,-4.8
Dai Dai Ames,Virginia,356.0,2.88,-7.69,-4.81
Killian Gribben,Maine,293.7,-3.84,-0.97,-4.81
KyKy Tandy,FAU,261.7,-0.69,-4.13,-4.82
Gavin Doty,Siena,480.2,3.51,-8.33,-4.82
Ron Rutland III,IU Indy,102.0,3.46,-8.29,-4.83
Keeyan Itejere,N Kentucky,265.4,0.73,-5.56,-4.83
Jason Schofield,Marist,231.5,-4.33,-0.5,-4.83
Tylen Riley,CA Baptist,437.4,-6.62,1.78,-4.84
Ethan Meuser,Stonehill,315.8,4.16,-9.01,-4.85
