Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Wagner,NEC,-23.77,90.61,114.37,60.31,-15.22,99.58,114.79
Mercyhurst,NEC,-24.35,98.27,122.62,64.21,-14.38,99.86,114.24
Western Illinois,OVC,-24.71,97.02,121.73,63.59,-11.84,101.41,113.25
Stetson,ASUN,-24.9,99.77,124.66,66.66,-7.04,106.17,113.22
NJIT,Am. East,-26.02,91.94,117.96,66.39,-11.1,102.54,113.64
Prairie View A&M,SWAC,-26.44,96.68,123.12,69.12,-10.11,102.39,112.5
The Citadel,SoCon,-27.34,93.38,120.72,64.98,-6.27,105.79,112.06
Le Moyne,NEC,-27.45,101.57,129.03,68.65,-12.36,100.94,113.3
New Hampshire,Am. East,-28.66,91.44,120.1,67.63,-10.67,102.89,113.56
Canisius,MAAC,-29.65,96.54,126.18,66.22,-7.93,102.97,110.9
Maryland Eastern Shore,MEAC,-30.71,91.68,122.39,66.27,-6.65,105.36,112.0
Alabama A&M,SWAC,-31.31,91.75,123.06,69.98,-13.34,100.71,114.05
Coppin State,MEAC,-31.58,86.33,117.91,68.19,-9.46,104.1,113.56
Chicago State,NEC,-31.65,88.72,120.37,68.9,-8.43,103.59,112.02
Arkansas-Pine Bluff,SWAC,-33.95,93.87,127.82,70.95,-12.7,101.0,113.7
Mississippi Valley State,SWAC,-51.15,78.58,129.72,65.19,-8.17,103.37,111.54
