Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
Arkansas-Pine Bluff,SWAC,-23.34,99.62,122.96,69.6,-11.97,104.02,115.98
Wagner,NEC,-23.63,100.2,123.83,66.05,-16.78,100.27,117.04
Bucknell,Patriot,-23.98,93.54,117.51,67.78,-11.4,104.96,116.36
North Florida,ASUN,-24.06,104.01,128.07,70.97,-6.74,107.46,114.2
Air Force,Mountain West,-24.11,93.54,117.65,66.84,4.38,112.63,108.25
Texas Southern,SWAC,-24.14,100.62,124.76,68.72,-13.42,102.51,115.93
Loyola Maryland,Patriot,-24.15,99.79,123.94,69.53,-15.15,102.44,117.59
UMass Lowell,Am. East,-24.6,97.33,121.93,69.92,-16.27,101.88,118.15
New Haven,NEC,-24.9,92.14,117.04,63.98,-13.93,101.83,115.75
Southern Indiana,OVC,-25.0,92.39,117.39,68.69,-16.14,100.78,116.93
Stonehill,NEC,-25.42,91.32,116.75,66.12,-17.17,100.4,117.57
Fairleigh Dickinson,NEC,-25.47,96.39,121.86,64.44,-13.84,102.02,115.86
UAlbany,Am. East,-25.72,98.15,123.87,65.55,-15.72,101.8,117.52
Manhattan,MAAC,-25.98,101.8,127.78,68.6,-15.53,101.0,116.53
North Alabama,ASUN,-26.43,97.56,123.99,65.41,-10.34,107.14,117.48
NJIT,Am. East,-26.94,91.69,118.63,68.35,-15.78,100.87,116.65
Army,Patriot,-27.12,99.8,126.92,67.13,-13.92,103.46,117.39
The Citadel,SoCon,-27.2,99.52,126.73,65.41,-10.2,105.8,116.0
Maine,Am. East,-27.39,87.18,114.57,65.39,-17.58,100.85,118.43
Maryland Eastern Shore,MEAC,-28.13,92.24,120.38,63.92,-14.81,102.51,117.32
Niagara,MAAC,-28.22,95.17,123.39,62.99,-14.71,101.72,116.43
Canisius,MAAC,-28.45,91.67,120.12,64.79,-14.58,102.05,116.63
New Hampshire,Am. East,-28.73,94.96,123.69,67.74,-16.34,101.12,117.45
Chicago State,NEC,-29.0,95.94,124.95,66.27,-10.43,103.4,113.83
UL Monroe,Sun Belt,-29.34,98.38,127.72,70.65,-9.48,104.67,114.15
Jackson State,SWAC,-29.93,95.98,125.91,70.36,-10.64,104.07,114.71
North Carolina Central,MEAC,-30.31,96.91,127.21,66.35,-15.72,100.78,116.5
Morgan State,MEAC,-30.69,96.3,126.99,70.62,-18.26,98.97,117.23
Kansas City,Summit,-31.15,90.9,122.05,70.42,-6.39,107.99,114.38
St. Francis (PA),NEC,-31.16,95.99,127.15,70.75,-11.78,103.64,115.42
Rider,MAAC,-32.21,92.79,125.0,65.99,-10.31,103.89,114.2
Alcorn State,SWAC,-32.8,92.62,125.42,68.11,-11.84,103.53,115.36
VMI,SoCon,-32.97,93.86,126.83,67.69,-10.62,106.63,117.25
Bryant,Am. East,-33.46,92.05,125.52,64.64,-14.45,101.45,115.9
South Carolina State,MEAC,-33.55,92.2,125.75,68.54,-16.45,101.34,117.79
Gardner-Webb,Big South,-33.64,92.18,125.82,70.21,-4.28,108.38,112.66
Delaware State,MEAC,-35.45,84.46,119.92,65.88,-17.7,100.72,118.42
Binghamton,Am. East,-37.25,94.93,132.18,65.66,-19.8,99.2,118.99
Western Illinois,OVC,-37.28,91.18,128.46,66.43,-15.38,100.95,116.33
Coppin State,MEAC,-39.66,87.15,126.81,69.2,-13.53,102.21,115.74
Mississippi Valley State,SWAC,-45.62,85.15,130.78,67.78,-13.73,102.81,116.54
