Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
244,Providence,33,15,18,.455,10.67,9.36,,7,13,,10,6,,3,8,,2815,2772,,1355,973,2044,.476,301,828,.364,568,750,.757,363,1271,462,177,129,408,607
245,Purdue NCAA,39,30,9,.769,25.08,13.98,,13,7,,12,5,,8,3,,3184,2751,,1565,1164,2331,.499,359,937,.383,497,666,.746,440,1374,764,214,110,349,566
246,Purdue Fort Wayne,32,17,15,.531,-7.46,-2.90,,11,9,,11,4,,6,11,,2499,2467,,1280,895,1920,.466,300,853,.352,409,575,.711,257,969,440,273,101,318,499
247,Queens (NC) NCAA,35,21,14,.600,-3.75,-4.40,,13,5,,12,2,,6,10,,2957,2924,,1410,1017,2111,.482,353,987,.358,570,771,.739,356,1168,561,211,103,371,687
248,Quinnipiac,32,19,13,.594,-5.58,-7.13,,12,8,,10,5,,9,7,,2411,2303,,1290,860,2004,.429,236,683,.346,455,664,.685,406,1183,434,253,142,351,521
249,Radford,32,16,16,.500,-7.31,-6.38,,9,7,,12,5,,4,8,,2604,2523,,1300,874,1951,.448,303,887,.342,553,783,.706,375,1148,417,252,112,400,585
250,Rhode Island,32,16,16,.500,2.28,0.60,,7,11,,10,6,,4,7,,2236,2182,,1290,758,1748,.434,236,760,.311,484,671,.721,339,1053,363,269,117,409,582
251,Rice,31,13,18,.419,-4.54,0.22,,7,11,,8,8,,4,9,,2291,2311,,1260,785,1870,.420,286,822,.348,435,635,.685,430,1180,379,207,121,376,573
252,Richmond,32,15,17,.469,2.11,0.15,,5,13,,11,7,,3,8,,2455,2366,,1285,828,1851,.447,288,792,.364,511,679,.753,277,1059,453,225,74,311,573
253,Rider,29,4,25,.138,-19.19,-5.04,,3,17,,4,9,,0,16,,1840,2204,,1160,673,1703,.395,129,469,.275,365,525,.695,366,1014,299,175,98,326,470
254,Robert Morris,33,22,11,.667,-1.48,-4.90,,13,7,,14,3,,8,7,,2555,2379,,1345,941,1986,.474,297,797,.373,376,543,.692,434,1243,585,190,85,414,594
255,Rutgers,34,14,20,.412,4.40,9.20,,6,14,,10,7,,2,9,,2398,2561,,1376,824,1977,.417,219,676,.324,531,717,.741,364,1118,413,207,115,343,565
256,Sacramento State,31,10,21,.323,-8.18,-0.47,,6,12,,10,4,,0,16,,2408,2542,,1245,791,1881,.421,231,693,.333,595,766,.777,298,1063,402,236,99,323,575
257,Sacred Heart,33,14,19,.424,-11.38,-8.16,,9,11,,8,5,,5,13,,2482,2528,,1325,839,1932,.434,351,979,.359,453,583,.777,338,1151,492,189,97,399,490
258,Saint Francis (PA),31,7,24,.226,-19.09,-6.06,,5,13,,5,8,,2,14,,2216,2510,,1245,793,1843,.430,239,702,.340,391,563,.694,324,1012,416,230,64,401,566
259,Saint Joseph's,36,24,12,.667,2.97,1.71,,13,5,,13,3,,8,8,,2633,2529,,1445,926,2163,.428,298,967,.308,483,652,.741,422,1399,556,201,169,420,509
260,Saint Louis NCAA,35,29,6,.829,17.64,2.76,,15,3,,19,0,,7,3,,3053,2466,,1400,1077,2113,.510,379,958,.396,520,702,.741,354,1392,648,251,122,432,641
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
261,Saint Mary's NCAA,33,27,6,.818,17.07,5.54,,16,2,,17,0,,8,2,,2552,2129,,1320,870,1894,.459,270,692,.390,542,679,.798,409,1323,503,185,119,364,510
262,Saint Peter's,29,17,12,.586,-7.49,-7.63,,14,6,,13,1,,4,10,,2054,1984,,1170,702,1705,.412,213,668,.319,437,596,.733,400,1035,377,261,113,337,579
263,Sam Houston,34,22,12,.647,2.96,-0.14,,13,7,,13,1,,6,10,,2797,2554,,1360,995,2141,.465,284,776,.366,523,729,.717,469,1381,527,243,96,402,594
264,Samford,32,18,14,.563,-5.42,-6.25,,11,7,,11,3,,6,9,,2525,2409,,1295,845,1862,.454,310,865,.358,525,762,.689,292,1164,473,147,89,295,513
265,San Diego,33,12,21,.364,-3.83,2.21,,5,13,,9,8,,2,11,,2458,2570,,1335,884,1989,.444,303,858,.353,387,512,.756,336,1047,530,259,91,412,597
266,San Diego State,33,22,11,.667,13.58,8.08,,14,6,,14,2,,5,5,,2580,2342,,1345,911,1921,.474,221,637,.347,537,735,.731,334,1171,494,252,151,399,625
