Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,School Advanced_Pace,School Advanced_ORtg,School Advanced_FTr,School Advanced_3PAr,School Advanced_TS%,School Advanced_TRB%,School Advanced_AST%,School Advanced_STL%,School Advanced_BLK%,School Advanced_eFG%,School Advanced_TOV%,School Advanced_ORB%,School Advanced_FT/FGA
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
41,California Baptist NCAA,34,25,9,.735,2.56,-2.50,,13,5,,15,0,,7,7,,2470,2298,,67.5,106.5,.359,.320,.522,54.9,39.9,8.1,7.3,.483,15.0,37.5,.256
42,Campbell,34,16,18,.471,-3.20,-0.45,,8,10,,10,4,,3,13,,2691,2639,,70.8,111.8,.424,.368,.557,51.9,46.6,9.5,4.4,.515,14.8,35.4,.308
43,Canisius,31,10,21,.323,-17.00,-7.87,,5,15,,7,8,,3,13,,1951,2184,,64.5,97.1,.311,.397,.504,49.5,55.0,7.6,8.4,.467,16.9,29.7,.224
44,Central Arkansas,34,22,12,.647,-1.72,-5.03,,15,3,,14,1,,6,10,,2749,2541,,69.7,113.9,.301,.492,.569,50.9,57.2,12.4,6.7,.543,13.2,29.7,.213
45,Central Connecticut State,30,18,12,.600,-11.55,-10.16,,12,6,,10,4,,8,8,,2215,2127,,66.0,111.4,.298,.349,.569,51.0,51.6,8.5,11.2,.536,14.0,28.5,.229
46,Central Michigan,31,10,21,.323,-8.76,-2.76,,6,12,,8,5,,1,15,,2275,2384,,69.3,105.9,.319,.339,.551,48.1,56.0,9.5,11.9,.523,16.0,29.8,.223
47,Charleston Southern,32,15,17,.469,-6.83,-6.80,,6,10,,10,4,,5,11,,2670,2563,,74.1,110.1,.302,.515,.567,51.6,56.9,6.4,10.8,.550,15.9,30.5,.196
48,Charlotte,34,17,17,.500,-0.24,1.03,,9,9,,11,6,,4,8,,2492,2530,,64.5,111.6,.366,.453,.567,51.5,52.1,7.0,9.9,.535,15.6,34.2,.262
49,Chattanooga,32,13,19,.406,-11.09,-7.16,,7,11,,7,8,,6,9,,2454,2408,,68.1,112.7,.278,.506,.581,48.2,56.8,7.8,8.0,.551,12.7,24.1,.213
50,Chicago State,32,7,25,.219,-16.47,-5.12,,5,13,,5,6,,2,19,,2105,2434,,65.9,99.4,.302,.313,.496,46.2,49.9,12.3,4.8,.455,13.6,29.4,.224
51,Cincinnati,33,18,15,.545,15.15,9.60,,9,9,,15,3,,2,8,,2413,2230,,69.2,105.3,.294,.438,.531,51.6,63.7,9.0,12.1,.505,14.6,30.6,.200
52,Clemson NCAA,35,24,11,.686,16.35,9.32,,12,6,,13,3,,6,5,,2582,2336,,65.1,112.4,.367,.431,.561,51.1,50.3,9.5,9.1,.526,12.3,28.1,.266
53,Cleveland State,33,11,22,.333,-13.29,-3.25,,6,14,,7,8,,3,13,,2633,2836,,71.5,111.6,.366,.496,.583,47.4,58.4,7.9,7.8,.547,15.8,29.1,.276
54,Coastal Carolina,32,19,13,.594,-7.72,-5.97,,11,7,,8,5,,10,7,,2346,2323,,68.9,104.0,.318,.433,.523,51.1,41.5,6.2,8.3,.486,13.3,27.7,.232
55,Colgate,33,18,15,.545,-6.26,-5.64,,11,7,,9,5,,6,10,,2522,2462,,66.9,111.7,.292,.350,.572,50.0,51.9,8.7,8.7,.542,13.2,27.1,.218
56,College of Charleston,32,21,11,.656,-1.44,-2.86,,14,4,,11,4,,8,4,,2413,2348,,68.5,109.2,.409,.378,.545,50.0,52.2,8.1,12.5,.501,13.4,30.2,.300
57,Colorado,33,17,16,.515,10.48,10.08,,7,11,,13,5,,2,8,,2645,2632,,70.2,112.9,.367,.352,.569,49.8,55.2,8.9,8.7,.529,12.8,29.0,.279
58,Colorado State,34,21,13,.618,8.19,4.92,,11,9,,12,6,,6,5,,2574,2416,,64.7,117.1,.393,.490,.616,51.9,62.9,8.3,6.6,.579,16.1,30.0,.302
59,Columbia,28,16,12,.571,-2.85,-4.24,,5,9,,9,5,,7,7,,2146,2007,,67.6,112.4,.282,.372,.563,56.2,55.4,8.6,8.1,.541,16.1,37.5,.194
60,Connecticut NCAA,40,34,6,.850,23.42,12.02,,17,3,,15,2,,9,2,,3064,2608,,65.7,115.8,.299,.409,.570,53.8,64.9,10.3,14.6,.543,13.9,35.7,.216
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
61,Coppin State,31,7,24,.226,-24.92,-8.19,,5,9,,3,6,,4,15,,2032,2493,,69.4,94.0,.378,.352,.500,47.7,51.4,9.2,10.7,.463,19.0,31.4,.255
62,Cornell,28,15,13,.536,-1.98,-3.14,,8,6,,7,4,,8,8,,2477,2335,,72.1,121.5,.290,.526,.621,51.2,68.7,8.2,7.4,.599,14.1,31.2,.215
63,Creighton,34,16,18,.471,10.16,10.19,,9,11,,10,6,,4,8,,2556,2557,,68.6,109.1,.283,.482,.562,49.4,58.4,8.2,6.6,.530,14.4,26.9,.216
64,Dartmouth,27,11,16,.407,-8.52,-3.20,,5,9,,5,8,,6,8,,2047,2071,,69.7,108.2,.370,.491,.567,49.7,55.5,7.1,9.8,.529,15.4,25.8,.276
65,Davidson,34,20,14,.588,4.21,2.86,,10,8,,11,7,,7,5,,2447,2309,,64.8,109.9,.317,.446,.555,49.5,54.2,10.1,12.7,.535,13.6,28.7,.207
66,Dayton,37,25,12,.676,9.01,4.17,,12,6,,14,4,,8,5,,2743,2564,,67.6,108.5,.462,.414,.566,49.4,59.1,12.0,12.0,.516,15.0,26.9,.348
67,Delaware,31,10,21,.323,-8.83,-2.63,,6,14,,5,10,,4,10,,2098,2293,,64.2,103.3,.306,.460,.566,46.9,52.2,8.6,9.1,.528,16.8,21.0,.241
68,Delaware State,31,8,23,.258,-22.69,-10.95,,2,12,,5,7,,2,14,,1896,2185,,66.5,91.2,.321,.285,.478,47.6,47.9,11.4,5.4,.440,17.1,28.2,.221
69,Denver,32,15,17,.469,-6.12,-2.40,,8,8,,9,5,,6,11,,2650,2650,,69.5,119.2,.344,.386,.590,49.8,40.0,6.6,5.2,.553,12.3,30.8,.266
70,DePaul,32,16,16,.500,7.32,6.63,,8,12,,11,7,,4,7,,2248,2226,,67.7,103.7,.353,.390,.531,49.2,60.9,10.2,9.4,.498,15.4,30.0,.244
71,Detroit Mercy,32,17,15,.531,-5.81,-3.38,,12,8,,9,5,,7,9,,2471,2475,,70.0,110.2,.343,.308,.543,52.1,48.0,8.5,9.3,.498,13.7,34.1,.266
72,Drake,34,14,20,.412,-1.34,1.03,,6,14,,6,11,,4,7,,2552,2544,,68.1,109.5,.335,.457,.553,49.3,52.0,8.0,9.2,.521,13.1,27.1,.241
73,Drexel,33,17,16,.515,-4.98,-4.73,,10,8,,12,4,,4,9,,2247,2221,,65.7,103.6,.312,.401,.532,50.9,54.4,9.3,9.9,.508,16.4,31.7,.206
