Team,Conference,Net,Offensive,Defensive,Possessions
Mount St. Mary's,MAAC,-13.13,95.21,108.34,68.02
Murray State,MVC,5.14,115.56,110.42,72.08
Navy,Patriot,2.38,106.05,103.67,65.88
NC State,ACC,25.70,126.68,100.98,70.26
Nebraska,Big Ten,32.00,123.00,91.00,66.97
Nevada,MWC,15.08,116.72,101.64,67.68
UNLV,MWC,9.67,115.00,105.33,71.38
New Hampshire,America East,-18.55,94.54,113.09,69.55
New Haven,NEC,-12.79,95.80,108.59,64.22
New Mexico,MWC,21.76,118.63,96.87,70.77
New Mexico State,CUSA,2.26,107.83,105.57,68.97
New Orleans,Southland,-6.31,105.28,111.59,70.28
Niagara,MAAC,-23.31,95.26,118.57,63.50
Nicholls State,Southland,-7.34,103.50,110.84,68.82
NJIT,America East,-20.11,92.84,112.95,68.12
Norfolk State,MEAC,-11.47,101.21,112.68,70.11
North Alabama,ASUN,-21.73,99.98,121.71,66.72
North Carolina,ACC,27.54,123.86,96.32,68.86
North Carolina A&T,CAA,-11.27,103.81,115.08,69.81
North Carolina Central,MEAC,-16.95,99.19,116.14,68.23
North Dakota,Summit League,-6.57,106.41,112.98,70.08
North Dakota State,Summit League,6.60,111.15,104.55,69.74
North Florida,ASUN,-17.65,106.60,124.25,73.03
North Texas,American,6.43,104.89,98.46,68.10
Northeastern,CAA,-13.96,104.59,118.55,70.12
Northern Arizona,Big Sky,-9.90,106.05,115.95,66.53
Northern Colorado,Big Sky,4.72,114.09,109.37,70.92
Northern Illinois,MAC,-16.74,97.43,114.17,70.14
Northern Iowa,MVC,14.71,109.80,95.09,64.00
Northern Kentucky,Horizon,0.68,111.23,110.55,72.34
Northwestern,Big Ten,19.02,120.30,101.28,65.31
Northwestern St,Southland,-10.51,101.47,111.98,66.07
Notre Dame,ACC,12.19,116.59,104.40,67.84
Oakland,Horizon,0.00,115.08,115.08,71.59
Ohio,MAC,-4.11,108.17,112.28,71.20
Ohio State,Big Ten,28.22,127.62,99.40,67.10
Oklahoma,SEC,21.45,126.47,105.02,69.60
Oklahoma State,Big 12,14.84,119.10,104.26,75.11
Old Dominion,Sun Belt,-9.74,103.80,113.54,71.22
Omaha,Summit League,-6.34,107.34,113.68,68.93
Oral Roberts,Summit League,-9.97,102.34,112.31,70.41
Oregon,Big Ten,11.55,114.02,102.47,66.99
Oregon State,West Coast,0.68,108.33,107.65,67.16
Pacific,West Coast,10.15,112.09,101.94,65.93
Penn State,Big Ten,6.29,116.31,110.02,67.32
Pennsylvania,Ivy League,1.35,108.16,106.81,69.70
Pepperdine,West Coast,-5.90,105.32,111.22,70.00
Pittsburgh,ACC,10.93,114.82,103.89,65.24
Portland,West Coast,-1.20,107.05,108.25,71.14
Portland State,Big Sky,4.68,107.00,102.32,70.18
Prairie View A&M,SWAC,-10.95,99.19,110.14,73.79
Presbyterian,Big South,-7.06,103.53,110.59,67.39
Princeton,Ivy League,-7.52,103.97,111.49,64.98
Providence,Big East,16.26,122.30,106.04,74.10
Purdue,Big Ten,38.25,136.16,97.91,65.55
IPFW,Horizon,-3.57,108.72,112.29,70.44
Queens (NC),ASUN,-5.00,115.17,120.17,71.21
Quinnipiac,MAAC,-5.86,101.41,107.27,70.76
Radford,Big South,-5.75,106.19,111.94,73.37
Rhode Island,A10,2.61,105.06,102.45,66.77
Rice,American,-0.76,108.35,109.11,68.31
Richmond,A10,3.98,111.32,107.34,68.99
Rider,MAAC,-26.24,92.98,119.22,65.94
Robert Morris,Horizon,1.47,111.13,109.66,67.39
Rutgers,Big Ten,5.91,110.82,104.91,67.55
Sacramento State,Big Sky,-6.60,105.75,112.35,73.22
Sacred Heart,MAAC,-14.53,103.39,117.92,68.79
Saint Francis (PA),NEC,-22.03,97.21,119.24,70.56
St. Joseph's,A10,6.71,107.78,101.07,68.63
Saint Louis,A10,27.48,123.16,95.68,72.13
Saint Mary's,West Coast,28.75,121.86,93.11,65.80
Saint Peter's,MAAC,-6.82,101.27,108.09,66.38
Sam Houston St,CUSA,9.97,115.46,105.49,71.18
Samford,SoCon,-4.21,108.66,112.87,69.59
San Diego,West Coast,-1.12,108.06,109.18,69.95
San Diego State,MWC,21.64,116.44,94.80,70.76
San Francisco,West Coast,8.43,113.58,105.15,67.42
San Jose State,MWC,-0.31,113.26,113.57,66.26
Santa Clara,West Coast,21.26,122.40,101.14,70.46
Seattle,WCC,10.05,105.46,95.41,69.65
Seton Hall,Big East,18.38,111.42,93.04,66.61
Siena,MAAC,-4.52,103.23,107.75,64.45
South Alabama,Sun Belt,-1.27,106.37,107.64,67.01
South Carolina,SEC,10.69,115.38,104.69,68.76
South Carolina State,MEAC,-28.26,90.29,118.55,69.95
USC Upstate,Big South,-8.44,99.87,108.31,71.52
South Dakota,Summit League,-9.14,105.83,114.97,72.56
South Dakota State,Summit League,-0.75,108.35,109.10,68.04
South Florida,American,20.32,119.79,99.47,74.57
Southeast Missouri State,OVC,-5.92,99.48,105.40,70.87
