Team,Net,Offensive,Defensive,Possessions
Massachusetts,-0.7599999999999909,108.09,108.85,72.94
Massachusetts-Lowell,-11.460000000000008,103.22,114.68,69.42
McNeese,17.590000000000003,116.55,98.96,67.83
Memphis,3.1899999999999977,107.14,103.95,72.06
Mercer,4.070000000000007,113.42,109.35,70.94
Mercyhurst,-6.150000000000006,100.53,106.68,65.67
Merrimack,-3.9499999999999886,102.79,106.74,64.53
Miami (FL),22.72,122.08,99.36,69.26
Miami (OH),15.230000000000004,120.83,105.6,72.62
Michigan,40.52000000000001,130.55,90.03,71.94
Michigan State,29.139999999999986,124.32,95.18,67.46
Middle Tennessee,5.239999999999995,110.3,105.06,68.81
Milwaukee,-6.829999999999998,108.74,115.57,69.25
Minnesota,11.900000000000006,114.39,102.49,63.32
Mississippi,11.429999999999993,115.07,103.64,69.59
Mississippi State,5.989999999999995,113.1,107.11,72.45
Mississippi Valley State,-35.81999999999999,87.14,122.96,70.7
Missouri,14.079999999999998,119.51,105.43,69.19
Missouri State,0.6099999999999994,109.74,109.13,67.84
Monmouth,0.2599999999999909,105.21,104.95,67.89
Montana,2.3700000000000045,107.86,105.49,71.32
Montana State,8.709999999999994,113.96,105.25,67.87
Morehead State,-7.200000000000003,106.74,113.94,67.72
Morgan State,-16.75,98.95,115.7,71.85
Mount St. Mary's,-10.670000000000002,96.42,107.09,68.02
Murray State,5.0,115.49,110.49,72.08
Navy,5.72999999999999,107.85,102.12,65.88
NC State,21.730000000000004,124.61,102.88,70.26
Nebraska,28.260000000000005,120.98,92.72,66.97
Nevada,12.959999999999994,115.63,102.67,67.68
Nevada-Las Vegas,7.439999999999998,113.88,106.44,71.38
New Hampshire,-15.959999999999994,95.78,111.74,69.55
New Haven,-10.11,97.12,107.23,64.22
New Mexico,19.939999999999998,117.66,97.72,70.77
New Mexico State,2.789999999999992,108.1,105.31,68.97
New Orleans,-5.930000000000007,105.47,111.4,70.28
Niagara,-20.489999999999995,96.59,117.08,63.5
Nicholls State,-6.5,103.91,110.41,68.82
NJIT,-17.200000000000003,94.23,111.43,68.12
Norfolk State,-7.640000000000001,103.16,110.8,70.11
North Alabama,-19.58,100.99,120.57,66.72
North Carolina,23.710000000000008,121.84,98.13,68.86
North Carolina A&T,-9.370000000000005,104.74,114.11,69.81
North Carolina Central,-13.829999999999998,100.72,114.55,68.23
North Dakota,-5.13000000000001,107.13,112.26,70.08
North Dakota State,8.5,112.16,103.66,69.74
North Florida,-16.379999999999995,107.2,123.58,73.03
North Texas,6.079999999999998,104.71,98.63,68.1
Northeastern,-12.799999999999997,105.15,117.95,70.12
Northern Arizona,-9.310000000000002,106.33,115.64,66.53
Northern Colorado,5.800000000000011,114.65,108.85,70.92
Northern Illinois,-15.829999999999998,97.86,113.69,70.14
Northern Iowa,14.100000000000009,109.48,95.38,64.0
Northern Kentucky,2.4799999999999898,112.16,109.68,72.34
Northwestern,14.920000000000002,118.23,103.31,65.31
Northwestern State,-9.549999999999997,101.93,111.48,66.07
Notre Dame,8.739999999999995,114.88,106.14,67.84
Oakland,0.12999999999999545,115.14,115.01,71.59
Ohio,-3.510000000000005,108.47,111.98,71.2
Ohio State,23.72,125.27,101.55,67.1
Oklahoma,17.870000000000005,124.62,106.75,69.6
Oklahoma State,11.11,117.23,106.12,75.11
Old Dominion,-8.129999999999995,104.59,112.72,71.22
Omaha,-4.890000000000001,108.06,112.95,68.93
Oral Roberts,-9.039999999999992,102.79,111.83,70.41
Oregon,7.319999999999993,111.96,104.64,66.99
Oregon State,-0.5600000000000023,107.72,108.28,67.16
Pacific,9.259999999999991,111.63,102.37,65.93
Penn State,2.740000000000009,114.59,111.85,67.32
Pennsylvania,1.710000000000008,108.34,106.63,69.7
Pepperdine,-7.009999999999991,104.79,111.8,70.0
Pittsburgh,7.519999999999996,113.14,105.62,65.24
Portland,-2.460000000000008,106.44,108.9,71.14
Portland State,5.739999999999995,107.55,101.81,70.18
Prairie View A&M,-7.779999999999987,100.79,108.57,73.79
Presbyterian,-5.1299999999999955,104.5,109.63,67.39
Princeton,-6.719999999999999,104.36,111.08,64.98
Providence,12.710000000000008,120.51,107.8,74.1
Purdue,32.829999999999984,133.26,100.43,65.55
Purdue Fort Wayne,-2.489999999999995,109.26,111.75,70.44
Queens (NC),-3.279999999999987,116.04,119.32,71.21
Quinnipiac,-3.3699999999999903,102.68,106.05,70.76
Radford,-3.4299999999999926,107.37,110.8,73.37
Rhode Island,2.3999999999999915,104.96,102.56,66.77
Rice,-0.8400000000000034,108.31,109.15,68.31
Richmond,3.930000000000007,111.29,107.36,68.99
Rider,-24.459999999999994,93.79,118.25,65.94
Robert Morris,3.279999999999987,112.07,108.79,67.39
Rutgers,2.5999999999999943,109.22,106.62,67.55
Sacramento State,-6.420000000000002,105.84,112.26,73.22
Sacred Heart,-11.52000000000001,104.88,116.4,68.79
Saint Francis (PA),-19.840000000000003,98.24,118.08,70.56
Saint Joseph's,6.1200000000000045,107.48,101.36,68.63
Saint Louis,26.480000000000004,122.61,96.13,72.13
Saint Mary's,26.78,120.78,94.0,65.8
Saint Peter's,-4.150000000000006,102.63,106.78,66.38
Sam Houston,10.02000000000001,115.48,105.46,71.18
Samford,-1.8999999999999915,109.84,111.74,69.59
San Diego,-1.9099999999999966,107.67,109.58,69.95
San Diego State,18.799999999999997,114.95,96.15,70.76
San Francisco,7.030000000000001,112.87,105.84,67.42
San Jose State,-2.719999999999999,112.11,114.83,66.26
Santa Clara,19.0,121.21,102.21,70.46
Seattle,9.14,104.99,95.85,69.65
Seton Hall,15.569999999999993,109.97,94.4,66.61
Siena,-1.6299999999999955,104.72,106.35,64.45
South Alabama,0.9500000000000028,107.52,106.57,67.01
South Carolina,7.460000000000008,113.78,106.32,68.76
South Carolina State,-25.210000000000008,91.69,116.9,69.95
South Carolina Upstate,-6.459999999999994,100.86,107.32,71.52
South Dakota,-7.199999999999989,106.79,113.99,72.56
South Dakota State,0.46999999999999886,108.97,108.5,68.04
South Florida,19.159999999999997,119.17,100.01,74.57
Southeast Missouri State,-3.1400000000000006,100.91,104.05,70.87
Southeastern Louisiana,-11.38000000000001,96.91,108.29,66.07
Southern,-5.200000000000003,104.88,110.08,73.17
Southern California,12.650000000000006,114.4,101.75,72.44
Southern Illinois,5.579999999999998,103.72,98.14,70.57
SIU Edwardsville,-2.0700000000000074,99.91,101.98,67.27
Southern Indiana,-17.75,93.99,111.74,69.68
Southern Methodist,20.989999999999995,124.69,103.7,70.77
Southern Mississippi,-4.050000000000011,103.46,107.51,70.49
Southern Utah,-5.310000000000002,105.17,110.48,72.4
St. Bonaventure,4.240000000000009,113.12,108.88,68.01
St. John's (NY),28.039999999999992,120.82,92.78,70.79
St. Thomas,9.0,113.78,104.78,69.93
Stanford,14.36,116.64,102.28,68.05
Stephen F. Austin,10.129999999999995,111.75,101.62,67.05
Stetson,-13.659999999999997,104.87,118.53,68.51
Stonehill,-12.969999999999999,92.68,105.65,68.24
Stony Brook,-4.070000000000007,103.41,107.48,67.97
Syracuse,10.679999999999993,113.33,102.65,69.16
Tarleton State,-0.9799999999999898,101.93,102.91,72.5
Temple,3.9599999999999937,111.8,107.84,65.85
Tennessee,27.64,123.21,95.57,68.05
Tennessee State,-0.1600000000000108,106.57,106.73,72.44
Tennessee Tech,-10.36,101.06,111.42,69.53
Tennessee-Martin,0.8499999999999943,99.13,98.28,67.09
Texas,22.599999999999994,126.39,103.79,69.14
Texas A&M,18.989999999999995,121.88,102.89,73.82
Texas A&M-Corpus Christi,5.3999999999999915,105.1,99.7,68.33
Texas Christian,18.61999999999999,115.99,97.37,70.03
Texas Southern,-13.219999999999999,99.19,112.41,72.48
Texas State,-2.510000000000005,104.25,106.76,68.44
Texas Tech,26.36,126.07,99.71,68.08
Texas-Rio Grande Valley,7.280000000000001,111.44,104.16,67.3
The Citadel,-17.99000000000001,102.71,120.7,66.43
Toledo,4.440000000000012,115.01,110.57,69.81
Towson,2.9099999999999966,105.75,102.84,64.91
Troy,4.849999999999994,110.6,105.75,70.27
Tulane,-3.469999999999999,105.88,109.35,68.73
Tulsa,18.58,122.36,103.78,70.23
UAB,7.439999999999998,110.44,103.0,71.62
UC Davis,2.0600000000000023,106.47,104.41,72.38
UC Irvine,9.849999999999994,105.8,95.95,72.46
UC Riverside,-7.88000000000001,102.66,110.54,70.82
UC San Diego,5.359999999999999,107.15,101.79,69.92
UC Santa Barbara,5.269999999999996,112.27,107.0,68.38
UCF,15.400000000000006,119.51,104.11,71.09
UCLA,22.22,122.84,100.62,66.39
UNC Asheville,-3.719999999999999,105.25,108.97,68.35
UNC Greensboro,-9.5,109.25,118.75,69.74
UNC Wilmington,7.579999999999998,111.56,103.98,66.84
UT Arlington,3.069999999999993,101.83,98.76,68.09
Utah,4.219999999999999,114.22,110.0,68.52
Utah State,25.39999999999999,124.44,99.04,68.47
Utah Tech,2.3599999999999994,108.6,106.24,70.21
Utah Valley,14.180000000000007,112.39,98.21,70.7
UTEP,-5.3799999999999955,102.14,107.52,67.68
UTSA,-15.039999999999992,99.43,114.47,70.35
Valparaiso,1.559999999999988,106.99,105.43,67.38
Vanderbilt,28.340000000000003,127.93,99.59,70.85
Vermont,-3.6599999999999966,106.43,110.09,65.39
Villanova,19.80000000000001,120.43,100.63,67.25
Virginia,27.459999999999994,124.55,97.09,67.5
Virginia Commonwealth,17.120000000000005,118.54,101.42,69.59
VMI,-18.58999999999999,101.62,120.21,68.62
Virginia Tech,14.97999999999999,117.63,102.65,69.94
Wagner,-9.719999999999999,100.95,110.67,67.48
Wake Forest,13.760000000000005,117.97,104.21,70.11
Washington,15.980000000000004,117.75,101.77,68.9
Washington State,3.990000000000009,112.95,108.96,68.95
Weber State,2.0999999999999943,111.88,109.78,71.49
West Georgia,-10.920000000000002,104.1,115.02,71.29
West Virginia,15.719999999999999,112.48,96.76,65.4
Western Carolina,-3.3900000000000006,110.09,113.48,69.87
Western Illinois,-26.450000000000003,92.16,118.61,67.4
Western Kentucky,3.3599999999999994,110.04,106.68,71.84
Western Michigan,-10.550000000000011,105.07,115.62,70.31
Wichita State,13.969999999999999,114.82,100.85,68.91
William & Mary,4.890000000000001,111.27,106.38,73.6
Winthrop,6.549999999999997,113.11,106.56,72.25
Wisconsin,23.22,125.61,102.39,70.03
Wofford,-6.299999999999997,110.84,117.14,68.44
Wright State,5.680000000000007,114.23,108.55,69.11
Wyoming,9.780000000000001,115.51,105.73,67.91
Xavier,8.340000000000003,114.9,106.56,71.62
Yale,12.850000000000009,120.15,107.3,66.77
Youngstown State,1.6799999999999926,109.72,108.04,69.35
