School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Florida Gulf Coast,34,16,18,0.471,-6.63,-5.26,,8,10,,11,6,,3,11,,2631,2598,,1375,873,1954,0.447,312,889,0.351,540,740,0.73,320,1159,462,216,108,401,559
Florida International,32,15,17,0.469,-2,-0.66,,8,12,,12,6,,3,10,,2580,2492,,1295,849,1955,0.434,310,869,0.357,484,685,0.707,403,1171,526,256,108,484,600
Florida State,33,18,15,0.545,11.1,8.67,,10,8,,11,6,,6,5,,2652,2572,,1320,896,2015,0.445,313,904,0.346,467,659,0.709,406,1261,499,222,130,450,590
Fordham,32,17,15,0.531,0.09,-1.12,,8,10,,11,7,,4,6,,2235,2095,,1285,744,1766,0.421,251,757,0.332,356,521,0.683,278,1023,454,190,96,377,502
Fresno State,32,13,19,0.406,3.38,4.54,,7,13,,10,8,,2,10,,2331,2330,,1280,840,1902,0.442,255,845,0.302,395,545,0.725,346,1125,428,236,103,406,581
Furman ,35,22,13,0.629,-2.91,-5.38,,10,8,,11,5,,7,5,,2671,2479,,1415,891,2086,0.427,282,880,0.32,415,591,0.702,349,1137,427,265,104,337,596
Gardner-Webb,33,4,29,0.121,-22.51,-2.01,,1,15,,3,10,,0,16,,2248,2820,,1320,1002,2031,0.493,300,834,0.36,516,711,0.726,397,1298,556,266,114,371,513
George Mason,33,23,10,0.697,5.97,1.07,,11,7,,17,3,,4,6,,2418,2237,,1320,801,1876,0.427,257,788,0.326,378,533,0.709,325,1023,421,213,113,335,629
George Washington,35,19,16,0.543,8.27,2.57,,8,10,,12,4,,4,8,,2848,2597,,1405,900,2022,0.445,289,862,0.335,508,695,0.731,340,1130,545,282,116,445,589
Georgetown,34,16,18,0.471,9.07,8.36,,6,14,,10,7,,4,8,,2503,2479,,1375,858,1991,0.431,273,821,0.333,490,675,0.726,381,1175,471,211,116,373,595
Georgia ,33,22,11,0.667,18.46,8.89,,10,8,,14,4,,6,4,,2951,2635,,1340,949,2143,0.443,271,806,0.336,466,648,0.719,442,1247,456,231,119,453,623
Georgia Southern,37,21,16,0.568,-6.71,-6.25,,8,10,,9,5,,7,8,,2994,2949,,1495,996,2204,0.452,300,875,0.343,657,889,0.739,455,1435,469,236,102,504,676
Georgia State,32,10,22,0.313,-11.81,-4.81,,7,11,,7,7,,3,12,,2253,2391,,1285,835,1911,0.437,250,742,0.337,471,674,0.699,376,1239,434,192,91,371,589
Georgia Tech,31,11,20,0.355,2.57,6.22,,2,16,,10,9,,1,9,,2287,2400,,1245,822,1931,0.426,284,857,0.331,472,661,0.714,362,1134,463,251,134,347,528
Gonzaga ,35,31,4,0.886,23.94,5.82,,16,2,,15,0,,8,2,,2950,2316,,1405,803,2021,0.397,264,864,0.306,446,624,0.715,338,1125,424,188,92,493,604
Grambling,33,14,19,0.424,-12.5,-10.27,,7,11,,7,5,,4,13,,2321,2314,,1320,796,1826,0.436,208,647,0.321,514,720,0.714,351,1117,414,278,140,489,591
Grand Canyon,32,20,12,0.625,10.96,3.99,,13,7,,13,4,,6,5,,2420,2197,,1285,736,1780,0.413,217,680,0.319,508,694,0.732,281,1004,369,206,88,384,645
Green Bay,33,18,15,0.545,-5.25,-3.28,,12,8,,10,4,,6,9,,2469,2470,,1331,836,1858,0.45,293,811,0.361,505,680,0.743,315,1039,486,202,97,296,587
Hampton,32,13,19,0.406,-8.94,-4.84,,7,11,,10,2,,2,12,,2237,2264,,1290,781,1730,0.451,183,579,0.316,519,764,0.679,318,1107,391,197,136,372,599
Harvard,29,17,12,0.586,-1.89,-4.35,,10,4,,8,4,,9,6,,2032,1934,,1175,707,1623,0.436,201,635,0.317,319,437,0.73,268,924,364,189,71,322,414
Hawaii ,33,24,9,0.727,4.45,-3.1,,14,6,,16,3,,6,5,,2626,2328,,1330,827,1990,0.416,194,647,0.3,480,689,0.697,318,1092,325,254,97,401,677
High Point ,36,31,5,0.861,7.27,-6.34,,15,1,,17,1,,7,2,,3230,2565,,1450,892,2070,0.431,270,833,0.324,511,722,0.708,381,1238,464,173,128,575,706
Hofstra ,35,24,11,0.686,4.16,-1.96,,12,6,,10,2,,9,8,,2641,2336,,1410,793,2034,0.39,261,825,0.316,489,687,0.712,398,1195,434,177,121,353,583
Holy Cross,33,11,22,0.333,-13.97,-7.1,,5,13,,6,8,,4,14,,2251,2418,,1320,900,1896,0.475,242,732,0.331,376,509,0.739,286,1129,450,209,100,323,512
Houston ,37,30,7,0.811,26.24,11.7,,14,4,,15,1,,6,3,,2844,2306,,1485,766,1934,0.396,254,803,0.316,520,748,0.695,390,1243,410,167,87,495,585
Houston Christian,32,12,20,0.375,-10,-3.86,,8,14,,9,5,,3,13,,2147,2309,,1285,847,1792,0.473,234,671,0.349,381,536,0.711,328,1073,448,225,103,379,510
Howard ,35,24,11,0.686,-4.26,-10.42,,11,3,,11,4,,7,6,,2722,2420,,1404,828,1933,0.428,208,674,0.309,556,786,0.707,364,1112,385,207,140,517,691
Idaho ,36,21,15,0.583,-0.58,-2.21,,9,9,,9,4,,7,9,,2800,2618,,1445,894,2065,0.433,262,755,0.347,568,770,0.738,296,1205,412,229,97,386,668
Idaho State,33,13,20,0.394,-5.91,-1.98,,5,13,,8,6,,3,12,,2459,2513,,1326,880,1856,0.474,245,694,0.353,508,668,0.76,272,970,427,218,97,330,633
Illinois ,37,28,9,0.757,26.69,12.23,,15,5,,14,3,,8,2,,3079,2544,,1500,945,2330,0.406,316,1011,0.313,338,458,0.738,373,1140,491,201,94,286,697
Illinois State,36,23,13,0.639,6.51,1.46,,12,8,,14,2,,7,7,,2688,2466,,1445,892,2049,0.435,236,726,0.325,446,650,0.686,321,1171,462,221,102,388,616
Illinois-Chicago,35,19,16,0.543,3.14,0.44,,12,8,,9,5,,7,9,,2640,2470,,1420,843,1971,0.428,304,907,0.335,480,645,0.744,370,1134,557,229,138,480,635
Incarnate Word,31,12,19,0.387,-7.31,-2.74,,7,15,,9,6,,2,12,,2302,2285,,1240,797,1698,0.469,206,601,0.343,485,677,0.716,303,1009,407,185,101,330,513
Indiana,32,18,14,0.563,16.4,10.4,,9,11,,14,4,,3,8,,2501,2309,,1295,786,1833,0.429,223,674,0.331,514,678,0.758,320,1036,385,177,90,325,551
Indiana State,32,11,21,0.344,-3.11,0.29,,4,16,,8,7,,3,12,,2354,2383,,1305,889,1990,0.447,218,690,0.316,387,561,0.69,358,1149,387,258,130,343,489
Iona,32,18,14,0.563,-7.35,-8.07,,10,10,,11,3,,6,8,,2363,2340,,1305,840,1968,0.427,245,801,0.306,415,566,0.733,373,1197,475,238,114,371,512
Iowa ,37,24,13,0.649,19.2,10.93,,10,10,,14,3,,3,8,,2758,2452,,1485,843,1836,0.459,245,735,0.333,521,707,0.737,312,1068,439,188,99,473,643
Iowa State ,37,29,8,0.784,26.62,10.27,,12,6,,16,1,,5,5,,3033,2428,,1480,873,2031,0.43,277,865,0.32,405,570,0.711,348,1156,480,244,139,572,632
IU Indy,32,7,25,0.219,-12.64,-4.34,,3,17,,5,9,,2,15,,2673,2825,,1285,960,1887,0.509,257,666,0.386,648,876,0.74,359,1223,506,244,98,497,468
Jackson State,33,12,21,0.364,-19.78,-6.27,,10,8,,7,3,,4,15,,2318,2764,,1330,928,2014,0.461,278,800,0.348,630,843,0.747,443,1330,565,262,136,389,599
Jacksonville,32,12,20,0.375,-11.03,-5.36,,7,11,,8,4,,3,14,,2339,2349,,1290,812,1732,0.469,210,612,0.343,515,733,0.703,284,986,406,213,82,331,522
Jacksonville State,32,15,17,0.469,-3.61,-2.95,,10,10,,10,7,,5,8,,2325,2188,,1290,726,1776,0.409,239,759,0.315,497,674,0.737,309,1070,365,203,101,361,599
James Madison,33,18,15,0.545,-5.22,-5.5,,9,9,,11,4,,5,10,,2460,2437,,1330,822,1929,0.426,239,735,0.325,554,765,0.724,356,1140,371,210,117,287,550
