School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Tarleton State,32,14,18,0.438,-4.99,-1.7,,5,13,,10,6,,4,11,,2385,2349,,1295,767,1709,0.449,235,689,0.341,580,798,0.727,347,1102,419,231,132,561,634
Temple,32,16,16,0.5,0.96,-0.85,,8,10,,10,6,,5,6,,2366,2264,,1285,798,1795,0.445,212,654,0.324,456,643,0.709,320,1074,394,171,130,328,586
Tennessee ,37,25,12,0.676,21.97,12.7,,11,7,,14,3,,5,5,,2917,2574,,1495,871,2127,0.409,291,953,0.305,541,773,0.7,379,1107,407,262,145,407,690
Tennessee State ,33,23,10,0.697,-4.94,-7.81,,15,5,,10,2,,10,7,,2651,2455,,1325,847,1895,0.447,232,698,0.332,529,737,0.718,335,1120,428,249,108,480,555
Tennessee Tech,31,13,18,0.419,-13.61,-8.25,,8,12,,8,6,,5,12,,2272,2308,,1240,827,1882,0.439,238,689,0.345,416,564,0.738,335,1050,429,239,113,342,521
Tennessee-Martin,33,22,11,0.667,-6.28,-9.41,,13,7,,12,3,,8,6,,2303,2085,,1325,717,1840,0.39,216,740,0.292,435,628,0.693,372,1102,388,298,105,455,574
Texas ,36,21,15,0.583,16.82,11.22,,9,9,,12,5,,4,6,,2979,2742,,1450,941,2101,0.448,241,694,0.347,619,835,0.741,331,1099,430,237,130,327,746
Texas A&M ,34,22,12,0.647,16.17,9.02,,11,7,,14,4,,6,5,,2927,2684,,1390,926,2102,0.441,279,878,0.318,553,743,0.744,423,1292,516,221,137,459,627
Texas A&M-Corpus Christi,33,18,15,0.545,-2.78,-1.92,,13,9,,10,5,,7,9,,2393,2234,,1325,744,1739,0.428,187,619,0.302,559,792,0.706,303,1055,360,240,129,450,602
Texas Christian ,35,23,12,0.657,15.25,9.97,,11,7,,14,5,,5,5,,2708,2523,,1415,907,2026,0.448,260,776,0.335,449,617,0.728,338,1179,557,214,132,481,653
Texas Southern,30,12,18,0.4,-14.44,-8.37,,10,8,,9,5,,3,12,,2251,2339,,1221,774,1756,0.441,250,748,0.334,541,766,0.706,325,1071,417,238,95,373,550
Texas State,32,19,13,0.594,-7.49,-6.92,,11,7,,16,1,,3,9,,2365,2271,,1295,780,1757,0.444,230,664,0.346,481,684,0.703,299,988,342,252,136,418,522
Texas Tech ,34,23,11,0.676,21.03,13.86,,12,6,,14,2,,5,5,,2729,2485,,1365,900,2050,0.439,236,735,0.321,449,643,0.698,379,1162,388,206,83,343,551
Texas-Rio Grande Valley,33,19,14,0.576,0.72,-2.41,,14,8,,10,5,,8,8,,2505,2293,,1335,786,1899,0.414,222,733,0.303,499,720,0.693,379,1127,454,212,103,366,521
The Citadel,33,11,22,0.333,-16.68,-6.08,,7,11,,7,8,,3,12,,2322,2558,,1345,921,1891,0.487,300,824,0.364,416,610,0.682,329,1184,475,200,102,332,496
Toledo,34,19,15,0.559,0.52,-1.83,,11,7,,11,4,,5,9,,2755,2603,,1360,979,2087,0.469,282,831,0.339,363,534,0.68,391,1188,500,210,116,426,558
Towson,34,19,15,0.559,-1.09,-1.72,,9,9,,11,3,,3,10,,2354,2248,,1365,808,1947,0.415,250,812,0.308,382,549,0.696,342,1140,376,168,96,339,501
Troy ,34,22,12,0.647,-1.2,-3.98,,12,6,,10,3,,9,7,,2696,2488,,1410,893,2061,0.433,253,803,0.315,449,639,0.703,391,1184,449,239,122,426,568
Tulane,33,18,15,0.545,-2.6,1.03,,8,10,,10,8,,6,4,,2389,2493,,1330,853,1946,0.438,266,776,0.343,521,733,0.711,418,1293,473,203,107,392,605
Tulsa,38,30,8,0.789,11.45,2.01,,13,5,,16,2,,8,4,,3233,2799,,1545,987,2326,0.424,302,947,0.319,521,718,0.726,404,1256,482,247,112,407,712
UAB,32,20,12,0.625,3.5,-0.31,,11,7,,8,9,,10,2,,2535,2361,,1295,854,1978,0.432,254,787,0.323,399,553,0.722,324,1162,430,183,140,379,554
UC Davis,33,19,14,0.576,-1.42,-1.46,,11,9,,12,4,,6,9,,2562,2478,,1330,842,1880,0.448,243,723,0.336,551,751,0.734,338,1177,439,215,107,492,669
UC Irvine,35,23,12,0.657,3.29,-1.53,,15,5,,12,5,,7,5,,2704,2402,,1415,856,2205,0.388,282,844,0.334,408,582,0.701,438,1282,464,232,135,479,635
UC Riverside,32,10,22,0.313,-8.1,-0.63,,5,15,,7,7,,3,15,,2334,2492,,1280,887,1883,0.471,198,587,0.337,520,738,0.705,329,1139,439,223,96,357,548
UC San Diego,34,23,11,0.676,2,-2,,12,8,,10,5,,8,5,,2573,2390,,1360,845,2026,0.417,283,884,0.32,417,580,0.719,337,1210,475,207,115,407,558
UC Santa Barbara,32,18,14,0.563,0.83,-2.13,,11,9,,11,4,,5,8,,2483,2328,,1300,805,1742,0.462,208,618,0.337,510,707,0.721,258,967,394,227,97,379,582
UCF ,33,21,12,0.636,12.95,10.65,,9,9,,13,5,,5,5,,2662,2586,,1330,902,1986,0.454,265,782,0.339,515,694,0.742,332,1113,460,203,128,368,567
UCLA ,36,24,12,0.667,17.64,11.61,,13,7,,17,1,,4,6,,2775,2558,,1455,874,2022,0.432,290,905,0.32,520,696,0.747,400,1204,553,174,110,442,640
UNC Ashville,32,15,17,0.469,-6.27,-3.99,,8,8,,9,7,,4,9,,2349,2334,,1295,818,1842,0.444,225,688,0.327,473,696,0.68,337,1075,391,204,87,349,603
UNC Greensboro,34,15,19,0.441,-11.45,-6.17,,9,9,,8,6,,4,9,,2673,2736,,1375,969,2094,0.463,361,971,0.372,437,617,0.708,334,1186,485,202,104,322,634
UNC Wilmington,34,27,7,0.794,1.99,-4.51,,15,3,,15,4,,12,2,,2594,2313,,1360,804,1970,0.408,249,836,0.298,456,618,0.738,336,1140,382,175,97,347,633
UT Arlington,32,18,14,0.563,-1.92,-1.88,,9,9,,9,4,,8,8,,2240,2134,,1295,742,1762,0.421,149,558,0.267,501,716,0.7,324,1017,364,240,109,403,589
Utah,32,10,22,0.313,5.81,10.56,,2,16,,8,9,,1,10,,2379,2531,,1285,940,1958,0.48,232,661,0.351,419,586,0.715,348,1121,453,191,140,291,499
Utah State ,36,29,7,0.806,17.57,7.4,,15,5,,14,1,,7,5,,2958,2546,,1445,850,2007,0.424,280,814,0.344,566,782,0.724,406,1198,424,200,118,503,647
Utah Tech,34,19,15,0.559,-3.77,-1.51,,11,7,,11,3,,6,10,,2612,2548,,1395,922,2081,0.443,212,702,0.302,492,683,0.72,411,1220,440,236,86,422,579
Utah Valley,34,25,9,0.735,5.24,-1.63,,14,4,,15,1,,6,7,,2724,2338,,1375,794,1905,0.417,226,661,0.342,524,722,0.726,366,1070,424,277,98,518,620
UTEP,31,11,20,0.355,-6.8,-0.55,,7,13,,9,7,,2,11,,2149,2244,,1255,755,1692,0.446,217,634,0.342,517,730,0.708,339,1125,405,204,88,393,502
UTSA,30,5,25,0.167,-14.26,1.38,,1,17,,2,12,,2,12,,2084,2422,,1200,846,1895,0.446,279,825,0.338,451,634,0.711,420,1245,471,241,135,325,460
Valparaiso,33,18,15,0.545,-0.44,0.25,,11,9,,13,4,,4,10,,2376,2358,,1345,836,1882,0.444,221,690,0.32,465,652,0.713,340,1156,409,165,100,382,629
Vanderbilt ,36,27,9,0.75,22.23,11.48,,11,7,,13,3,,8,4,,3086,2699,,1450,904,2113,0.428,261,800,0.326,630,835,0.754,407,1254,424,190,90,452,686
Vermont,34,22,12,0.647,-7.02,-10.39,,12,4,,13,3,,8,7,,2496,2330,,1375,785,1837,0.427,268,761,0.352,492,666,0.739,255,1061,385,186,85,328,563
Villanova ,33,24,9,0.727,15.9,10.02,,15,5,,13,3,,9,3,,2545,2351,,1335,855,1888,0.453,232,694,0.334,409,567,0.721,350,1147,463,168,78,412,544
Virginia ,36,30,6,0.833,20.61,9,,15,3,,16,1,,8,2,,2896,2478,,1465,846,2127,0.398,254,805,0.316,532,700,0.76,398,1177,431,233,116,376,627
Virginia Commonwealth ,36,28,8,0.778,13.17,4.11,,15,3,,15,2,,7,3,,2910,2584,,1445,921,2132,0.432,247,748,0.33,495,700,0.707,393,1255,468,226,107,424,713
VMI,32,6,26,0.188,-20.9,-6.21,,1,17,,5,9,,1,14,,2303,2560,,1280,899,1937,0.464,306,871,0.351,456,629,0.725,393,1294,564,177,88,353,506
Virginia Tech,32,19,13,0.594,12.75,8.84,,8,10,,14,3,,3,7,,2521,2396,,1315,872,1947,0.448,236,771,0.306,416,560,0.743,367,1121,410,175,109,385,576
Wagner,31,14,17,0.452,-11.99,-8.88,,8,10,,8,5,,6,12,,2210,2222,,1265,764,1770,0.432,216,648,0.333,478,667,0.717,312,1032,413,226,116,322,504
Wake Forest,35,18,17,0.514,11.73,9.84,,7,11,,13,7,,2,7,,2759,2693,,1415,914,2071,0.441,318,966,0.329,547,739,0.74,399,1222,520,218,97,434,633
Washington,33,16,17,0.485,13.88,10.4,,7,13,,10,6,,4,9,,2545,2430,,1335,866,1980,0.437,254,756,0.336,444,614,0.723,333,1075,425,187,116,325,539
Washington State,32,12,20,0.375,3.09,4.7,,7,11,,9,6,,1,11,,2435,2480,,1280,881,1903,0.463,245,697,0.352,473,633,0.747,304,1032,432,228,94,323,535
Weber State,32,16,16,0.5,-3.2,-2.96,,10,8,,11,5,,5,10,,2598,2474,,1295,878,1880,0.467,239,749,0.319,479,661,0.725,286,1050,441,199,135,379,587
West Georgia,32,15,17,0.469,-11.31,-6.14,,8,10,,10,5,,4,11,,2450,2547,,1295,903,1948,0.464,240,725,0.331,501,685,0.731,330,1152,458,211,75,339,541
West Virginia,35,21,14,0.6,13.19,8.31,,9,9,,15,3,,3,6,,2472,2301,,1425,816,1944,0.42,255,744,0.343,414,569,0.728,341,1168,443,220,126,406,564
Western Carolina,31,15,16,0.484,-6.61,-3.92,,10,8,,10,3,,4,12,,2432,2397,,1250,813,1765,0.461,275,760,0.362,496,677,0.733,264,1003,389,189,84,331,478
Western Illinois,31,5,26,0.161,-23.76,-8.48,,1,19,,4,11,,1,15,,2011,2381,,1245,864,1822,0.474,231,654,0.353,422,601,0.702,337,1127,434,209,126,322,528
Western Kentucky,32,18,14,0.563,0.35,-0.58,,11,9,,12,4,,5,7,,2537,2436,,1290,796,1838,0.433,264,780,0.338,580,836,0.694,344,1199,459,194,143,399,604
Western Michigan,31,10,21,0.323,-8.59,-2.42,,4,14,,7,8,,3,13,,2318,2464,,1245,849,1843,0.461,287,806,0.356,479,686,0.698,318,1072,464,207,140,306,536
Wichita State,36,24,12,0.667,9.47,2.67,,13,5,,15,3,,8,5,,2811,2547,,1470,900,2150,0.419,237,747,0.317,510,724,0.704,393,1236,399,221,122,391,642
William & Mary,32,20,12,0.625,-0.33,-2.97,,10,8,,11,2,,6,9,,2660,2487,,1280,857,1969,0.435,293,893,0.328,480,679,0.707,372,1145,461,234,103,453,669
Winthrop,34,23,11,0.676,-0.82,-4.59,,13,3,,13,1,,7,9,,2844,2566,,1365,870,2021,0.43,280,871,0.321,546,750,0.728,334,1195,394,198,126,420,762
Wisconsin ,35,24,11,0.686,18.88,12.02,,14,6,,15,2,,6,4,,2904,2664,,1420,954,2141,0.446,291,870,0.334,465,639,0.728,348,1222,485,161,130,349,606
Wofford,32,19,13,0.594,-7.53,-7.33,,11,7,,10,5,,9,7,,2520,2468,,1285,857,1837,0.467,255,703,0.363,499,655,0.762,304,1091,424,184,100,340,548
Wright State ,35,23,12,0.657,0.25,-3.9,,15,5,,11,5,,9,5,,2818,2579,,1405,925,2017,0.459,237,704,0.337,492,672,0.732,335,1102,415,238,121,421,640
Wyoming,33,18,15,0.545,7.34,4.09,,9,11,,14,4,,3,10,,2537,2409,,1320,810,1765,0.459,212,649,0.327,577,825,0.699,300,1051,364,187,119,375,605
Xavier,33,15,18,0.455,7.75,10.02,,6,14,,12,6,,1,10,,2586,2661,,1330,968,2028,0.477,260,748,0.348,465,661,0.703,337,1248,613,194,126,367,517
Yale,31,24,7,0.774,5.69,-2.62,,11,3,,10,3,,9,3,,2520,2197,,1255,787,1826,0.431,289,829,0.349,334,464,0.72,315,972,420,159,104,343,552
Youngstown State,32,15,17,0.469,-4.62,-4.82,,8,12,,10,5,,4,11,,2495,2338,,1285,834,1851,0.451,216,621,0.348,454,613,0.741,329,1062,393,227,90,403,533
