Player,PPG,Assigned_Team
Masai Troutman,8.4,George Mason
Nick Ellington,4.7,George Mason
Emmanuel Kanga,4.6,George Mason
Brayden O'Connor,4.0,George Mason
Dola Adebayo,3.4,George Mason
Malik Presley,3.2,George Mason
Stas Sivka,2.3,George Mason
Devin Booker,1.8,George Mason
T.J. Prosise,0.3,George Mason
Ben Woodward,0.0,George Mason
Rafael Castro,15.3,George Washington
Garrett Johnson,11.4,George Washington
Trey Autry,11.0,George Washington
Christian Jones,10.0,George Washington
Tre Dinkins,8.8,George Washington
Tyrone Marshall,8.8,George Washington
Luke Hunger,8.4,George Washington
Jean Aranguren,8.2,George Washington
Bubu Benjamin,5.8,George Washington
Ty Bevins,1.9,George Washington
Amir Arrington,1.5,George Washington
Mohamed Binzagr,0.0,George Washington
KJ Lewis,14.9,Georgetown
Malik Mack,13.6,Georgetown
Vincent Iwuchukwu,11.6,Georgetown
Julius Halaifonua,9.5,Georgetown
Caleb Williams,8.8,Georgetown
Jeremiah Williams,5.9,Georgetown
Kayvaun Mulready,5.4,Georgetown
DeShawn Harris-Smith,5.2,Georgetown
Isaiah Abraham,4.8,Georgetown
Jayden Fort,3.3,Georgetown
Langston Love,3.1,Georgetown
Mason Moses,0.7,Georgetown
Seal Diouf,0.6,Georgetown
Austin Montgomery,0.0,Georgetown
Michael Van Raaphorst,0.0,Georgetown
Tyren Moore,16.1,Georgia Southern
Tavarus Webb,15.5,Georgia Southern
Alden Applewhite,14.1,Georgia Southern
Nakavieon White,9.7,Georgia Southern
Khayri Dunn,7.4,Georgia Southern
Andres Burney,4.7,Georgia Southern
Dwayne Williams Jr.,4.5,Georgia Southern
Jefferson Koulibaly,4.4,Georgia Southern
Shainen Carter,4.0,Georgia Southern
Tsvet Sotirov,2.7,Georgia Southern
Sean Van Dorn Jr.,2.5,Georgia Southern
Jayden Williams,1.2,Georgia Southern
Cade Lomas,0.0,Georgia Southern
Jelani Hamilton,17.8,Georgia State
Micah Tucker,13.5,Georgia State
Malachi Brown,12.3,Georgia State
Joah Chappelle,7.3,Georgia State
Jakai Newton,7.2,Georgia State
Trey Scott III,5.3,Georgia State
Anthony Enoh,5.0,Georgia State
Ayouba Berthe,4.4,Georgia State
Christian Beam,3.2,Georgia State
Kwame Tanic,3.0,Georgia State
Christopher Jones,2.6,Georgia State
Isaiah Sherrard,1.8,Georgia State
James Cooper,1.0,Georgia State
Kowacie Reeves Jr.,15.1,Georgia Tech
Baye Ndongo,11.8,Georgia Tech
Akai Fleming,10.4,Georgia Tech
Jaeden Mustaf,10.4,Georgia Tech
Lamar Washington,9.6,Georgia Tech
Mouhamed Sylla,9.6,Georgia Tech
Kam Craft,7.3,Georgia Tech
Chas Kelley III,4.3,Georgia Tech
Peyton Marshall,3.3,Georgia Tech
Eric Chatfield Jr.,2.6,Georgia Tech
Cole Kirouac,1.7,Georgia Tech
Davi Remagen,1.6,Georgia Tech
Brandon Stores Jr.,0.0,Georgia Tech
Jeremiah Wilkinson,17.4,Georgia
Blue Cain,13.1,Georgia
Marcus Millender,12.0,Georgia
Kanon Catchings,11.6,Georgia
Somto Cyril,9.3,Georgia
Jordan Ross,6.7,Georgia
Jake Wilkins,4.9,Georgia
Kareem Stagg,4.8,Georgia
Dylan James,4.5,Georgia
Justin Bailey,4.2,Georgia
Justin Abson,2.9,Georgia
Brandon Klatsky,1.1,Georgia
Jaden Newell,0.2,Georgia
Markel Jennings,0.0,Georgia
Graham Ike,19.9,Gonzaga
Braden Huff,17.8,Gonzaga
Tyon Grant-Foster,11.1,Gonzaga
Davis Fogle,8.6,Gonzaga
Mario Saint-Supery,8.6,Gonzaga
Adam Miller,7.3,Gonzaga
Jalen Warley,7.1,Gonzaga
Emmanuel Innocenti,6.0,Gonzaga
Braeden Smith,5.1,Gonzaga
Steele Venters,5.0,Gonzaga
Noah Haaland,2.0,Gonzaga
Ismaila Diagne,1.1,Gonzaga
Joaquim ArauzMoore,0.8,Gonzaga
Cade Orness,0.4,Gonzaga
Antonio Munoz,12.5,Grambling
Jamil Muttilib,12.1,Grambling
Roderick Coffee III,10.9,Grambling
Derrius Ward,10.7,Grambling
Jimel Lane,8.3,Grambling
Rickey Ballard,7.1,Grambling
Nazar Mahmoud,5.0,Grambling
Randarius Jones,5.0,Grambling
Devyn Franklin,4.8,Grambling
Mekhi Fitts,3.2,Grambling
Saliou Seye,1.8,Grambling
Richard Amaefule,1.5,Grambling
Chancellor Perkins,1.1,Grambling
P.J. Edwards,0.9,Grambling
Jaden Henley,17.7,Grand Canyon
Makaih Williams,14.0,Grand Canyon
Brian Moore Jr.,9.5,Grand Canyon
Nana Owusu-Anane,9.3,Grand Canyon
Efe Demirel,8.5,Grand Canyon
Caleb Shaw,7.8,Grand Canyon
Dusty Stromer,6.4,Grand Canyon
Wilhelm Breidenbach,2.7,Grand Canyon
Dennis Evans,2.6,Grand Canyon
Kaleb Smith,1.4,Grand Canyon
Evan Boisdur,1.1,Grand Canyon
Cole Pepe,0.4,Grand Canyon
C.J. O'Hara,14.1,Green Bay
Marcus Hall,13.9,Green Bay
Justin Allen,13.6,Green Bay
Preston Ruedinger,11.6,Green Bay
Caden Wilkins,6.9,Green Bay
LeBron Thomas,4.0,Green Bay
Dontrell Hewlett,3.8,Green Bay
Ramel Bethea,3.6,Green Bay
Rob Stroud,3.4,Green Bay
Mac Wrecke,3.3,Green Bay
Vukasin Todorovic,2.9,Green Bay
Maruan Cicic,2.8,Green Bay
Josh Hines,2.7,Green Bay
Keegan Van Kauwenberg,2.1,Green Bay
Brady Fitzgerald,0.2,Green Bay
Michael Eley,13.0,Hampton
Jalyke Gaines-Wyatt,11.2,Hampton
Daniel Johnson,10.0,Hampton
Xzavier Long,9.8,Hampton
Josh Ogundele,6.7,Hampton
Etienne Strothers,6.2,Hampton
Christian Watson,6.0,Hampton
Elijah Kennedy,4.7,Hampton
Quintin Cooper,3.6,Hampton
Aidan Haskins,3.0,Hampton
Kody Williams,2.7,Hampton
Eunique Rink,1.9,Hampton
Kellan Lewis,1.6,Hampton
Hamza Asadallah,0.7,Hampton
Peter Oduro,0.6,Hampton
Robert Hinton,16.8,Harvard
Tey Barbour,13.6,Harvard
Chandler Piggé,12.9,Harvard
Thomas Batties II,12.3,Harvard
Austin Hunt,6.9,Harvard
Ben Eisendrath,5.3,Harvard
Kenan Parrish,2.2,Harvard
Frankie Mannino,1.8,Harvard
Ryan Sullivan,1.3,Harvard
Luca Ace-Nasteski,1.2,Harvard
Dutch Dowdell,0.9,Harvard
Greg Cooper,0.8,Harvard
Xavier Nesbitt,0.6,Harvard
Avner Dror,0.0,Harvard
Joseph Quartey,0.0,Harvard
Payton Pitts,0.0,Harvard
Isaac Johnson,14.1,Hawaii
Quandre Bullock,13.8,Hawaii
Harry Rouhliadeff,10.7,Hawaii
Gytis Nemeikša,9.2,Hawaii
Isaac Finlinson,9.2,Hawaii
Hunter Erickson,8.4,Hawaii
Isaiah Kerr,6.4,Hawaii
Aaron Hunkin-Claytor,6.0,Hawaii
Yacine Toumi,4.3,Hawaii
Jalen Myers,2.9,Hawaii
AJ Economou,1.4,Hawaii
Hunter Carter,1.0,Hawaii
Rob Martin,16.0,High Point
Terry Anderson,16.0,High Point
Cam'Ron Fletcher,13.2,High Point
Owen Aquino,9.3,High Point
Conrad Martinez,8.8,High Point
Scotty Washington,8.2,High Point
Braden Hausen,6.7,High Point
Chase Johnston,6.4,High Point
Vincent Brady II,5.2,High Point
Caden Miller,2.8,High Point
Josh Ibukunoluwa,2.8,High Point
Babacar Diallo,2.3,High Point
Youssouf Singare,1.3,High Point
David Fonville,0.5,High Point
Birgir Irving,0.3,High Point
Cruz Davis,20.1,Hofstra
Preston Edmead,16.1,Hofstra
James Patterson,9.5,Hofstra
German Plotnikov,9.4,Hofstra
Joshua DeCady,6.2,Hofstra
Silas Sunday,5.1,Hofstra
Victory Onuetu,4.7,Hofstra
Jaeden Roberts,4.1,Hofstra
A.J. Wills,3.2,Hofstra
Josh Reaves,2.3,Hofstra
Amir Williams,1.3,Hofstra
Alex Tsynkevich,0.8,Hofstra
Tyler Boston,14.2,Holy Cross
Gabe Warren,12.5,Holy Cross
Joe Nugent,11.8,Holy Cross
Aiden Disu,10.8,Holy Cross
DeAndre Williams,7.9,Holy Cross
Aidan Richard,5.2,Holy Cross
Declan Ryan,4.9,Holy Cross
John St. Germain III,4.5,Holy Cross
Will Aljancic,3.1,Holy Cross
Chuck Hare,2.2,Holy Cross
Jude Haigh,1.8,Holy Cross
Tim Finau,0.6,Holy Cross
Jaden Kirkwood,0.5,Holy Cross
Austin Mejia,0.0,Holy Cross
Ben Capron,0.0,Holy Cross
Ethan Clark,0.0,Holy Cross
Elijah Brooks,12.3,Houston Baptist
Kylin Green,10.3,Houston Baptist
Demarco Bethea,10.0,Houston Baptist
Demari Williams,9.7,Houston Baptist
Ryan Bartley,9.1,Houston Baptist
D'Aundre Samuels,8.6,Houston Baptist
Trent Johnson,8.2,Houston Baptist
Mambourou Mara,5.4,Houston Baptist
Nehikhare Igiehon,3.6,Houston Baptist
Obadiah Curtis,2.8,Houston Baptist
Will Wilson,2.0,Houston Baptist
Ahjany Lee,1.2,Houston Baptist
Caleb Gaston,0.7,Houston Baptist
Bryson Monroe,0.1,Houston Baptist
Kingston Flemings,16.1,Houston
Emanuel Sharp,15.5,Houston
Milos Uzan,11.1,Houston
Chris Cenac Jr.,9.5,Houston
Joseph Tugler,8.4,Houston
Mercy Miller,5.0,Houston
Chase McCarty,4.1,Houston
Isiah Harwell,3.6,Houston
Kalifa Sakho,2.4,Houston
Ramon Walker Jr.,2.3,Houston
Kordelius Jefferson,1.3,Houston
Cedric Lath,0.5,Houston
Jacob McFarland,0.0,Houston
Bryce Harris,17.3,Howard
Cedric Taylor III,17.2,Howard
Cam Gillus,10.8,Howard
Ose Okojie,10.7,Howard
Travelle Bryson,8.8,Howard
Alex Cotton,8.5,Howard
Danas Kazakevicius,3.7,Howard
Isaiah Brown,2.6,Howard
Eddie Holland III,1.8,Howard
BJ Powell,1.6,Howard
Calvin Robins,1.5,Howard
Jeremiah Johnson,1.3,Howard
Julian Johnson,1.2,Howard
Shane Frazier,0.8,Howard
Stefan Isailovic,0.8,Howard
River Smith,0.3,Howard
Connor Hollenbeck,13.2,Idaho State
Caleb Van De Griend,11.8,Idaho State
Martin Kheil,9.1,Idaho State
Gus Etchison,8.8,Idaho State
Jamison Guerra,8.8,Idaho State
Lachlan Brewer,8.2,Idaho State
Louis Bond,4.9,Idaho State
Evan Otten,4.7,Idaho State
Blake Daberkow,3.3,Idaho State
Cheikh Sow,2.8,Idaho State
Quin Patterson,1.5,Idaho State
Jaedyn Brown,0.7,Idaho State
Landen Birley,0.4,Idaho State
Kasen Carpenter,0.1,Idaho State
Kristian Gonzalez,18.0,Idaho
Kolton Mitchell,13.7,Idaho
Jackson Rasmussen,13.6,Idaho
Biko Johnson,12.3,Idaho
Isaiah Brickner,11.9,Idaho
Brody Rowbury,7.7,Idaho
Jack Payne,6.6,Idaho
Seth Joba,5.2,Idaho
Trevon Blassingame,3.9,Idaho
Miles Klapper,3.7,Idaho
Aidan Sevilla,1.7,Idaho
Ewan Steele,1.5,Idaho
Elijah Crawford,14.1,Illinois Chicago
Ahmad Henderson II,12.0,Illinois Chicago
Andy Johnson,11.2,Illinois Chicago
Rashund Washington Jr.,8.7,Illinois Chicago
Mekhi Lowery,8.1,Illinois Chicago
Abdul Momoh,7.9,Illinois Chicago
Josiah Hammons,6.4,Illinois Chicago
Jayce Nathaniel,6.2,Illinois Chicago
Ante Beljan,3.5,Illinois Chicago
Sam Silverstein,2.8,Illinois Chicago
Carlos Harris III,1.3,Illinois Chicago
Tai Walters-Whitaker,0.7,Illinois Chicago
Chase Walker,13.7,Illinois State
Johnny Kinziger,11.5,Illinois State
Ty'Reek Coleman,10.0,Illinois State
Boden Skunberg,9.6,Illinois State
Ty Pence,9.4,Illinois State
Landon Wolf,7.6,Illinois State
Mason Klabo,5.5,Illinois State
Landon Moore,3.5,Illinois State
Brandon Lieb,3.1,Illinois State
Jack Daugherty,3.0,Illinois State
Cameron Barnes,1.3,Illinois State
Ty Blake,0.9,Illinois State
Keaton Wagler,17.9,Illinois
Andrej Stojakovic,13.5,Illinois
David Mirkovic,13.3,Illinois
Kylan Boswell,12.3,Illinois
Tomislav Ivisic,10.4,Illinois
Zvonimir Ivisic,6.4,Illinois
Ben Humrichous,5.8,Illinois
Jake Davis,5.4,Illinois
Brandon Lee,1.7,Illinois
Mihailo Petrovic,1.6,Illinois
AJ Redd,1.4,Illinois
Jason Jakstys,1.3,Illinois
Blake Fagbemi,0.2,Illinois
Davion Bailey,18.6,Incarnate Word
Tahj Staveskie,17.3,Incarnate Word
Jordan Pyke,12.6,Incarnate Word
Harold Woods,8.8,Incarnate Word
Harrison Reede,4.9,Incarnate Word
Love Bettis,4.3,Incarnate Word
Marcus Glover,3.5,Incarnate Word
Lewis Rowe,2.3,Incarnate Word
Drew Barbee,2.2,Incarnate Word
Jayden Williams,2.2,Incarnate Word
Esteban Mann,2.0,Incarnate Word
Mihael Tomic,1.8,Incarnate Word
Amani Drummond,1.6,Incarnate Word
Tyler Simon,0.0,Incarnate Word
Ian Scott,13.5,Indiana State
Camp Wagner,11.9,Indiana State
Sterling Young,10.0,Indiana State
Derek Vorst,7.9,Indiana State
Xavier Hall,7.6,Indiana State
Markus Harding,7.3,Indiana State
Bruno Alocen,6.3,Indiana State
Jo Van Buggenhout,6.3,Indiana State
Enel St. Bernard,5.9,Indiana State
Jayan Walker,2.5,Indiana State
Zyair Greene,2.0,Indiana State
Hunter Harding,1.8,Indiana State
Sivert Nordheim,1.5,Indiana State
Cooper Bean,1.3,Indiana State
Caden Huttenlocker,0.7,Indiana State
Lamar Wilkerson,20.9,Indiana
Tucker DeVries,13.7,Indiana
Tayton Conerway,9.5,Indiana
Sam Alexis,8.8,Indiana
Reed Bailey,8.3,Indiana
Nick Dorn,8.1,Indiana
Conor Enright,4.6,Indiana
Trent Sisley,4.2,Indiana
Jasai Miles,1.6,Indiana
Aleksa Ristic,0.5,Indiana
Drew Snively,0.4,Indiana
Ian Stephens,0.3,Indiana
Tryce Grensing,0.0,Indiana
CJ Anthony,14.3,Iona
Lamin Sabally,11.4,Iona
Toby Harris,11.2,Iona
Kosy Akametu,11.0,Iona
Denver Anglin,9.3,Iona
Keshawn Williams,8.5,Iona
Luke Jungers,6.0,Iona
Khalil Badru,3.6,Iona
Alliou Fall,2.7,Iona
Chase Cormier,2.0,Iona
Matthew Reed,1.6,Iona
Connor Horan,0.0,Iona
Oscar Hourruitiner,0.0,Iona
Milan Momcilovic,16.9,Iowa State
Joshua Jefferson,16.4,Iowa State
Tamin Lipsey,13.5,Iowa State
Killyan Toure,8.6,Iowa State
Blake Buchanan,8.5,Iowa State
Jamarion Batemon,6.6,Iowa State
Nate Heise,5.7,Iowa State
Dominykas Pleta,4.4,Iowa State
Dominick Nelson,3.7,Iowa State
Eric Mulder,1.0,Iowa State
Xzavion Mitchell,1.0,Iowa State
Cade Kelderman,0.9,Iowa State
Anthony Rise,0.2,Iowa State
Bennett Stirtz,19.8,Iowa
Tavion Banks,10.2,Iowa
Alvaro Folgueiras,8.4,Iowa
Cooper Koch,7.8,Iowa
Cam Manyawu,6.6,Iowa
Kael Combs,6.1,Iowa
Tate Sage,6.1,Iowa
Isaia Howard,5.1,Iowa
Brendan Hausen,4.0,Iowa
Trevin Jirak,3.4,Iowa
Joey Matteoni,1.5,Iowa
Jacob Koch,0.4,Iowa
Corey Hadnot II,20.4,Ipfw
DeAndre Craig,14.0,Ipfw
Mikale Stevenson,13.9,Ipfw
Maximus Nelson,7.9,Ipfw
Darius Duffy,5.0,Ipfw
Ebrahim Kaba,4.0,Ipfw
Deangelo Elisee,3.8,Ipfw
Mason Shrout,3.7,Ipfw
EJ Mosley,3.2,Ipfw
Yuval Levin,3.2,Ipfw
Chris Morgan,3.1,Ipfw
Kyler D'Augustino,18.5,Iupui
Maguire Mitchell,11.8,Iupui
Jaxon Edwards,11.6,Iupui
Micah Davis,9.4,Iupui
Finley Woodward,8.8,Iupui
Kameron Tinsley,7.9,Iupui
Matt Compas,7.1,Iupui
JP Dragas,6.1,Iupui
Aiden Miller,5.0,Iupui
Reece Hagy,2.4,Iupui
Corey Boston,1.6,Iupui
Lav Cvetkovic',1.4,Iupui
Gabe Stewart,1.1,Iupui
Garrett Sever,1.0,Iupui
Ajay Holubar,0.7,Iupui
Daeshun Ruffin,23.3,Jackson State
Jayme Mitchell,14.5,Jackson State
Dorian McMillian,11.9,Jackson State
Jalen Tatum,7.7,Jackson State
Tamarion Hoover,5.9,Jackson State
Mike Williams,5.5,Jackson State
Devin Ree,5.4,Jackson State
Dionjahe Thomas,5.1,Jackson State
Raevon Thomas,3.3,Jackson State
Delyle Williams,2.9,Jackson State
Kobe Butler,1.8,Jackson State
Kedrick Simmons,1.6,Jackson State
Deyan Kolev,0.9,Jackson State
Cael Jones,0.7,Jackson State
Ebo Wilson,0.7,Jackson State
Mostapha El Moutaouakkil,19.5,Jacksonville State
AC Bryant,11.8,Jacksonville State
JaCoby Hill,10.0,Jacksonville State
Emondrek Erkins-Ford,8.3,Jacksonville State
Jamar Franklin,6.2,Jacksonville State
Jaye Nash,5.1,Jacksonville State
Marcus Fitzgerald Jr.,5.0,Jacksonville State
Iaroslav Niagu,4.2,Jacksonville State
Bencao Vungo,4.0,Jacksonville State
Thomas Tut,2.2,Jacksonville State
Aitor Anabitarte,2.0,Jacksonville State
Toby Nnadozie,1.9,Jacksonville State
Connor Loy,1.1,Jacksonville State
Aidan Driggers,0.6,Jacksonville State
Hayden Wood,11.8,Jacksonville
Jaylen Jones,9.7,Jacksonville
Chris Lockett,9.3,Jacksonville
Donovan Rivers,8.6,Jacksonville
Jason Thirdkill Jr.,8.0,Jacksonville
Chris Arias,7.3,Jacksonville
Evan Sterck,6.4,Jacksonville
Charles Caporaso,4.1,Jacksonville
Allen Udemadu,3.6,Jacksonville
Jaylen Jordon,3.5,Jacksonville
Enrico Borio,3.0,Jacksonville
Michael Harper,2.7,Jacksonville
Lamont Jackson,2.3,Jacksonville
Anakin Brown,1.7,Jacksonville
Roman Loux,1.5,Jacksonville
Simon Wheeler,1.4,Jacksonville
Tito Deng,0.0,Jacksonville
Cliff Davis,15.6,James Madison
Justin McBride,15.3,James Madison
Bradley Douglas,12.1,James Madison
Gabe Newhof,8.1,James Madison
Eddie Ricks III,7.1,James Madison
Preston Fowler,6.2,James Madison
Kose Egbule,3.7,James Madison
Ike Cornish,3.5,James Madison
Christian Brown,3.0,James Madison
Paul Jones III,2.8,James Madison
Paul Lewis,2.5,James Madison
Eli Wilborn,2.4,James Madison
Justin Taylor,1.0,James Madison
PJ Haggerty,23.4,Kansas State
Abdi Bashir Jr.,13.2,Kansas State
Nate Johnson,12.8,Kansas State
David Castillo,10.3,Kansas State
Khamari McGriff,9.7,Kansas State
Andrej Kostic,5.2,Kansas State
Taj Manning,4.2,Kansas State
Elias Rapieque,3.7,Kansas State
Christian Jones,3.6,Kansas State
Dorin Buca,3.2,Kansas State
Marcus Johnson,2.5,Kansas State
Mobi Ikegwuruka,1.9,Kansas State
Stephen Osei,0.7,Kansas State
Darryn Peterson,20.2,Kansas
Tre White,13.5,Kansas
Flory Bidunga,13.3,Kansas
Melvin Council Jr.,12.7,Kansas
Bryson Tiller,7.9,Kansas
Elmarko Jackson,4.8,Kansas
Kohl Rosario,3.4,Kansas
Jamari McDowell,3.3,Kansas
Jayden Dawson,2.1,Kansas
Nginyu Ngala,1.3,Kansas
Paul Mbiya,1.2,Kansas
Wilder Evers,1.1,Kansas
Samis Calderon,0.4,Kansas
Justin Cross,0.0,Kansas
Will Thengvall,0.0,Kansas
Simeon Cottle,20.2,Kennesaw State
RJ Johnson,14.5,Kennesaw State
Braedan Lue,10.9,Kennesaw State
Frankquon Sherman,10.4,Kennesaw State
Trey Simpson,9.0,Kennesaw State
Jaden Harris,7.6,Kennesaw State
Ramone Seals,7.6,Kennesaw State
Amir Taylor,7.5,Kennesaw State
Kaden Rickard,5.8,Kennesaw State
Darius Washington III,5.3,Kennesaw State
Perry Smith Jr.,3.0,Kennesaw State
Eric Holland,1.2,Kennesaw State
Dozie Onyirimba,1.0,Kennesaw State
Charles Stone,0.8,Kennesaw State
Delrecco Gillespie,17.7,Kent State
Morgan Safford,14.3,Kent State
Rob Whaley Jr.,11.7,Kent State
Cian Medley,10.5,Kent State
Jahari Williamson,10.3,Kent State
Quinn Woidke,9.0,Kent State
Deandre Jones,4.3,Kent State
Rayvon Griffith,4.0,Kent State
Dylan Lakatos,3.0,Kent State
Magnus Entenmann,2.8,Kent State
Landon Vanderwarker,2.5,Kent State
Dezmon Briscoe,2.4,Kent State
Omer Hamama,1.8,Kent State
Brenden Moss,1.6,Kent State
Drew Huffman,1.3,Kent State
Jaymen Townsend,0.0,Kent State
Otega Oweh,18.6,Kentucky
Denzel Aberdeen,13.5,Kentucky
Collin Chandler,9.7,Kentucky
Mouhamed Dioubate,8.8,Kentucky
Jaland Lowe,8.0,Kentucky
Malachi Moreno,7.8,Kentucky
Kam Williams,6.0,Kentucky
Andrija Jelavic,5.5,Kentucky
Jayden Quaintance,5.0,Kentucky
Jasper Johnson,4.9,Kentucky
Brandon Garrison,4.7,Kentucky
Trent Noah,3.0,Kentucky
Zach Tow,0.6,Kentucky
Walker Horn,0.4,Kentucky
Rob Dockery,12.5,La Salle
Jaeden Marshall,12.0,La Salle
Jerome Brewer Jr.,11.2,La Salle
Josiah Harris,8.4,La Salle
Ashton Walker,8.2,La Salle
Truth Harris,6.5,La Salle
Jaden Johnson,6.3,La Salle
Justin Archer,6.3,La Salle
Eric Acker,5.8,La Salle
Edwin Daniel,3.9,La Salle
Noah Collier,3.7,La Salle
Damon Strand,2.9,La Salle
Nas Hart,2.3,La Salle
Bowyn Beatty,0.8,La Salle
Arlan Masharaliyev,0.2,La Salle
Max Lipacis,0.0,La Salle
Caleb Williams,15.6,Lafayette
Andrew Phillips,13.9,Lafayette
Mark Butler,10.7,Lafayette
Shareef Jackson,10.0,Lafayette
Christian Humphrey-Rembert,7.7,Lafayette
Ryan Pettit,5.6,Lafayette
KaiMani Murdock,3.0,Lafayette
Luke Bevilacqua,2.8,Lafayette
Mike Bednostin,1.4,Lafayette
Folabomi Fayemi,1.3,Lafayette
Malik Rasul,1.3,Lafayette
Luke Azzinaro,0.7,Lafayette
Ashton Wallace,0.6,Lafayette
Joshua Wyche,0.6,Lafayette
Rob Lee Jr.,16.0,Lamar
Braden East,12.8,Lamar
Andrew Holifield,11.7,Lamar
Cody Pennebaker,7.1,Lamar
King-Njhsanni Wilhite,5.8,Lamar
Errol White,5.0,Lamar
Eian Lowe,4.3,Lamar
Jayden Gambrell,4.0,Lamar
Jayden Barrs,3.1,Lamar
Brian Knight,2.7,Lamar
Janko Bulajic,1.5,Lamar
Spencer Ezewiro,0.5,Lamar
Shilo Jackson,15.8,Le Moyne
Trent Mosquera,13.5,Le Moyne
Deng Garang,10.8,Le Moyne
Jakai Sanders,10.7,Le Moyne
Tennessee Rainwater,9.8,Le Moyne
Ametri Moss,7.5,Le Moyne
Samuel Hincapie,4.9,Le Moyne
Jakob Blakley,4.2,Le Moyne
Trevor Roe,2.9,Le Moyne
Eli Greenberg,2.6,Le Moyne
Isaac Nyakundi,2.0,Le Moyne
Josiah Lee,1.4,Le Moyne
Kaelin Thomas,0.7,Le Moyne
Sam Donnelly,0.6,Le Moyne
Nasir Whitlock,20.5,Lehigh
Hank Alvey,15.2,Lehigh
Joshua Ingram,10.5,Lehigh
Edouard Benoit,10.3,Lehigh
Andrew Urosevic,7.3,Lehigh
Caleb Thomas,4.7,Lehigh
Peter Kramer,4.0,Lehigh
Jalen Vazquez,3.8,Lehigh
Alfredo Addesa,2.0,Lehigh
Jake Pike,1.2,Lehigh
Henri Adiassa,0.4,Lehigh
Tommy Conniff,0.3,Lehigh
Brendan Reed,0.0,Lehigh
Brett Decker Jr.,16.9,Liberty
Kaden Metheny,13.1,Liberty
Zach Cleveland,11.9,Liberty
Colin Porter,11.1,Liberty
JJ Harper,10.8,Liberty
Josh Smith,7.5,Liberty
Zander Carter,3.3,Liberty
Ryan Jones Jr.,1.9,Liberty
Zander Yates,1.8,Liberty
JC Shirer Jr.,1.6,Liberty
TJ Drain,1.6,Liberty
Brady Kester,0.9,Liberty
Drew Grimes,0.7,Liberty
Torr Sorensen,0.7,Liberty
Isaiah Ihnen,0.0,Liberty
Anias Futrell,17.4,Lindenwood
Jadis Jones,15.3,Lindenwood
Dontrez Williams,15.2,Lindenwood
Milos Nenadic,12.0,Lindenwood
Clayton Jackson,7.1,Lindenwood
Mekhi Cooper,6.4,Lindenwood
Jeremiah Talton,5.4,Lindenwood
Robert Lewis,5.0,Lindenwood
Jaylon McDaniel,2.3,Lindenwood
Kevin Anthony,1.8,Lindenwood
William Campbell,1.8,Lindenwood
Tidiane d'Almeida,1.5,Lindenwood
Todd Bieg,0.5,Lindenwood
Grant Asman,14.3,Lipscomb
Ross Candelino,11.2,Lipscomb
Ethan Duncan,10.5,Lipscomb
Charlie Williams,10.1,Lipscomb
Mateo Esmeraldo,9.9,Lipscomb
Titas Sargiunas,9.7,Lipscomb
Kennedy Okpara,5.1,Lipscomb
Cole Middleton,4.6,Lipscomb
Kellan Boylan,3.4,Lipscomb
Or Ashkenazi,2.9,Lipscomb
Luke Carter,2.4,Lipscomb
Gavin Sykes,19.4,Long Beach State
Petar Majstorovic,14.4,Long Beach State
Shaquil Bender,10.8,Long Beach State
Rob Diaz,8.1,Long Beach State
Cole Farrell,6.4,Long Beach State
Isaiah Lewis,6.0,Long Beach State
Leopold Levillain,4.8,Long Beach State
Immanuel Lewis,4.0,Long Beach State
Christian Jones,3.4,Long Beach State
Dallas Washington,2.8,Long Beach State
Demarshay Johnson Jr.,2.4,Long Beach State
Derrick Michael Xzavierro,2.2,Long Beach State
JJ Chaikovsky,0.8,Long Beach State
Jamal Fuller,16.2,Long Island University
Greg Gordon,14.0,Long Island University
Malachi Davis,14.0,Long Island University
Jomo Goings,9.8,Long Island University
Mason Porter-Brown,7.8,Long Island University
Shadrak Lasu,5.2,Long Island University
Isaiah Miranda,3.7,Long Island University
Faheim Meran,3.1,Long Island University
Caleb Johnson,2.5,Long Island University
Tre'shawn Sheppard,2.1,Long Island University
AJ Neal,1.9,Long Island University
Eddie Munyak,1.5,Long Island University
Max Ndlovu-Fraser,0.7,Long Island University
Xinyi Li,0.6,Long Island University
Elijah Tucker,12.5,Longwood
Jacoi Hutchinson,12.3,Longwood
Johan Nziemi,10.6,Longwood
Redd Thompson,10.3,Longwood
Emanuel Richards,9.7,Longwood
Alphonzo Billups III,8.1,Longwood
Jaylen Benard,7.3,Longwood
Elijah Jones,3.9,Longwood
Elijah Kelly,2.3,Longwood
KJ McClurg,2.0,Longwood
Jaylin Payne,1.8,Longwood
Jerome Williams,1.2,Longwood
Isaiah Kalala,0.9,Longwood
Jamyron Keller,17.0,Louisiana Lafayette
Dorian Finister,14.9,Louisiana Lafayette
Jaxon Olvera,13.7,Louisiana Lafayette
De'Vion Lavergne,9.9,Louisiana Lafayette
Joshua Lewis,8.1,Louisiana Lafayette
Dariyus Woodson,5.8,Louisiana Lafayette
Karris Bilal,5.6,Louisiana Lafayette
Milan Mejia,3.6,Louisiana Lafayette
Todd Jones,3.1,Louisiana Lafayette
Jeremiah Evans,3.0,Louisiana Lafayette
Michael Collins,1.4,Louisiana Lafayette
Kyran Ratliff,1.0,Louisiana Lafayette
Michael Mouton,0.3,Louisiana Lafayette
Christian Landry,0.0,Louisiana Lafayette
