Player,PPG,Assigned_Team
David Rochester,6.2,Brown
Charlie OSullivan,4.6,Brown
Malcolm Wrisby-Jefferson,4.2,Brown
Jonah Drezner,2.2,Brown
Wyatt DeGraaf,2.2,Brown
Drew Kania,1.6,Brown
Timofei Rudovskii,12.9,Bryant
Keegan Harvey,11.2,Bryant
Quincy Allen,9.8,Bryant
Aaron Davis,9.5,Bryant
Ty Tabales,9.1,Bryant
Ashley Sims II,7.2,Bryant
Jakai Robinson,3.1,Bryant
Daniel Akoue,3.0,Bryant
Khalil Williams,2.7,Bryant
Lennart Weber,2.3,Bryant
Gio Sanford,1.8,Bryant
Langston Bailey,1.5,Bryant
Ethane Bourgade,1.4,Bryant
Joseph Green,1.1,Bryant
Jason Sepe,0.3,Bryant
Jaheim Nyam,0.0,Bryant
Michael DeOrsey,0.0,Bryant
Frankie Vassalluzzo,0.0,Bryant
Amon Dörries,16.2,Bucknell
Pat Curtin,12.8,Bucknell
Achile Spadone,12.4,Bucknell
Ruot Bijiek,11.8,Bucknell
Jayden Williams,7.5,Bucknell
Brandon McCreesh,7.4,Bucknell
Aleksander Pachucki,5.9,Bucknell
Grgur Brcic,4.3,Bucknell
Quin Berger,3.1,Bucknell
Josh Fulton,2.3,Bucknell
Patrick O'Brien,2.2,Bucknell
Jacob Meachem,1.5,Bucknell
Kellen Welch,0.5,Bucknell
Matt Lange,0.4,Bucknell
Daniel Freitag,19.8,Buffalo
Ryan Sabol,18.8,Buffalo
Angelo Brizzi,14.5,Buffalo
Tim Oboh,8.5,Buffalo
Noah Batchelor,7.3,Buffalo
Derrick Talton Jr.,5.3,Buffalo
Ezra McKenna,5.0,Buffalo
Mikhail Pocknett,3.9,Buffalo
Kyle Jones,2.1,Buffalo
Aleksa Vlajic,1.0,Buffalo
Omar Migues-Hibeljić,1.0,Buffalo
Matas Buteliauskas,0.8,Buffalo
Daniel Shao,0.0,Buffalo
Finley Bizjack,17.1,Butler
Michael Ajayi,16.4,Butler
Jalen Jackson,9.5,Butler
Jamie Kaiser,9.5,Butler
Yohan Traore,8.3,Butler
Evan Haywood,7.2,Butler
Drayton Jones,6.3,Butler
Azavier Robinson,6.1,Butler
Efeosa Oliogu-Elabor,5.0,Butler
Yame Butler,4.2,Butler
Jack McCaffery,2.8,Butler
Jackson Keith,2.0,Butler
Ethan McComb,0.3,Butler
Hamad Mousa,20.4,Cal Poly
Cayden Ward,14.5,Cal Poly
Peter Bandelj,13.0,Cal Poly
Jess Esso Essis,8.6,Cal Poly
Guzman Vasilic,7.6,Cal Poly
Jackson Mosley,5.6,Cal Poly
Jake Davis,5.4,Cal Poly
Austin Goode,5.2,Cal Poly
Kieran Elliott,4.9,Cal Poly
Troy Plumtree,4.8,Cal Poly
Ali Assran,3.5,Cal Poly
Luka Tarlac,3.0,Cal Poly
Jason Scott,2.4,Cal Poly
Aaron Price Jr.,2.0,Cal Poly
Eric Brown,0.6,Cal Poly
Dailin Smith,16.5,Cal State Bakersfield
Ron Jessamy,13.5,Cal State Bakersfield
CJ Hardy,12.4,Cal State Bakersfield
Jaden Alexander,9.4,Cal State Bakersfield
AJ George,8.2,Cal State Bakersfield
Tom Mark,6.7,Cal State Bakersfield
Mike Price,6.5,Cal State Bakersfield
Bentley Waller,3.8,Cal State Bakersfield
Kadar Waller,3.3,Cal State Bakersfield
Caleb McCarty,3.2,Cal State Bakersfield
Pierre Geneste Jr.,3.0,Cal State Bakersfield
Dylan Purnell,2.6,Cal State Bakersfield
TJ James Jr.,1.0,Cal State Bakersfield
Josh Ward,14.5,Cal State Fullerton
Landon Seaman,12.0,Cal State Fullerton
Jefferson De La Cruz Monegro,11.9,Cal State Fullerton
Bryce Cofield,10.1,Cal State Fullerton
Christian Williams,9.2,Cal State Fullerton
Kiwane Garris Jr.,8.2,Cal State Fullerton
Jaden Henderson,7.6,Cal State Fullerton
Bailey Nunn,5.4,Cal State Fullerton
Kendrick De Luna,4.7,Cal State Fullerton
Davis White,3.3,Cal State Fullerton
Matthew Quinlan,1.9,Cal State Fullerton
Benjamin Winker,0.9,Cal State Fullerton
Larry Hughes Jr.,17.7,Cal State Northridge
Josiah Davis,15.9,Cal State Northridge
Joshua O'Garro,14.6,Cal State Northridge
Mahmoud Fofana,11.0,Cal State Northridge
James Evans Jr.,6.0,Cal State Northridge
Davius Loury,4.9,Cal State Northridge
Grady Lewis,3.9,Cal State Northridge
Jordan Brinson,3.5,Cal State Northridge
Aleksander Szymczyk,2.9,Cal State Northridge
Jai Chisolm,2.9,Cal State Northridge
Robert Thibiant,0.9,Cal State Northridge
Greg Gazarian,0.4,Cal State Northridge
Joseph Barrio,0.0,Cal State Northridge
Dominique Daniels Jr.,23.2,California Baptist
Martel Williams,12.8,California Baptist
Jayden Jackson,9.0,California Baptist
Jonathan Griman,6.1,California Baptist
