Player,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced
David Terrell Jr.,North Texas Mean Green,31,1654.6,94.0,1660.8,88.5,5.5,90.5
Bubu Benjamin,George Washington Revolutionaries,29,934.7,100.5,917.5,90.8,9.7,90.4
Amari Evans,Tennessee Volunteers,32,758.6,102.2,784.9,90.3,11.8,89.8
Liutauras Lelevicius,Tcu Horned Frogs,34,1393.6,96.0,1359.8,89.6,6.4,89.7
Joson Sanon,St. John'S Red Storm,37,1287.4,98.0,1261.7,91.1,7.0,89.6
Tayton Conerway,Indiana Hoosiers,29,949.8,101.3,958.8,91.9,9.4,89.2
Kasen Jennings,App State Mountaineers,30,1545.8,94.7,1569.2,89.0,5.7,87.8
Josh Smith,Liberty Flames,31,726.6,105.3,716.6,93.2,12.1,87.7
Lucas Scroggins,Saint Peter'S Peacocks,26,706.8,101.6,713.1,89.2,12.4,87.6
Hudson Mayes,Uc San Diego Tritons,32,1311.4,95.1,1316.2,88.4,6.7,87.2
Travis Harper II,Tennessee State Tigers,30,1582.7,99.4,1561.5,93.9,5.5,87.1
Justin Bailey,Georgia Bulldogs,30,624.5,103.3,612.3,89.3,14.0,87.1
KyeRon Lindsay-Martin,Uab Blazers,26,1001.1,103.9,983.2,95.2,8.7,87.0
AJ Bates,Louisiana Tech Bulldogs,31,1632.4,95.6,1620.3,90.2,5.3,87.0
Jordan Brathwaite,Yale Bulldogs,29,881.3,106.1,871.9,96.2,9.9,86.9
Jack Smiley,Belmont Bruins,31,917.8,102.0,858.2,92.5,9.5,86.9
Tahaad Pettiford,Auburn Tigers,38,1994.0,101.6,1992.6,97.3,4.3,86.7
Kael Combs,Iowa Hawkeyes,37,1348.0,99.7,1370.0,93.3,6.4,86.5
Matt Hodge,Villanova Wildcats,29,1239.5,99.3,1196.5,92.4,7.0,86.3
Nick Ellington,George Mason Patriots,30,588.4,97.2,581.3,82.6,14.7,86.2
Amani Hansberry,Virginia Tech Hokies,30,1510.2,99.5,1485.9,93.8,5.7,86.2
Mouhamed Dioubate,Kentucky Wildcats,31,1083.4,102.2,1104.7,94.2,7.9,86.1
Quin Gorman,Stony Brook Seawolves,29,819.1,103.0,812.0,92.6,10.4,85.4
Jalen Pitre,Tennessee State Tigers,30,1238.3,98.0,1227.4,91.1,6.9,85.1
