Player,Points_Per_Game,Assigned_Team_x,Unnamed: 0,Assigned_Team,Games_Tracked,Season_Off_Possessions,Weighted_ORtg,Season_Def_Possessions,Weighted_DRtg,Net_Efficiency_Rating,Net_Points_Produced,Balanced,Star,Defense,WAR
Kasen Jennings,15.2,Appalachian State,547,App State Mountaineers,30,1545.8,94.7,1569.2,89.0,5.7,87.8,67.3,88.1,887.7,90.7
Alonzo Dodd,13.8,Appalachian State,377,App State Mountaineers,30,1477.1,96.0,1486.3,88.0,8.0,118.1,110.1,118.2,1185.4,119.3
Luke Wilson,10.7,Appalachian State,445,App State Mountaineers,30,1330.0,95.9,1349.6,87.8,8.1,107.3,90.5,107.7,1085.2,110.1
Jalen Tot,9.6,Appalachian State,634,App State Mountaineers,29,1116.7,96.3,1135.9,89.4,6.8,76.2,59.9,77.1,777.1,79.1
Michael Marcus Jr.,7.8,Appalachian State,737,App State Mountaineers,30,1093.7,94.4,1105.7,88.4,6.0,65.6,55.0,65.6,659.8,67.0
Eren Banks,6.6,Appalachian State,764,App State Mountaineers,28,1086.2,95.1,1115.6,89.3,5.8,63.2,36.7,63.0,638.5,66.1
Jason Clarke Jr.,3.4,Appalachian State,3613,App State Mountaineers,20,410.8,91.5,415.6,104.2,-12.7,-52.0,-57.2,-52.2,-524.8,-52.4
Andrin Njock,3.1,Appalachian State,2689,App State Mountaineers,17,302.6,87.6,306.5,92.3,-4.8,-14.4,-17.8,-14.2,-143.1,-13.9
Chad Moodie,2.7,Appalachian State,2933,App State Mountaineers,30,558.9,86.6,585.3,90.4,-3.8,-21.2,-45.1,-21.2,-217.3,-18.7
Jacari Brim,1.2,Appalachian State,1585,App State Mountaineers,15,127.3,102.1,144.4,94.2,7.9,10.1,-6.1,10.1,107.1,11.0
Massamba Diop,13.6,Arizona State,869,Arizona State Sun Devils,33,1614.9,96.6,1695.0,93.3,3.3,53.7,-21.4,53.3,546.0,58.7
Anthony Johnson,13.2,Arizona State,1200,Arizona State Sun Devils,33,1352.4,98.3,1398.4,96.0,2.2,30.2,-13.1,31.1,316.3,32.9
